run_id,plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
20260913_213050_360342_A_plus_elite,60,89,32,29,0,23,17,414.3906658392438,440.0067846731783,-25.61611883393448,25.61611883393448,43.84995016860228,uncertain
20260913_213050_360342_A_plus_elite,60,90,29,17,1,35,7,547.2573792193472,516.3420416959723,30.915337523374887,30.915337523374887,44.05988237374852,uncertain
20260913_213050_360342_A_plus_elite,6,11,20,29,1,26,14,711.6451589294187,727.744425035729,-16.099266106310324,16.099266106310324,44.11135535695999,uncertain
20260913_213050_360342_A_plus_elite,9,12,47,54,0,2,2,1741.8964025097175,1742.228488462874,-0.3320859531565929,0.3320859531565929,34.9742741148471,uncertain
20260913_213050_360342_A_plus_elite,46,63,13,46,0,14,35,587.4610344013089,585.1706362853027,2.290398116006145,2.290398116006145,47.896319857071326,uncertain
20260913_213050_360342_A_plus_elite,27,54,11,15,0,49,46,1419.3555688301262,1432.3475691431584,-12.992000313032122,12.992000313032122,55.907086150836776,uncertain
20260913_213050_360342_A_plus_elite,19,71,28,20,1,28,28,1536.6542296463704,1510.7536308674212,25.90059877894919,25.90059877894919,47.07041677996945,uncertain
20260913_213050_360342_A_plus_elite,33,62,33,20,1,35,20,2000.898685947416,1975.861172744213,25.03751320320293,25.03751320320293,47.97607273526179,uncertain
20260913_213050_360342_A_plus_elite,40,97,47,18,0,12,17,203.37356682999692,229.8310529901172,-26.457486160120222,26.457486160120222,40.51826624773047,uncertain
20260913_213050_360342_A_plus_elite,23,35,5,22,0,54,0,1213.7958773141456,1203.9132492102551,9.882628103890283,9.882628103890283,44.99349190005565,uncertain
20260913_213050_360342_A_plus_elite,33,51,10,41,0,8,2,1671.7454876167983,1650.2539401966003,21.491547420197776,21.491547420197776,36.61055125136353,uncertain
20260913_213050_360342_A_plus_elite,70,90,26,22,1,23,12,555.0843441790079,584.6614350805754,-29.577090901567544,29.577090901567544,42.49100641501043,uncertain
20260913_213050_360342_A_plus_elite,34,61,36,30,0,17,20,881.242090535478,856.5142999484044,24.727790587073628,24.727790587073628,43.10881189075936,uncertain
20260913_213050_360342_A_plus_elite,40,50,17,29,0,42,4,552.4547084234144,516.8467293661544,35.60797905726008,35.60797905726008,44.79540585899798,uncertain
20260913_213050_360342_A_plus_elite,39,69,33,32,0,33,26,1716.734686499508,1763.4917300997306,-46.75704360022269,46.75704360022269,49.907353870043735,uncertain
20260913_213050_360342_A_plus_elite,68,95,23,33,0,17,35,1981.7670544172504,1989.1091968336516,-7.342142416400748,7.342142416400748,46.51024396042828,uncertain
20260913_213050_360342_A_plus_elite,60,74,26,7,1,45,25,659.68378609054,663.8235836308124,-4.139797540272411,4.139797540272411,50.188448708156535,uncertain
