run_id,plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
20260913_213050_360342_A_plus_elite,6,11,20,29,1,26,14,695.0464877450045,737.6802958746707,-42.63380812966625,42.63380812966625,43.98076686982692,uncertain
20260913_213050_360342_A_plus_elite,14,29,32,42,2,14,19,1412.1076176251845,1419.9690184246645,-7.86140079948018,7.86140079948018,42.621718474938966,uncertain
20260913_213050_360342_A_plus_elite,16,98,43,42,0,10,11,1051.863281818094,1038.348098924657,13.515182893436986,13.515182893436986,38.49059175840297,uncertain
20260913_213050_360342_A_plus_elite,16,77,43,23,0,29,7,1241.863281818094,1230.577074537047,11.286207281046927,11.286207281046927,41.67293387133537,uncertain
20260913_213050_360342_A_plus_elite,40,97,47,18,0,12,17,203.37356682999692,232.78326479038597,-29.409697960389,29.409697960389,40.57612853576308,uncertain
20260913_213050_360342_A_plus_elite,24,94,58,23,1,18,30,461.8047031870681,490.809538320717,-29.004835133648896,29.004835133648896,44.293590320633584,uncertain
20260913_213050_360342_A_plus_elite,64,72,25,26,1,29,22,323.57913379829466,304.7778128282317,18.80132097006299,18.80132097006299,44.2814539249543,uncertain
20260913_213050_360342_A_plus_elite,40,50,17,29,0,42,4,550.5726748888391,532.6804730827537,17.89220180608538,17.89220180608538,45.06885435379306,uncertain
20260913_213050_360342_A_plus_elite,41,84,50,49,0,8,48,2761.4924247320023,2803.350748603313,-41.85832387131086,41.85832387131086,47.589608164639856,uncertain
20260913_213050_360342_A_plus_elite,48,75,13,18,1,33,44,1880.6544518040537,1888.5854390474024,-7.930987243348909,7.930987243348909,52.204844862893424,uncertain
