optimizer_seed,method,stage1_input_hash,stage1_conflicts,final_conflicts,final_conflict_pairs,zero_conflict,conflict_reduction_ratio,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts,changed_flights,delayed_flights,risk_increase_percent,final_fitness,runtime_sec,rollback_count,accepted_trial_count,acceptance_rate
0,A_current_stage2,128fb3f0b225e594208406ef930782a474fb3ee7d818bd5d4d94501878150f3f,51,11,11,False,0.7843137254901961,5,0,6,6,46,47,23,0.4532128298730168,469781.0164609915,38.101986300000135,0,0,
0,A_plus_global_safeguard,128fb3f0b225e594208406ef930782a474fb3ee7d818bd5d4d94501878150f3f,51,11,11,False,0.7843137254901961,8,0,3,3,43,51,24,0.38712277553404434,472780.50767396006,35.33760110000003,9387,563,0.05658291457286432
1,A_current_stage2,c85e8142625bf7cfd08f4e36a4826147f7f0a1bb0e6718e23e8d4f56241384e2,54,20,18,False,0.6296296296296297,14,1,5,5,40,44,19,1.2741052122013137,846793.0001799394,36.96071169999959,0,0,
1,A_plus_global_safeguard,c85e8142625bf7cfd08f4e36a4826147f7f0a1bb0e6718e23e8d4f56241384e2,54,15,15,False,0.7222222222222222,6,0,9,9,48,44,17,2.107033850664049,651531.9891967119,39.32193609999922,9634,316,0.03175879396984924
2,A_current_stage2,fc09c10e2e7e1e2bd9211c0dfeaac3b1ef45d570c772abdacda4c66b01508204,52,8,8,False,0.8461538461538461,3,0,5,5,49,46,25,0.0636600116069429,344051.8537244788,35.16243409999879,0,0,
2,A_plus_global_safeguard,fc09c10e2e7e1e2bd9211c0dfeaac3b1ef45d570c772abdacda4c66b01508204,52,13,13,False,0.75,7,0,6,6,45,43,22,0.26704173038346246,559637.6727191679,35.93588119999913,9612,338,0.03396984924623116
3,A_current_stage2,ec81412dd36b62b242bc5d07b509ee149511303ff8a1d97fd56b6bcc84b5dd7b,54,10,10,False,0.8148148148148148,6,0,4,4,48,47,22,0.414567983626296,425944.8496187156,59.377561199999036,0,0,
3,A_plus_global_safeguard,ec81412dd36b62b242bc5d07b509ee149511303ff8a1d97fd56b6bcc84b5dd7b,54,10,10,False,0.8148148148148148,6,0,4,4,48,47,23,0.9232229585262579,430000.67864975653,69.30116510000153,9521,429,0.04311557788944723
4,A_current_stage2,1456f9ea41f459070f44954423af56caf6e428e92a98501228315578abb3439e,51,13,12,False,0.7450980392156863,9,2,2,2,42,48,22,-0.008309971934104952,550776.6217364257,49.086122700002306,0,0,
4,A_plus_global_safeguard,1456f9ea41f459070f44954423af56caf6e428e92a98501228315578abb3439e,51,2,2,False,0.9607843137254902,0,0,2,2,51,46,28,1.2777860427439511,93585.97647137364,36.60376040000119,9528,422,0.042412060301507536
5,A_current_stage2,f5eef33583d125acd2ac03979d86bfa1fe75a798b0c5419cd111c24f42a8f3c6,52,10,9,False,0.8076923076923077,7,1,2,2,45,49,25,0.4738239145072744,428883.851945324,34.619559599999775,0,0,
5,A_plus_global_safeguard,f5eef33583d125acd2ac03979d86bfa1fe75a798b0c5419cd111c24f42a8f3c6,52,13,12,False,0.75,7,0,6,6,45,50,21,-0.04083526703654054,558157.8974454784,33.723231700001634,9564,386,0.03879396984924623
6,A_current_stage2,3951c23ef1f76387b638fc06ba95eefb83ae3ed28e5b8f5ebfdcfb9e4b93502f,51,10,10,False,0.803921568627451,7,0,3,3,44,46,19,0.2033890205922787,427844.7479492771,33.83714340000006,0,0,
6,A_plus_global_safeguard,3951c23ef1f76387b638fc06ba95eefb83ae3ed28e5b8f5ebfdcfb9e4b93502f,51,19,18,False,0.6274509803921569,13,1,5,5,38,49,16,0.9851623870896382,809986.8688316633,38.21207719999802,9638,312,0.03135678391959799
7,A_current_stage2,87f8fabf3b64091ce3218bf8cb3614c015c1c3785c1622d7ad019d8cddee111f,58,12,11,False,0.7931034482758621,8,1,3,3,50,49,20,1.2790566287577623,515081.8525334598,37.0686042999987,0,0,
7,A_plus_global_safeguard,87f8fabf3b64091ce3218bf8cb3614c015c1c3785c1622d7ad019d8cddee111f,58,9,9,False,0.8448275862068966,5,0,4,4,53,50,25,-0.26601666124481627,389035.7487318611,45.00530020000224,9538,412,0.041407035175879396
8,A_current_stage2,45be553b45b37daf373f7156f12baf5a40b5b5aa9796ff7d26da9bd57b8c6f72,53,8,7,False,0.8490566037735849,7,0,1,1,46,44,20,0.036979074509225884,343017.74422930175,33.05894030000127,0,0,
8,A_plus_global_safeguard,45be553b45b37daf373f7156f12baf5a40b5b5aa9796ff7d26da9bd57b8c6f72,53,6,6,False,0.8867924528301887,4,0,2,2,49,47,25,1.8340121872915325,264735.6630637708,37.9417717000033,9512,438,0.044020100502512566
9,A_current_stage2,5da302b29a2737111c8d1e100caf298f44084af98d08ab9299a1860567116aa1,52,10,10,False,0.8076923076923077,10,0,0,0,42,45,20,-0.07305949968262485,428433.30881184427,35.573164800000086,0,0,
9,A_plus_global_safeguard,5da302b29a2737111c8d1e100caf298f44084af98d08ab9299a1860567116aa1,52,11,11,False,0.7884615384615384,9,0,2,2,43,46,18,0.07484784682337971,474192.6990263429,33.83975149999969,9423,527,0.052964824120603014
