optimizer_seed,method,final_conflicts,risk_increase_percent,delayed_flights,changed_flights
0,A_current_stage2,11,0.4532128298730168,23,47
0,A_plus_global_safeguard,11,0.38712277553404434,24,51
1,A_current_stage2,20,1.2741052122013137,19,44
1,A_plus_global_safeguard,15,2.107033850664049,17,44
2,A_current_stage2,8,0.0636600116069429,25,46
2,A_plus_global_safeguard,13,0.26704173038346246,22,43
3,A_current_stage2,10,0.414567983626296,22,47
3,A_plus_global_safeguard,10,0.9232229585262579,23,47
4,A_current_stage2,13,-0.008309971934104952,22,48
4,A_plus_global_safeguard,2,1.2777860427439511,28,46
5,A_current_stage2,10,0.4738239145072744,25,49
5,A_plus_global_safeguard,13,-0.04083526703654054,21,50
6,A_current_stage2,10,0.2033890205922787,19,46
6,A_plus_global_safeguard,19,0.9851623870896382,16,49
7,A_current_stage2,12,1.2790566287577623,20,49
7,A_plus_global_safeguard,9,-0.26601666124481627,25,50
8,A_current_stage2,8,0.036979074509225884,20,44
8,A_plus_global_safeguard,6,1.8340121872915325,25,47
9,A_current_stage2,10,-0.07305949968262485,20,45
9,A_plus_global_safeguard,11,0.07484784682337971,18,46
