generation,population_size,accepted_trials,rolled_back_trials,acceptance_rate,best_conflict_pairs,best_conflict_points,best_fitness,mean_conflict_pairs,mean_conflict_points,best_conflict_lexicographic_pairs,best_conflict_lexicographic_points,adm_learning_samples,rollback_due_to_pair_increase,rollback_due_to_point_increase,rollback_due_to_fitness_worse,new_pair_trials_rejected,rejected_lower_risk_equal_conflicts,rollback_due_to_infeasible_route,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts
1,50,0,0,,41,52,2472290.227970277,38.75,58.5,34,53,4,0,0,0,0,0,0,14,6,24,32,38
2,50,6,44,0.12,34,37,1729670.3269358284,37.55555555555556,60.666666666666664,33,53,6,0,0,0,0,0,44,16,3,18,18,36
3,50,8,42,0.16,34,37,1729670.3268221756,39.06666666666667,63.86666666666667,29,51,8,1,0,0,1,0,41,16,3,18,18,36
4,50,7,43,0.14,22,29,1366717.0672070282,36.8,59.2,22,29,7,0,0,0,0,0,43,8,10,11,11,44
5,50,6,44,0.12,22,29,1366717.0663144458,38.03846153846154,59.96153846153846,22,29,6,3,0,0,3,0,41,8,10,11,11,44
6,50,9,41,0.18,19,28,1333069.756157857,38.15151515151515,59.72727272727273,19,28,9,1,0,0,1,0,40,8,2,10,18,44
7,50,7,43,0.14,19,28,1333069.7524169127,36.638888888888886,56.611111111111114,19,28,7,4,1,0,5,0,38,8,2,10,18,44
8,50,8,42,0.16,19,28,1333069.7458053292,35.78947368421053,55.55263157894737,19,28,8,4,0,0,4,0,38,8,2,10,18,44
9,50,8,42,0.16,19,28,1333069.7349188544,35.05128205128205,54.12820512820513,19,28,8,4,0,0,4,0,38,8,2,10,18,44
10,50,7,43,0.14,19,28,1333069.7179555714,34.0,52.525,19,28,7,8,0,0,8,0,35,8,2,10,18,44
11,50,8,42,0.16,19,28,1333069.6926661923,33.23255813953488,50.25581395348837,19,28,8,7,0,0,7,0,35,8,2,10,18,44
12,50,8,42,0.16,19,28,1333069.6563043476,33.43478260869565,50.71739130434783,19,28,8,10,0,0,10,0,32,8,2,10,18,44
13,50,5,45,0.1,19,28,1333069.605576879,32.87234042553192,49.744680851063826,19,28,5,6,0,0,6,0,39,8,2,10,18,44
14,50,6,44,0.12,19,28,1333069.5365941334,32.191489361702125,48.234042553191486,19,28,6,9,0,0,9,0,35,8,2,10,18,44
15,50,7,43,0.14,19,28,1333069.4448202518,31.340425531914892,47.51063829787234,19,28,7,10,0,0,10,0,33,8,2,10,18,44
16,50,8,42,0.16,19,28,1333069.3250234625,30.170212765957448,45.5531914893617,19,28,8,9,0,0,9,0,33,8,2,10,18,44
17,50,7,43,0.14,19,28,1333069.171226375,29.425531914893618,43.723404255319146,19,28,7,9,0,0,9,0,34,8,2,10,18,44
18,50,2,48,0.04,19,28,1333068.9766562681,29.148936170212767,43.638297872340424,19,28,2,9,0,0,9,0,39,8,2,10,18,44
19,50,4,46,0.08,19,28,1333068.7336953846,29.714285714285715,44.93877551020408,19,28,4,10,1,0,11,0,35,8,2,10,18,44
20,50,7,43,0.14,19,28,1333068.4338312233,29.102040816326532,43.10204081632653,19,28,7,5,0,0,5,0,38,8,2,10,18,44
21,50,5,45,0.1,24,25,1183698.3771862776,28.448979591836736,41.63265306122449,19,28,5,14,1,0,15,0,30,10,0,14,15,42
22,50,4,46,0.08,24,25,1183697.9840734927,28.2,40.8,19,28,4,17,2,0,19,0,27,10,0,14,15,42
23,50,1,49,0.02,24,25,1183697.5126050701,28.18,40.72,19,28,1,11,0,1,12,0,37,10,0,14,15,42
24,50,1,49,0.02,24,25,1183696.9516109761,28.16,40.74,19,28,1,8,0,0,8,0,41,10,0,14,15,42
25,50,0,50,0.0,24,25,1183696.2889067214,28.16,40.74,19,28,0,8,0,0,8,0,42,10,0,14,15,42
26,50,2,48,0.04,24,25,1183695.511249255,27.96,40.78,19,28,2,14,0,0,14,0,34,10,0,14,15,42
27,50,1,49,0.02,24,25,1183694.604292857,27.82,40.74,19,28,1,13,0,0,13,0,36,10,0,14,15,42
28,50,5,45,0.1,20,21,996906.6403700159,27.42,40.48,19,28,5,16,0,0,16,0,29,9,0,11,12,43
29,50,0,50,0.0,20,21,996905.6194468343,27.42,40.48,19,28,0,12,0,0,12,0,38,9,0,11,12,43
30,50,0,50,0.0,20,21,996904.4475648409,27.42,40.48,19,28,0,18,0,0,18,0,32,9,0,11,12,43
31,50,2,48,0.04,20,21,996903.1085694296,27.32,40.68,19,28,2,18,1,0,19,0,29,9,0,11,12,43
32,50,1,49,0.02,20,21,996901.5851925232,27.28,40.66,19,28,1,12,0,0,12,0,37,9,0,11,12,43
33,50,2,48,0.04,20,21,996899.8590154574,27.16,40.8,19,28,2,14,0,0,14,0,34,9,0,11,12,43
34,50,1,49,0.02,20,21,996897.910431867,27.16,40.74,19,28,1,10,1,0,11,0,38,9,0,11,12,43
35,50,3,47,0.06,20,21,996895.7186105675,27.0,40.9,19,28,3,13,0,0,13,0,34,9,0,11,12,43
36,50,1,49,0.02,20,21,996893.261458441,26.98,40.7,19,28,1,18,0,0,18,0,31,9,0,11,12,43
37,50,0,50,0.0,20,21,996890.5155833211,26.98,40.7,19,28,0,17,1,0,18,0,32,9,0,11,12,43
38,50,0,50,0.0,20,21,996887.4562568755,26.98,40.7,19,28,0,17,1,0,18,0,32,9,0,11,12,43
39,50,1,49,0.02,20,21,996884.0573774917,26.92,41.04,19,28,1,20,1,0,21,0,28,9,0,11,12,43
40,50,1,49,0.02,20,21,996880.2914331603,26.84,40.88,19,28,1,17,0,0,17,0,32,9,0,11,12,43
41,50,1,49,0.02,20,21,996876.1294643604,26.84,40.8,19,28,1,14,0,0,14,0,35,9,0,11,12,43
42,50,2,48,0.04,20,21,996871.5410269428,26.76,41.04,19,28,2,13,0,0,13,0,35,9,0,11,12,43
43,50,3,47,0.06,20,21,996866.4941550147,26.64,40.92,19,23,3,19,0,0,19,0,28,9,0,11,12,43
44,50,2,48,0.04,20,21,996860.9553238248,26.5,40.62,19,23,2,10,0,0,10,0,38,9,0,11,12,43
45,50,0,50,0.0,20,21,996854.8894126461,26.5,40.62,19,23,0,15,0,0,15,0,35,9,0,11,12,43
