generation,fitness
1,2372299.6552200937
2,1268519.3378613284
3,1268519.3377781275
4,1268519.3374701657
5,1245161.6370351852
6,912558.8248658004
7,912558.8223122869
8,912558.8177993172
9,912558.8103683693
10,912558.7987894816
11,912558.781527323
12,912558.7567072619
13,912558.7220814371
14,912558.6749948282
15,912558.6123513248
16,718341.7946290538
17,718341.7121378953
18,718341.6077775738
19,718341.4774622015
20,718341.3166259826
21,718341.1201965511
22,718340.8825683091
23,718340.5975757658
24,718340.2584668753
25,718339.8578763756
26,718339.3877991262
27,718338.8395634477
28,718338.2038044591
29,718337.4704374168
30,718336.6286310529
31,718335.6667809137
32,718334.5724826979
33,718333.332505595
34,718331.9327656241
35,718330.3582989722
36,718328.593235332
37,718326.6207712413
38,718324.4231434206
39,718321.9816021121
40,718319.2763844177
41,718316.2866876377
42,718312.9906426087
43,718309.365287043
44,718305.3865388664
45,718301.0291695561
46,718296.26677748
47,718291.0717612348
48,718285.4152929845
49,718279.2672917985
50,718272.5963969902
51,718265.3699414561
52,718257.5539250126
53,626327.2994221199
54,626319.3902837895
55,626310.873074986
56,626301.713388537
57,626291.8755431444
58,626281.3225602193
59,626270.0161407158
60,626257.9166419647
61,626244.9830545085
62,626231.172978934
63,626216.4426027084
64,626200.7466770113
65,626184.0384935702
66,626166.2698614944
67,626147.3910841084
68,626127.3509357866
69,626106.0966387872
70,626083.5738400863
71,626059.7265882122
72,626034.4973100788
73,626007.8267878206
74,625979.6541356262
75,625949.9167765726
76,625918.5504194588
77,625885.4890356412
78,625850.6648358657
79,625814.0082471038
80,625775.447889385
81,625734.9105526326
82,625692.3211734962
83,625647.6028121861
84,625600.6766293086
85,625551.4618626985
86,625499.8758042541
87,625445.8337767713
88,625389.2491107773
89,625330.0331213647
90,625268.0950850259
91,625203.342216487
92,625135.6796455419
93,625065.0103938865
94,624991.2353519523
95,624914.2532557414
96,624833.9606636598
97,624750.2519333516
98,624663.0191985337
99,622878.1908962679
100,622783.7871131746
101,622685.530704111
102,622583.3049345678
103,622476.9907354612
104,622366.4666800186
105,622251.6089606629
106,622132.2913658991
107,622008.3852571989
108,621879.7595458869
109,621746.2806700247
110,621607.8125712977
111,621464.2166718997
112,621315.3518514184
113,621161.0744237211
114,620126.2799152605
115,619960.925535908
116,619789.7185797273
117,619612.505043235
118,430668.72362528916
119,430537.5606108822
120,430401.9138738975
121,430261.66942947166
122,430116.7113770962
123,429966.9218846539
124,429812.1811724554
125,429652.36749727523
126,429487.35713638813
127,429317.02437160525
128,429141.2414733109
129,428959.8786844984
130,428772.80420480616
131,428579.8841745549
132,428380.98265878286
133,428175.9616312828
134,427964.680958638
135,427746.9983842586
136,427522.769512418
137,427291.847792289
138,427054.0845019802
139,426809.3287325721
140,426557.42737215385
141,426298.225089859
142,426031.564319902
143,425757.2852456147
144,425475.22578348237
145,425185.22156718
146,424887.10593160894
147,424580.70989693253
148,424265.8621526132
149,423942.389041448
150,423610.11454360565
151,423268.86026066204
152,422918.445399637
153,422558.6867570308
154,422189.3987028597
155,421810.3931646931
156,421421.4796116891
157,421022.46503863134
158,420613.15394996485
159,420193.34834383277
160,419762.8476961124
161,419321.44894445135
162,418868.9464723042
163,418405.1320929684
164,417929.795033621
165,417442.7219193545
166,416943.6967572135
167,416432.50092023076
168,415908.9131314636
169,415372.70944803004
170,414823.66324514523
171,414261.545200158
172,413686.1232765867
173,413097.1627081556
174,412494.4259828311
175,411877.6728268586
176,366407.49616922234
177,365833.72390110954
178,365246.8374733578
179,364646.61335631035
180,364032.82549459155
181,363405.2452929176
182,362763.64160190726
183,362107.78070389194
184,361437.4262987267
185,360752.3394896008
186,360052.27876884816
187,359337.0000037577
188,358606.2564223844
189,270994.3336081159
190,270421.2724614604
191,269836.019036439
192,95367.54252870807
193,95163.54684540615
194,94955.27917502796
195,94742.67276957206
196,94525.66018935712
197,94304.1732994565
198,94078.14326613297
199,93847.50055327332
200,93585.97647137364
