plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
6,11,20,29,1,26,14,711.0174582865606,737.6802958746707,-26.662837588110165,26.662837588110165,44.293792140422916,uncertain
59,98,31,30,1,22,23,1013.7327436312935,1004.1486303613365,9.584113269957015,9.584113269957015,45.540054632052545,uncertain
12,29,48,55,0,1,46,1730.860736151371,1758.032284762482,-27.17154861111112,27.17154861111112,46.0206130480709,uncertain
14,93,32,23,1,33,32,474.2977746365125,432.73727182601965,41.560502810492835,41.560502810492835,48.79312621659482,uncertain
15,95,15,33,0,32,43,2088.9411224630876,2109.9798304013366,-21.03870793824899,21.03870793824899,51.900395189466266,uncertain
39,52,38,39,0,40,17,1808.074757960303,1841.8901307775025,-33.81537281719943,33.81537281719943,49.170071972797274,uncertain
23,35,5,22,0,54,0,1210.1102172317346,1203.9132492102553,6.196968021479279,6.196968021479279,44.92125428984783,uncertain
37,38,42,29,0,11,29,932.4841960994553,911.036098790557,21.44809730889824,21.44809730889824,44.71875325049364,uncertain
52,95,31,32,0,24,27,1934.0214844742527,1944.135485963479,-10.114001489226212,10.114001489226212,47.3870445175289,uncertain
96,97,47,8,0,5,7,184.45251019089645,148.53120339141344,35.921306799483006,35.921306799483006,36.90336875560517,uncertain
