plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
45,92,52,46,0,6,9,1057.1797826303532,1079.2868543460304,-22.107071715677193,22.107071715677193,37.50934887721764,uncertain
3,65,43,35,0,12,42,1723.1430106914709,1760.4678538051378,-37.32484311366693,37.32484311366693,46.436789130107755,uncertain
37,92,40,32,0,14,23,1228.6353224902123,1268.9924818308032,-40.3571593405909,40.3571593405909,43.53232004480507,uncertain
84,86,37,48,0,35,10,764.1354689502355,758.8914785141914,5.2439904360441005,5.2439904360441005,45.418849991236044,uncertain
9,12,47,54,0,2,2,1755.4719674643727,1745.002871775102,10.469095689270716,10.469095689270716,35.29472721236894,uncertain
14,54,32,15,1,41,23,551.6335662514339,537.1085293766973,14.525036874736543,14.525036874736543,47.88822507043652,uncertain
16,37,43,28,0,24,10,1189.0429743503225,1188.3200765513334,0.7228977989891519,0.7228977989891519,41.827478368549556,uncertain
19,71,28,20,1,28,28,1542.5035236874178,1529.7142059177609,12.789317769656918,12.789317769656918,47.55668127877217,uncertain
21,35,42,32,1,38,41,1708.841314308003,1670.5638556236029,38.27745868440002,38.27745868440002,52.30866083981843,uncertain
22,32,42,23,1,13,24,1621.8582037733543,1613.7199093339195,8.13829443943473,8.13829443943473,44.13143955133293,uncertain
23,35,5,22,0,54,0,1213.7958773141456,1203.9132492102553,9.882628103890283,9.882628103890283,44.99349190005565,uncertain
29,83,19,30,1,6,26,1239.948694268822,1272.5452921479346,-32.59659787911255,32.59659787911255,41.459080023819446,uncertain
35,65,40,35,0,46,39,1737.4470947895966,1730.4048179210176,7.042276868578938,7.042276868578938,53.22201959361483,uncertain
66,87,7,5,0,4,4,1493.213773037065,1509.9453694161095,-16.731596379044504,16.731596379044504,35.81578497459463,uncertain
39,69,33,32,0,33,26,1717.9491235165674,1760.0937275759757,-42.144604059408266,42.144604059408266,49.864556772533675,uncertain
48,75,13,18,1,33,44,1880.6544518040537,1887.631620648271,-6.977168844217431,6.977168844217431,52.18615036579253,uncertain
51,80,18,47,0,10,7,1644.8046445332034,1669.766166059289,-24.961521526085562,24.961521526085562,37.956533657353575,uncertain
51,80,19,48,0,11,6,1658.9467801569344,1662.3825317074911,-3.435751550556688,3.435751550556688,38.088997848178145,uncertain
96,97,47,8,0,5,7,184.45251019089645,149.44912465896485,35.0033855319316,35.0033855319316,36.92135968185561,uncertain
