generation,fitness
1,1872025.4722899175
2,1710682.063644787
3,1009947.222878169
4,1009947.2226336238
5,1009947.2219757625
6,1009947.2205194504
7,1009947.2176916809
8,1009947.2126940029
9,1009947.2044649463
10,1009947.191642447
11,1009947.1725262742
12,1009947.1450404548
13,1009947.1066956996
14,1009947.05455183
15,1009946.9851802031
16,1009946.8946261365
17,1009946.7783713372
18,1009946.6312963235
19,1009946.4476428538
20,1009946.2209763515
21,1009945.9441483304
22,1009945.6092588208
23,1009945.2076187957
24,1009944.7297125959
25,1009944.1651603571
26,1009943.5026804336
27,1009942.7300518268
28,1009941.8340766086
29,1009940.8005423489
30,1009939.6141845402
31,1009938.2586490246
32,1009936.7164544191
33,1009934.9689545406
34,1009932.9963008335
35,1009930.7774047939
36,1009928.289900396
37,1009925.5101065185
38,1009922.4129893697
39,1009918.9721249136
40,1009915.1596612952
41,1009910.9462812679
42,657063.4818558766
43,657060.1653719537
44,657056.5256036271
45,657052.5394717839
46,657048.1828241479
47,657043.4304108897
48,657038.2558602358
49,657032.6316540795
50,657026.52910359
51,657019.9183248223
52,657012.768214328
53,657005.0464247643
54,656996.7193405044
55,656987.752053247
56,656978.1083376271
57,656967.7506268248
58,656956.6399881762
59,656944.7360987825
60,656931.9972211204
61,656918.3801786521
62,656903.8403314347
63,656888.3315517309
64,656871.806199618
65,656854.2150985989
66,656835.5075112107
67,656815.6311146362
68,656794.5319763119
69,656772.1545295399
70,656748.4415490965
71,656723.3341268427
72,656696.7716473336
73,656668.6917634291
74,656639.0303719032
75,656607.7215890542
76,656574.6977263142
77,656539.8892658597
78,656503.2248362211
79,656464.6311878926
80,656424.0331689422
81,656381.3537006219
82,656336.5137529771
83,656289.4323204567
84,656240.0263975231
85,656188.2109542626
86,656133.8989119943
87,656077.0011188807
88,656017.4263255375
89,655955.0811606435
90,655889.8701065506
91,655821.6954748934
92,655750.4573821998
93,655676.0537255001
94,655598.3801579372
95,655517.3300643769
96,655432.7945370177
97,655344.6623510001
98,655252.8199400174
99,655157.151371925
100,655057.5383243504
101,654953.8600603035
102,654845.9934037862
103,654733.8127154021
104,654617.1898679674
105,654495.9942221193
106,654370.0926019273
107,654239.3492705025
108,654103.6259056074
109,653962.7815752658
110,653816.6727133739
111,653665.1530953081
112,653508.0738135367
113,653345.2832532291
114,653176.6270678658
115,653001.9481548483
116,652821.086631109
117,652633.8798087214
118,652440.1621705095
119,652239.7653456582
120,652032.5180853229
121,651818.24623824
122,651596.7727263357
123,651367.9175203372
124,651131.4976153814
125,650887.3270066263
126,650635.2166648593
127,650374.974512108
128,650106.4053972505
129,649829.3110716243
130,649543.490164637
131,649248.7381593757
132,603745.1799887923
133,603454.0764123282
134,603154.084942211
135,602845.00359232
136,602526.6273392341
137,602198.7480995654
138,601861.1547072938
139,601513.6328910992
140,601155.9652516961
141,600787.931239167
142,600409.3071302954
143,600019.8660059001
144,599619.3777281685
145,599207.6089179899
146,598784.3229322898
147,598349.2798413624
148,597902.2364062056
149,597442.946055853
150,596971.1588647089
151,596486.6215298809
152,595989.0773485138
153,595478.2661951235
154,594953.9244989303
155,594415.7852211923
156,593863.5778325389
157,593297.0282903054
158,592715.859015865
159,592119.7888719639
160,591508.5331400536
161,501922.8485287146
162,501378.466299236
163,500820.4753015541
164,500248.6219658289
165,499662.64959178807
166,499062.29832952167
167,498447.3051602772
168,497817.40387725364
169,497172.3250663976
170,496511.7960871971
171,495835.5410534772
172,495143.28081419464
173,494434.7329342325
174,493709.6116751956
175,492967.6279762049
176,492208.48943469283
177,491431.90028719767
178,490637.56139015884
179,489825.1702007117
180,488994.42075748247
181,488145.00366138306
182,487276.6060564058
183,486388.9116104188
184,485481.60049596016
185,484554.3493710336
186,483606.831359903
187,482638.71603388694
188,438885.70285834273
189,395199.8699036873
190,394354.1411118342
191,393490.4188459645
192,392608.41750331194
193,391707.8484748068
194,390734.5847605568
195,389795.7997809276
196,346992.6093237321
197,346114.75913352147
198,345092.6177437397
199,344069.1418145117
200,343017.74422930175
