flight_id,multi_degree,unique_conflict_partners,conflict_point_involvement,CI_l1,rank_l1,CI_l2,rank_l2,CI_l3,rank_l3,CI_l4,rank_l4
0,1,1,1,0.0,55,0.0,49,0.0,37,0.0,34
1,3,2,3,10.0,28,6.0,25,0.0,38,0.0,35
2,4,2,4,12.0,23,12.0,16,15.0,16,39.0,6
3,3,3,3,22.0,12,16.0,12,32.0,11,18.0,16
4,4,3,4,33.0,9,51.0,4,54.0,5,24.0,13
5,4,1,4,12.0,24,6.0,26,3.0,30,0.0,36
6,1,1,1,0.0,56,0.0,50,0.0,39,0.0,37
7,1,1,1,0.0,57,0.0,51,0.0,40,0.0,38
8,2,2,2,4.0,35,4.0,32,8.0,20,15.0,17
9,1,1,1,0.0,58,0.0,52,0.0,41,0.0,39
10,2,2,2,5.0,34,7.0,24,3.0,31,0.0,40
11,2,2,2,1.0,51,2.0,41,2.0,36,5.0,24
12,0,0,0,0.0,59,0.0,53,0.0,42,0.0,41
13,2,2,2,2.0,45,2.0,42,0.0,43,0.0,42
14,3,3,3,12.0,25,0.0,54,0.0,44,0.0,43
15,2,2,2,3.0,39,1.0,45,0.0,45,0.0,44
16,5,4,5,36.0,7,32.0,7,64.0,3,36.0,7
17,1,1,1,0.0,60,0.0,55,0.0,46,0.0,45
18,4,4,4,33.0,10,42.0,6,45.0,7,27.0,12
19,1,1,1,0.0,61,0.0,56,0.0,47,0.0,46
20,1,1,1,0.0,62,0.0,57,0.0,48,0.0,47
21,2,1,2,3.0,40,4.0,33,9.0,18,15.0,18
22,1,1,1,0.0,63,0.0,58,0.0,49,0.0,48
23,3,3,3,6.0,32,0.0,59,0.0,50,0.0,49
24,2,2,2,3.0,41,1.0,46,0.0,51,0.0,50
25,0,0,0,0.0,64,0.0,60,0.0,52,0.0,51
26,2,2,2,3.0,42,3.0,36,4.0,26,5.0,25
27,2,2,2,3.0,43,6.0,27,4.0,27,7.0,21
28,2,2,2,9.0,30,9.0,22,18.0,15,15.0,19
29,4,3,4,12.0,26,3.0,37,0.0,53,0.0,52
30,2,2,2,1.0,52,3.0,38,4.0,28,8.0,20
31,3,3,3,14.0,21,10.0,21,14.0,17,32.0,9
32,2,2,2,2.0,46,6.0,28,5.0,23,7.0,22
33,2,2,2,0.0,65,0.0,61,0.0,54,0.0,53
34,1,1,1,0.0,66,0.0,62,0.0,55,0.0,54
35,1,1,1,0.0,67,0.0,63,0.0,56,0.0,55
36,2,2,2,1.0,53,1.0,47,0.0,57,0.0,56
37,1,1,1,0.0,68,0.0,64,0.0,58,0.0,57
38,2,2,2,4.0,36,3.0,39,3.0,32,3.0,27
39,1,1,1,0.0,69,0.0,65,0.0,59,0.0,58
40,2,2,2,4.0,37,3.0,40,3.0,33,3.0,28
41,5,5,5,52.0,5,76.0,1,40.0,9,28.0,11
42,0,0,0,0.0,70,0.0,66,0.0,60,0.0,59
43,1,1,1,0.0,71,0.0,67,0.0,61,0.0,60
44,2,2,2,0.0,72,0.0,68,0.0,62,0.0,61
45,1,1,1,0.0,73,0.0,69,0.0,63,0.0,62
46,1,1,1,0.0,74,0.0,70,0.0,64,0.0,63
47,1,1,1,0.0,75,0.0,71,0.0,65,0.0,64
48,1,1,1,0.0,76,0.0,72,0.0,66,0.0,65
49,4,4,4,18.0,18,15.0,13,3.0,34,3.0,29
50,0,0,0,0.0,77,0.0,73,0.0,67,0.0,66
51,0,0,0,0.0,78,0.0,74,0.0,68,0.0,67
52,21,1,21,420.0,1,0.0,75,0.0,69,0.0,68
53,4,2,4,21.0,13,18.0,11,39.0,10,42.0,5
54,1,1,1,0.0,79,0.0,76,0.0,70,0.0,69
55,1,1,1,0.0,80,0.0,77,0.0,71,0.0,70
56,4,3,4,15.0,19,27.0,8,45.0,8,51.0,2
57,3,3,3,6.0,33,12.0,17,6.0,21,4.0,26
58,1,1,1,0.0,81,0.0,78,0.0,72,0.0,71
59,1,1,1,0.0,82,0.0,79,0.0,73,0.0,72
60,0,0,0,0.0,83,0.0,80,0.0,74,0.0,73
61,1,1,1,0.0,84,0.0,81,0.0,75,0.0,74
62,5,4,5,52.0,6,72.0,2,68.0,2,20.0,15
63,2,2,2,2.0,47,6.0,29,5.0,24,7.0,23
64,5,4,5,32.0,11,64.0,3,60.0,4,36.0,8
65,4,4,4,15.0,20,9.0,23,9.0,19,3.0,30
66,1,1,1,0.0,85,0.0,82,0.0,76,0.0,75
67,1,1,1,0.0,86,0.0,83,0.0,77,0.0,76
68,1,1,1,0.0,87,0.0,84,0.0,78,0.0,77
69,2,2,2,4.0,38,5.0,30,4.0,29,2.0,32
70,15,2,15,196.0,4,14.0,14,0.0,79,0.0,78
71,0,0,0,0.0,88,0.0,85,0.0,80,0.0,79
72,0,0,0,0.0,89,0.0,86,0.0,81,0.0,80
73,3,2,3,10.0,29,2.0,43,0.0,82,0.0,81
74,0,0,0,0.0,90,0.0,87,0.0,83,0.0,82
75,1,1,1,0.0,91,0.0,88,0.0,84,0.0,83
76,1,1,1,0.0,92,0.0,89,0.0,85,0.0,84
77,22,2,22,420.0,2,0.0,90,0.0,86,0.0,85
78,4,3,4,21.0,14,24.0,9,48.0,6,45.0,4
79,1,1,1,0.0,93,0.0,91,0.0,87,0.0,86
80,3,3,3,20.0,16,24.0,10,32.0,12,24.0,14
81,2,2,2,2.0,48,5.0,31,0.0,88,0.0,87
82,2,2,2,3.0,44,2.0,44,5.0,25,3.0,31
83,6,5,6,35.0,8,45.0,5,80.0,1,75.0,1
84,1,1,1,0.0,94,0.0,92,0.0,89,0.0,88
