l,removed_k,remaining_unique_edges,remaining_multi_edges,remaining_connected_nodes,largest_component_nodes
1,0,85,130,88,34
1,1,84,109,87,34
1,2,83,108,85,34
1,3,81,93,84,34
1,4,80,92,82,34
1,5,75,87,80,26
1,6,72,83,79,16
1,7,69,79,77,16
1,8,65,75,73,16
1,9,63,72,72,14
1,10,60,69,71,14
2,0,85,130,88,34
2,1,80,125,86,26
2,2,77,121,85,16
2,3,73,116,83,14
2,4,72,115,82,14
2,5,68,111,78,14
2,6,65,108,77,14
2,7,62,104,75,14
2,8,60,101,73,14
2,9,58,98,70,14
2,10,58,98,70,14
3,0,85,130,88,34
3,1,80,124,85,26
3,2,77,121,83,24
3,3,73,116,81,22
3,4,69,111,79,14
3,5,68,110,78,14
3,6,65,106,77,14
3,7,62,103,74,14
3,8,60,100,72,14
3,9,58,98,70,14
3,10,57,95,69,14
4,0,85,130,88,34
4,1,80,124,85,26
4,2,77,120,83,21
4,3,74,116,82,18
4,4,71,112,81,17
4,5,69,108,80,14
4,6,68,107,79,14
4,7,65,104,77,14
4,8,62,100,75,14
4,9,60,98,74,14
4,10,59,97,73,14
