l,rank,flight_id,multi_degree,unique_conflict_partners,conflict_point_involvement,CI
1,1,52,21,1,21,420.0
1,2,77,22,2,22,420.0
1,3,87,15,2,15,210.0
1,4,70,15,2,15,196.0
1,5,41,5,5,5,52.0
1,6,62,5,4,5,52.0
1,7,16,5,4,5,36.0
1,8,83,6,5,6,35.0
1,9,4,4,3,4,33.0
1,10,18,4,4,4,33.0
1,11,64,5,4,5,32.0
1,12,3,3,3,3,22.0
1,13,53,4,2,4,21.0
1,14,78,4,3,4,21.0
1,15,89,4,3,4,21.0
1,16,80,3,3,3,20.0
1,17,85,5,2,5,20.0
1,18,49,4,4,4,18.0
1,19,56,4,3,4,15.0
1,20,65,4,4,4,15.0
2,1,41,5,5,5,76.0
2,2,62,5,4,5,72.0
2,3,64,5,4,5,64.0
2,4,4,4,3,4,51.0
2,5,83,6,5,6,45.0
2,6,18,4,4,4,42.0
2,7,16,5,4,5,32.0
2,8,56,4,3,4,27.0
2,9,78,4,3,4,24.0
2,10,80,3,3,3,24.0
2,11,53,4,2,4,18.0
2,12,3,3,3,3,16.0
2,13,49,4,4,4,15.0
2,14,70,15,2,15,14.0
2,15,88,2,2,2,14.0
2,16,2,4,2,4,12.0
2,17,57,3,3,3,12.0
2,18,89,4,3,4,12.0
2,19,92,3,3,3,12.0
2,20,97,3,2,3,12.0
3,1,83,6,5,6,80.0
3,2,62,5,4,5,68.0
3,3,16,5,4,5,64.0
3,4,64,5,4,5,60.0
3,5,4,4,3,4,54.0
3,6,78,4,3,4,48.0
3,7,18,4,4,4,45.0
3,8,56,4,3,4,45.0
3,9,41,5,5,5,40.0
3,10,53,4,2,4,39.0
3,11,3,3,3,3,32.0
3,12,80,3,3,3,32.0
3,13,97,3,2,3,28.0
3,14,89,4,3,4,21.0
3,15,28,2,2,2,18.0
3,16,2,4,2,4,15.0
3,17,31,3,3,3,14.0
3,18,21,2,1,2,9.0
3,19,65,4,4,4,9.0
3,20,8,2,2,2,8.0
4,1,83,6,5,6,75.0
4,2,56,4,3,4,51.0
4,3,89,4,3,4,48.0
4,4,78,4,3,4,45.0
4,5,53,4,2,4,42.0
4,6,2,4,2,4,39.0
4,7,16,5,4,5,36.0
4,8,64,5,4,5,36.0
4,9,31,3,3,3,32.0
4,10,97,3,2,3,30.0
4,11,41,5,5,5,28.0
4,12,18,4,4,4,27.0
4,13,4,4,3,4,24.0
4,14,80,3,3,3,24.0
4,15,62,5,4,5,20.0
4,16,3,3,3,3,18.0
4,17,8,2,2,2,15.0
4,18,21,2,1,2,15.0
4,19,28,2,2,2,15.0
4,20,30,2,2,2,8.0
