flight_id,network_type,l,unique_conflict_partners,conflict_point_involvement,binary_degree,multi_degree,weighted_strength,CI,rank
49,binary,1,5.0,28.0,5.0,28.0,28.0,16.0,2
49,binary,2,5.0,28.0,5.0,28.0,28.0,16.0,4
49,binary,3,5.0,28.0,5.0,28.0,28.0,16.0,2
49,binary,4,5.0,28.0,5.0,28.0,28.0,20.0,2
49,multi,1,5.0,28.0,5.0,28.0,28.0,756.0,1
49,multi,2,5.0,28.0,5.0,28.0,28.0,135.0,3
49,multi,3,5.0,28.0,5.0,28.0,28.0,162.0,3
49,multi,4,5.0,28.0,5.0,28.0,28.0,243.0,1
49,weighted,1,5.0,28.0,5.0,28.0,28.0,756.0,1
49,weighted,2,5.0,28.0,5.0,28.0,28.0,135.0,3
49,weighted,3,5.0,28.0,5.0,28.0,28.0,162.0,3
49,weighted,4,5.0,28.0,5.0,28.0,28.0,243.0,1
73,binary,1,2.0,24.0,2.0,24.0,24.0,5.0,19
73,binary,2,2.0,24.0,2.0,24.0,24.0,6.0,14
73,binary,3,2.0,24.0,2.0,24.0,24.0,5.0,18
73,binary,4,2.0,24.0,2.0,24.0,24.0,6.0,15
73,multi,1,2.0,24.0,2.0,24.0,24.0,644.0,2
73,multi,2,2.0,24.0,2.0,24.0,24.0,230.0,1
73,multi,3,2.0,24.0,2.0,24.0,24.0,230.0,1
73,multi,4,2.0,24.0,2.0,24.0,24.0,207.0,2
73,weighted,1,2.0,24.0,2.0,24.0,24.0,644.0,2
73,weighted,2,2.0,24.0,2.0,24.0,24.0,230.0,1
73,weighted,3,2.0,24.0,2.0,24.0,24.0,230.0,1
73,weighted,4,2.0,24.0,2.0,24.0,24.0,207.0,2
98,binary,1,4.0,4.0,4.0,4.0,4.0,15.0,4
98,binary,2,4.0,4.0,4.0,4.0,4.0,21.0,1
98,binary,3,4.0,4.0,4.0,4.0,4.0,6.0,14
98,binary,4,4.0,4.0,4.0,4.0,4.0,12.0,6
98,multi,1,4.0,4.0,4.0,4.0,4.0,15.0,15
98,multi,2,4.0,4.0,4.0,4.0,4.0,27.0,11
98,multi,3,4.0,4.0,4.0,4.0,4.0,12.0,20
98,multi,4,4.0,4.0,4.0,4.0,4.0,81.0,6
98,weighted,1,4.0,4.0,4.0,4.0,4.0,15.0,15
98,weighted,2,4.0,4.0,4.0,4.0,4.0,27.0,11
98,weighted,3,4.0,4.0,4.0,4.0,4.0,12.0,20
98,weighted,4,4.0,4.0,4.0,4.0,4.0,81.0,6
