flight_a,flight_b,conflict_point_count,continuous_segment_count,max_continuous_segment_length,first_conflict_cell,last_conflict_cell,time_gap_mean,time_gap_min,time_gap_max
49,73,23,1,23,"(30,11,0)","(12,32,0)",31.494686815834484,31.494686815834484,31.494686815834484
2,59,4,1,4,"(27,34,1)","(30,31,1)",46.074594837958955,46.074594837958955,46.074594837958955
25,58,3,1,3,"(23,31,0)","(21,32,0)",-39.11391133038012,-39.11391133038012,-39.11391133038012
0,63,2,1,2,"(21,40,0)","(22,39,0)",-11.871544549049759,-26.01368017278071,2.2705910746811924
27,54,2,1,2,"(12,15,0)","(11,15,0)",9.173007287037535,9.173007287037535,9.173007287037535
30,47,2,1,2,"(34,56,0)","(33,55,0)",7.034537489451623,7.034537489451623,7.034537489451623
37,76,2,1,2,"(12,58,0)","(11,58,0)",-20.378194361524493,-20.378194361524493,-20.378194361524493
42,78,2,1,2,"(39,36,1)","(38,37,1)",31.911095689267427,31.911095689267313,31.91109568926754
47,58,2,1,2,"(22,32,0)","(23,31,0)",24.23383366729888,10.09169804356793,38.37596929102983
49,99,2,1,2,"(3,51,0)","(2,52,0)",-20.727384390635052,-20.727384390635052,-20.727384390635052
55,77,2,1,2,"(44,22,0)","(45,21,0)",-9.857209231138995,-23.999344854869946,4.284926392591956
1,47,1,1,1,"(19,4,0)","(19,4,0)",-12.27651683150043,-12.27651683150043,-12.27651683150043
1,73,1,1,1,"(32,9,0)","(32,9,0)",-18.02975389115113,-18.02975389115113,-18.02975389115113
3,65,1,1,1,"(43,35,0)","(43,35,0)",-42.25113342555733,-42.25113342555733,-42.25113342555733
4,56,1,1,1,"(38,27,1)","(38,27,1)",-16.451711756034683,-16.451711756034683,-16.451711756034683
4,98,1,1,1,"(28,27,1)","(28,27,1)",19.235990464422002,19.235990464422002,19.235990464422002
6,11,1,1,1,"(20,29,1)","(20,29,1)",-26.03513694525202,-26.03513694525202,-26.03513694525202
6,72,1,1,1,"(14,40,0)","(14,40,0)",-4.634522411066996,-4.634522411066996,-4.634522411066996
8,56,1,1,1,"(24,41,1)","(24,41,1)",-18.471731501665545,-18.471731501665545,-18.471731501665545
9,12,1,1,1,"(47,54,0)","(47,54,0)",-3.106469265384476,-3.106469265384476,-3.106469265384476
13,45,1,1,1,"(52,10,0)","(52,10,0)",36.788636002316025,36.788636002316025,36.788636002316025
13,59,1,1,1,"(54,8,0)","(54,8,0)",12.659650877714853,12.659650877714853,12.659650877714853
14,40,1,1,1,"(32,28,1)","(32,28,1)",28.307541880314886,28.307541880314886,28.307541880314886
14,93,1,1,1,"(32,23,1)","(32,23,1)",46.847991766544396,46.847991766544396,46.847991766544396
15,67,1,1,1,"(14,49,0)","(14,49,0)",43.37742076522227,43.37742076522227,43.37742076522227
