metric,spearman_correlation
unique_conflict_partners,0.9300388663837234
binary_degree,0.9300388663837234
multi_degree,0.9999999999999999
weighted_strength,0.9999999999999999
pagerank_binary,0.8237732306968333
betweenness_binary,0.8094288104627336
CI_binary_l1,0.8043703147418535
CI_binary_l2,0.8023052038018406
CI_binary_l3,0.7969125018851182
CI_binary_l4,0.8089067853185776
CI_multi_l1,0.8983177930586208
CI_multi_l2,0.8785405813551129
CI_multi_l3,0.8716301216697456
CI_multi_l4,0.8738722443952082
CI_weighted_l1,0.8983177930586208
CI_weighted_l2,0.8785405813551129
CI_weighted_l3,0.8716301216697456
CI_weighted_l4,0.8738722443952082
