flight_id,unique_conflict_partners,conflict_point_involvement,binary_degree,multi_degree,weighted_strength,pagerank_binary,betweenness_binary,CI_binary_l1,CI_binary_l2,CI_binary_l3,CI_binary_l4,CI_multi_l1,CI_multi_l2,CI_multi_l3,CI_multi_l4,CI_weighted_l1,CI_weighted_l2,CI_weighted_l3,CI_weighted_l4
0,1,2,1,2,2,0.009159093229341709,0.0,0.0,0.0,0.0,0.0,4.0,3.0,8.0,9.0,4.0,3.0,8.0,9.0
1,2,2,2,2,2,0.005598363108115162,0.11337868480725623,4.0,6.0,8.0,8.0,28.0,33.0,13.0,10.0,28.0,33.0,13.0,10.0
2,1,4,1,4,4,0.012205229835110756,0.0,0.0,0.0,0.0,0.0,15.0,12.0,12.0,12.0,15.0,12.0,12.0,12.0
3,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,2,2,2,2,0.009913802270048266,0.09111523397237682,5.0,6.0,9.0,2.0,5.0,6.0,34.0,28.0,5.0,6.0,34.0,28.0
5,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,2,2,2,2,0.012029651425852897,0.009482580911152338,2.0,3.0,5.0,2.0,2.0,3.0,6.0,3.0,2.0,3.0,6.0,3.0
7,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,1,1,1,1,0.005742617670614654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,1,1,1,1,0.006883955883308783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2,2,2,2,2,0.007472009558469926,0.0,5.0,2.0,1.0,3.0,8.0,7.0,4.0,5.0,8.0,7.0,4.0,5.0
14,2,2,2,2,2,0.011020559970172287,0.0006184291898577612,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0
15,2,2,2,2,2,0.012017880487686365,0.006184291898577612,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0
16,2,2,2,2,2,0.010163320459995106,0.027210884353741496,5.0,4.0,5.0,2.0,6.0,5.0,6.0,3.0,6.0,5.0,6.0,3.0
17,1,1,1,1,1,0.005942140915844475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0,0,0,0,0.001770956316410862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1,1,1,1,1,0.011806375442739074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1,1,1,1,1,0.002969653557677494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
