network_type,l,rank,flight_id,score,unique_conflict_partners,conflict_point_involvement
binary,1,1,83,18.0,4,4
binary,1,2,49,16.0,5,28
binary,1,3,45,15.0,4,4
binary,1,4,98,15.0,4,4
binary,1,5,33,12.0,3,3
binary,1,6,64,12.0,3,3
binary,1,7,47,9.0,4,6
binary,1,8,63,9.0,4,5
binary,1,9,25,8.0,3,5
binary,1,10,59,8.0,3,6
binary,2,1,98,21.0,4,4
binary,2,2,47,18.0,4,6
binary,2,3,63,18.0,4,5
binary,2,4,49,16.0,5,28
binary,2,5,56,14.0,3,3
binary,2,6,25,12.0,3,5
binary,2,7,72,10.0,3,3
binary,2,8,64,8.0,3,3
binary,2,9,1,6.0,2,2
binary,2,10,4,6.0,2,2
binary,3,1,47,27.0,4,6
binary,3,2,49,16.0,5,28
binary,3,3,63,15.0,4,5
binary,3,4,56,12.0,3,3
binary,3,5,83,12.0,4,4
binary,3,6,33,10.0,3,3
binary,3,7,4,9.0,2,2
binary,3,8,45,9.0,4,4
binary,3,9,1,8.0,2,2
binary,3,10,37,8.0,3,4
binary,4,1,47,27.0,4,6
binary,4,2,49,20.0,5,28
binary,4,3,33,14.0,3,3
binary,4,4,56,14.0,3,3
binary,4,5,63,12.0,4,5
binary,4,6,98,12.0,4,4
binary,4,7,37,10.0,3,4
binary,4,8,46,10.0,2,2
binary,4,9,1,8.0,2,2
binary,4,10,25,8.0,3,5
multi,1,1,49,756.0,5,28
multi,1,2,73,644.0,2,24
multi,1,3,33,58.0,3,3
multi,1,4,42,58.0,2,3
multi,1,5,58,36.0,2,5
multi,1,6,47,35.0,4,6
multi,1,7,59,35.0,3,6
multi,1,8,45,30.0,4,4
multi,1,9,1,28.0,2,2
multi,1,10,25,28.0,3,5
multi,2,1,73,230.0,2,24
multi,2,2,47,155.0,4,6
multi,2,3,49,135.0,5,28
multi,2,4,56,60.0,3,3
multi,2,5,33,54.0,3,3
multi,2,6,78,54.0,2,3
multi,2,7,42,52.0,2,3
multi,2,8,25,44.0,3,5
multi,2,9,1,33.0,2,2
multi,2,10,63,32.0,4,5
multi,3,1,73,230.0,2,24
multi,3,2,47,165.0,4,6
multi,3,3,49,162.0,5,28
multi,3,4,58,132.0,2,5
multi,3,5,56,60.0,3,3
multi,3,6,78,52.0,2,3
multi,3,7,63,36.0,4,5
multi,3,8,4,34.0,2,2
multi,3,9,30,31.0,1,2
multi,3,10,46,30.0,2,2
multi,4,1,49,243.0,5,28
multi,4,2,73,207.0,2,24
multi,4,3,58,132.0,2,5
multi,4,4,63,112.0,4,5
multi,4,5,25,108.0,3,5
multi,4,6,98,81.0,4,4
multi,4,7,47,70.0,4,6
multi,4,8,30,33.0,1,2
multi,4,9,46,33.0,2,2
multi,4,10,4,28.0,2,2
weighted,1,1,49,756.0,5,28
weighted,1,2,73,644.0,2,24
weighted,1,3,33,58.0,3,3
weighted,1,4,42,58.0,2,3
weighted,1,5,58,36.0,2,5
weighted,1,6,47,35.0,4,6
weighted,1,7,59,35.0,3,6
weighted,1,8,45,30.0,4,4
weighted,1,9,1,28.0,2,2
weighted,1,10,25,28.0,3,5
weighted,2,1,73,230.0,2,24
weighted,2,2,47,155.0,4,6
weighted,2,3,49,135.0,5,28
weighted,2,4,56,60.0,3,3
weighted,2,5,33,54.0,3,3
weighted,2,6,78,54.0,2,3
weighted,2,7,42,52.0,2,3
weighted,2,8,25,44.0,3,5
weighted,2,9,1,33.0,2,2
weighted,2,10,63,32.0,4,5
weighted,3,1,73,230.0,2,24
weighted,3,2,47,165.0,4,6
weighted,3,3,49,162.0,5,28
weighted,3,4,58,132.0,2,5
weighted,3,5,56,60.0,3,3
weighted,3,6,78,52.0,2,3
weighted,3,7,63,36.0,4,5
weighted,3,8,4,34.0,2,2
weighted,3,9,30,31.0,1,2
weighted,3,10,46,30.0,2,2
weighted,4,1,49,243.0,5,28
weighted,4,2,73,207.0,2,24
weighted,4,3,58,132.0,2,5
weighted,4,4,63,112.0,4,5
weighted,4,5,25,108.0,3,5
weighted,4,6,98,81.0,4,4
weighted,4,7,47,70.0,4,6
weighted,4,8,30,33.0,1,2
weighted,4,9,46,33.0,2,2
weighted,4,10,4,28.0,2,2
