network_type,l,conflict_point_coverage,conflict_pair_coverage,covered_unique_flights,top10_total_incident_conflict_points,top10_mean_incident_conflict_points,top10_median_incident_conflict_points
binary,1,0.5887850467289719,0.4444444444444444,34,68,6.8,4.5
binary,2,0.5233644859813084,0.3888888888888889,29,61,6.1,3.5
binary,3,0.5327102803738317,0.4166666666666667,33,61,6.1,4.0
binary,4,0.5327102803738317,0.3888888888888889,29,62,6.2,4.0
multi,1,0.48598130841121495,0.2916666666666667,21,86,8.6,5.0
multi,2,0.48598130841121495,0.3194444444444444,24,82,8.2,4.0
multi,3,0.4672897196261682,0.2916666666666667,22,80,8.0,4.0
multi,4,0.4672897196261682,0.3055555555555556,24,83,8.3,5.0
weighted,1,0.48598130841121495,0.2916666666666667,21,86,8.6,5.0
weighted,2,0.48598130841121495,0.3194444444444444,24,82,8.2,4.0
weighted,3,0.4672897196261682,0.2916666666666667,22,80,8.0,4.0
weighted,4,0.4672897196261682,0.3055555555555556,24,83,8.3,5.0
