rank,flight_a,flight_b,conflict_point_count,continuous_segment_count,max_continuous_segment_length,first_conflict_cell,last_conflict_cell,time_gap_mean,time_gap_min,time_gap_max,binary_edge_count,multi_edge_count,edge_weight
1,49,73,23,1,23,"(30,11,0)","(12,32,0)",31.494686815834484,31.494686815834484,31.494686815834484,1,23,23
2,2,59,4,1,4,"(27,34,1)","(30,31,1)",46.074594837958955,46.074594837958955,46.074594837958955,1,4,4
3,25,58,3,1,3,"(23,31,0)","(21,32,0)",-39.11391133038012,-39.11391133038012,-39.11391133038012,1,3,3
4,0,63,2,1,2,"(21,40,0)","(22,39,0)",-11.871544549049759,-26.01368017278071,2.2705910746811924,1,2,2
5,27,54,2,1,2,"(12,15,0)","(11,15,0)",9.173007287037535,9.173007287037535,9.173007287037535,1,2,2
6,30,47,2,1,2,"(34,56,0)","(33,55,0)",7.034537489451623,7.034537489451623,7.034537489451623,1,2,2
7,37,76,2,1,2,"(12,58,0)","(11,58,0)",-20.378194361524493,-20.378194361524493,-20.378194361524493,1,2,2
8,42,78,2,1,2,"(39,36,1)","(38,37,1)",31.911095689267427,31.911095689267313,31.91109568926754,1,2,2
9,47,58,2,1,2,"(22,32,0)","(23,31,0)",24.23383366729888,10.09169804356793,38.37596929102983,1,2,2
10,49,99,2,1,2,"(3,51,0)","(2,52,0)",-20.727384390635052,-20.727384390635052,-20.727384390635052,1,2,2
11,55,77,2,1,2,"(44,22,0)","(45,21,0)",-9.857209231138995,-23.999344854869946,4.284926392591956,1,2,2
12,1,47,1,1,1,"(19,4,0)","(19,4,0)",-12.27651683150043,-12.27651683150043,-12.27651683150043,1,1,1
13,1,73,1,1,1,"(32,9,0)","(32,9,0)",-18.02975389115113,-18.02975389115113,-18.02975389115113,1,1,1
14,3,65,1,1,1,"(43,35,0)","(43,35,0)",-42.25113342555733,-42.25113342555733,-42.25113342555733,1,1,1
15,4,56,1,1,1,"(38,27,1)","(38,27,1)",-16.451711756034683,-16.451711756034683,-16.451711756034683,1,1,1
16,4,98,1,1,1,"(28,27,1)","(28,27,1)",19.235990464422002,19.235990464422002,19.235990464422002,1,1,1
17,6,11,1,1,1,"(20,29,1)","(20,29,1)",-26.03513694525202,-26.03513694525202,-26.03513694525202,1,1,1
18,6,72,1,1,1,"(14,40,0)","(14,40,0)",-4.634522411066996,-4.634522411066996,-4.634522411066996,1,1,1
19,8,56,1,1,1,"(24,41,1)","(24,41,1)",-18.471731501665545,-18.471731501665545,-18.471731501665545,1,1,1
20,9,12,1,1,1,"(47,54,0)","(47,54,0)",-3.106469265384476,-3.106469265384476,-3.106469265384476,1,1,1
