plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
0,64,48,22,2,22,10,1262.1618627239218,1231.3246401939327,30.83722252998905,30.83722252998905,31.70905083247395,uncertain
1,85,56,0,1,58,55,1115.0683331311498,1109.5219852898256,5.546347841324177,5.546347841324177,49.991038517175895,uncertain
38,40,33,31,2,21,20,914.5428849484113,925.4849696824301,-10.942084734018863,10.942084734018863,34.2213841910914,uncertain
2,53,23,31,2,28,23,1375.8626959334144,1360.116347430489,15.746348502925457,15.746348502925457,37.221087047259104,uncertain
2,53,22,30,2,29,24,1392.1237790093965,1374.2840529029322,17.83972610646424,17.83972610646424,37.81748034374009,uncertain
2,53,21,29,2,30,25,1408.3848620853785,1388.4517583753754,19.933103710003024,19.933103710003024,38.41387364022107,uncertain
69,92,32,25,1,26,31,781.7387717222873,755.0299274960026,26.70884422628467,26.70884422628467,37.33730389647919,uncertain
3,16,34,29,1,15,28,1268.1010697679676,1263.621578362747,4.479491405220642,4.479491405220642,34.61699983229971,uncertain
3,89,35,30,1,16,19,1280.7069174828061,1274.3945911249407,6.312326357865459,6.312326357865459,33.76244590535285,uncertain
4,56,15,26,2,5,32,1336.2934793474717,1326.4095456030425,9.883933744429214,9.883933744429214,31.929227392839596,uncertain
52,77,19,21,2,40,37,1060.704790001902,1035.2628746853727,25.441915316529276,25.441915316529276,39.82899520728959,uncertain
4,64,23,17,2,14,35,1464.192177977143,1463.3812209277542,0.8109570493888896,0.8109570493888896,34.742966980949255,uncertain
4,64,24,17,2,15,34,1474.5788700642763,1455.0636301878121,19.515239876464193,19.515239876464193,34.78352062215784,uncertain
4,62,41,8,2,32,41,1698.4780315830658,1700.8200747132917,-2.342043130225875,2.342043130225875,42.02677729319758,uncertain
5,85,48,1,1,8,47,995.7932793722578,1013.5582618073773,-17.764982435119578,17.764982435119578,36.548835184782206,uncertain
5,85,47,1,1,9,46,1006.8465018755883,1002.1533072300915,4.69319464549676,4.69319464549676,36.541941362810604,uncertain
5,85,46,1,1,10,45,1017.8997243789188,990.7483526528057,27.151371726113098,27.151371726113098,36.535047540839,uncertain
6,92,17,51,2,13,5,404.18945349576666,432.0233547681739,-27.833901272407218,27.833901272407218,28.02255331143406,uncertain
7,27,35,46,2,23,33,1635.050503463345,1645.1378561993897,-10.08735273604475,10.08735273604475,36.88132295852656,uncertain
8,30,28,54,1,5,38,977.6329778285742,983.4581359671595,-5.825158138585266,5.825158138585266,34.18124604549667,uncertain
8,56,13,38,2,21,20,1183.1841046596815,1199.2287447866872,-16.044640127005778,16.044640127005778,33.29928809241366,uncertain
9,63,29,4,0,1,0,1059.7478600081095,1076.6125700773841,-16.86471006927468,16.86471006927468,24.16728099069038,uncertain
52,77,14,21,2,45,42,1104.7005190155076,1080.332303954597,24.368215060910643,24.368215060910643,41.57464023240665,uncertain
10,49,13,10,1,11,44,1129.0864282760947,1099.9638975236917,29.12253075240301,29.12253075240301,38.292903276013,uncertain
10,57,37,4,1,35,37,1425.977576599366,1393.291016563299,32.68656003606702,32.68656003606702,44.637465999023846,uncertain
11,82,35,45,1,11,35,1343.0582189303288,1338.2606250018844,4.797593928444485,4.797593928444485,38.49982639703337,uncertain
16,89,33,32,1,31,21,1298.7282038548763,1308.275486864461,-9.547283009584817,9.547283009584817,39.005473060527166,uncertain
13,23,37,36,1,11,27,653.8886664875179,658.268907877262,-4.380241389744128,4.380241389744128,33.85897755030818,uncertain
34,86,13,48,1,4,36,1796.874645201,1822.6202873397806,-25.745642138780568,25.745642138780568,34.96183502693123,uncertain
13,75,3,49,1,45,3,1042.945054908938,1017.1010153745475,25.84403953439039,25.84403953439039,35.43457640093121,uncertain
14,81,38,25,1,18,24,1569.2624865675084,1598.8299743301268,-29.567487762618384,29.567487762618384,33.539310344903406,uncertain
14,73,36,25,1,20,14,1587.0100865504,1557.2134413827491,29.796645167650922,29.796645167650922,32.59047145093677,uncertain
70,87,18,26,1,31,25,685.9803256495026,694.3150339023582,-8.334708252855648,8.334708252855648,35.920431113302286,uncertain
70,87,14,26,1,35,29,728.4870633168729,732.5777147486465,-4.090651431773608,4.090651431773608,37.50348262669242,uncertain
70,87,13,26,1,36,30,737.2904969339029,742.1433849602186,-4.852888026315668,4.852888026315668,37.86351044601579,uncertain
20,26,12,26,1,38,2,1415.245483280691,1446.5068657358158,-31.26138245512493,31.26138245512493,36.66723307181172,uncertain
87,88,8,26,1,35,8,789.9717360180789,816.8186095208026,-26.846873502723724,26.846873502723724,33.672158182525116,uncertain
15,23,37,51,2,28,42,818.8726404355599,819.3076887924751,-0.4350483569152175,0.4350483569152175,41.61027718341229,uncertain
15,24,37,51,2,28,17,818.8726404355599,849.936520590041,-31.063880154481126,31.063880154481126,34.63264838443783,uncertain
23,24,37,51,2,42,17,819.3076887924751,849.936520590041,-30.62883179756591,30.62883179756591,37.37846074310177,uncertain
49,65,41,16,1,16,7,757.2289628412968,754.718494149116,2.5104686921807797,2.5104686921807797,30.407477153724013,uncertain
78,80,38,22,1,14,19,1314.6195364372031,1335.7143427697936,-21.09480633259045,21.09480633259045,31.799564224736535,uncertain
16,89,34,31,1,30,20,1284.1865634468834,1291.3350389947009,-7.1484755478174975,7.1484755478174975,38.3884354687021,uncertain
16,41,34,48,1,47,33,1476.0255281257416,1451.393207358147,24.632320767594592,24.632320767594592,43.919582188502545,uncertain
18,97,45,15,1,5,7,1180.697570634924,1194.7931403270288,-14.095569692104846,14.095569692104846,26.079885023760383,uncertain
29,73,45,16,1,16,5,1402.800579307038,1396.8739117386697,5.92666756836843,5.92666756836843,28.73129758773553,uncertain
29,73,44,17,1,17,6,1414.7076309567178,1414.6894150324563,0.01821592426153984,0.01821592426153984,29.313848959912598,uncertain
18,78,43,20,1,10,9,1237.4170213231587,1262.1890999513844,-24.7720786282257,24.7720786282257,28.170272931475644,uncertain
39,81,37,35,1,30,34,1698.7193284642694,1701.938078693612,-3.218750229342504,3.218750229342504,40.229129619936785,uncertain
64,80,35,17,2,23,25,1363.5701320484498,1396.6551282432804,-33.08499619483064,33.08499619483064,34.69747001551218,uncertain
52,77,15,21,2,44,41,1095.9013732127864,1071.318418100752,24.58295511203437,24.58295511203437,41.22551122738324,uncertain
22,33,12,30,2,50,24,690.6441168749136,653.775595096991,36.86852177792264,36.86852177792264,36.98179425437879,uncertain
45,66,37,30,1,34,28,920.2279007777644,927.6707947340255,-7.442893956261173,7.442893956261173,38.00677232947332,uncertain
27,89,24,45,2,22,34,1545.7486500673274,1509.1817701553427,36.56687991198464,36.56687991198464,39.736115272568505,uncertain
28,62,24,43,2,17,6,1297.8460534842998,1292.305019952633,5.541033531666699,5.541033531666699,30.216715469972595,uncertain
28,83,23,42,2,18,13,1312.740133279152,1286.715806295755,26.024326983396804,26.024326983396804,32.88574954953948,uncertain
31,83,30,39,2,12,20,1396.0909211334506,1376.2214631209295,19.869458012521136,19.869458012521136,32.48992092000835,uncertain
31,63,28,37,3,14,33,1420.8434703689036,1443.555446923427,-22.711976554523517,22.711976554523517,34.48651001488342,uncertain
52,77,11,21,2,48,45,1131.097956423671,1107.3739615161314,23.723994907539463,23.723994907539463,42.62202724747688,uncertain
33,48,11,19,2,35,10,749.3592221167798,761.1341079446157,-11.774885827835874,11.774885827835874,33.10273307011546,uncertain
53,64,11,16,2,38,47,1560.1830549400627,1566.6375686978115,-6.454513757748828,6.454513757748828,43.04662396328299,uncertain
36,94,37,19,2,16,19,587.5934930673048,581.8482588117785,5.745234255526384,5.745234255526384,33.80389329415924,uncertain
36,95,28,19,2,25,19,686.0306625477024,656.45891368476,29.5717488629424,29.5717488629424,35.328603288453294,uncertain
52,77,25,20,2,34,31,1004.2651896567899,977.4458857919587,26.819303864831113,26.819303864831113,37.58960720825061,uncertain
52,77,24,20,2,35,32,1013.064335459511,986.4597716458035,26.6045638137075,26.6045638137075,37.93873621327402,uncertain
52,77,23,20,2,36,33,1021.8634812622321,995.4736574996482,26.389823762583887,26.389823762583887,38.287865218297426,uncertain
52,77,22,20,2,37,34,1030.6626270649533,1004.4875433534929,26.17508371146039,26.17508371146039,38.63699422332084,uncertain
