segment_id,plan_a,plan_b,conflict_points,start_idx_a,end_idx_a,start_idx_b,end_idx_b,required_shift,cells
0,2,53,3,28,30,23,25,29.305377981889578,23:31:2;22:30:2;21:29:2
1,18,73,3,6,8,5,7,8.192691723362529,45:16:1;44:17:1;43:18:1
2,1,72,2,32,33,29,30,8.425617148468106,55:26:1;56:25:1
3,1,80,1,21,21,4,4,24.39027869724159,53:37:1
4,8,46,1,40,40,34,34,37.06740866081603,0:20:1
5,9,63,1,1,1,0,0,12.71305309734091,29:4:0
6,13,33,1,35,35,6,6,16.703039168495955,13:48:1
7,13,41,1,23,23,24,24,8.507047403023513,25:46:1
8,13,88,1,21,21,27,27,14.470244085637425,27:44:1
9,15,23,1,28,28,42,42,49.42707911767599,37:51:2
10,16,82,1,44,44,33,33,36.8331573737517,33:45:1
11,18,70,1,13,13,6,6,22.966600075277142,43:23:1
12,19,37,1,28,28,4,4,5.124372323012061,27:46:2
13,24,95,1,26,26,51,51,41.661713741833154,28:51:2
14,26,83,1,17,17,16,16,42.23316358325049,26:40:2
15,33,48,1,35,35,10,10,24.9513111443708,11:19:2
16,34,86,1,4,4,36,36,14.28338842336511,13:48:1
17,36,94,1,16,16,19,19,18.7208472406165,37:19:2
18,38,65,1,20,20,21,21,9.89683915288201,32:30:2
19,39,81,1,30,30,34,34,46.18591279913139,37:35:1
20,43,44,1,16,16,29,29,25.935580184222616,27:30:1
21,55,65,1,1,1,0,0,25.47159826506394,46:9:0
22,66,69,1,23,23,22,22,32.427000885237675,36:25:1
23,66,73,1,23,23,14,14,25.37234587303284,36:25:1
24,69,73,1,22,22,14,14,36.831157594849316,36:25:1
25,76,77,1,2,2,16,16,24.206029411572658,40:20:1
26,78,86,1,25,25,11,11,31.81188293806123,27:23:1
