plan_a,plan_b,conflict_points,min_time_diff,max_required_gap,cells
1,80,1,16.18353071154172,40.57380940878331,53:37:1
1,72,2,40.36261227938866,49.304561545030765,55:26:1;56:25:1
2,53,3,18.338458707624795,48.75651130894093,23:31:2;22:30:2;21:29:2
24,95,1,9.180297740462493,50.842011482295646,28:51:2
8,46,1,15.751196343241133,52.81860500405716,0:20:1
9,63,1,21.366004150518847,34.07905724785976,29:4:0
13,88,1,31.580410717015297,46.05065480265272,27:44:1
13,41,1,37.18461710701831,45.691664510041825,25:46:1
13,33,1,26.940700871866625,43.64374004036258,13:48:1
34,86,1,30.777060593183933,45.06044901654904,13:48:1
69,73,1,6.967967009827561,43.79912460467688,36:25:1
66,73,1,18.706927079696953,44.079272952729795,36:25:1
66,69,1,11.738960069869393,44.16596095510707,36:25:1
15,23,1,2.529466725651332,51.95654584332732,37:51:2
16,82,1,18.814224625778138,55.64738199952984,33:45:1
18,73,3,28.63369731568413,38.06422192460583,45:16:1;44:17:1;43:18:1
18,70,1,14.928023503535869,37.89462357881301,43:23:1
39,81,1,4.02736819981169,50.21328099894308,37:35:1
19,37,1,40.28041798653203,45.40479030954409,27:46:2
78,86,1,11.399976373248137,43.21185931130937,27:23:1
38,65,1,34.39022432217439,44.2870634750564,32:30:2
26,83,1,1.3263975797086687,43.559561162959156,26:40:2
33,48,1,18.749692670749596,43.701003815120394,11:19:2
36,94,1,25.221528779331948,43.94237601994845,37:19:2
43,44,1,19.15210121212931,45.087681396351925,27:30:1
55,65,1,8.735466522959427,34.20706478802337,46:9:0
76,77,1,14.522997060681519,38.729026472254176,40:20:1
