flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
0,1,0.0,1,False
1,2,0.0,3,False
2,2,3.0,4,False
3,3,14.0,3,True
4,3,26.0,4,True
5,1,0.0,4,False
6,1,0.0,1,False
7,1,0.0,1,False
8,2,2.0,2,False
9,1,0.0,1,False
10,2,7.0,2,False
11,2,2.0,2,False
12,0,0.0,0,False
13,2,2.0,2,False
14,3,0.0,3,False
15,2,1.0,2,False
16,4,21.0,5,True
17,1,0.0,1,False
18,4,33.0,4,True
19,1,0.0,1,False
20,1,0.0,1,False
21,1,0.0,2,False
22,1,0.0,1,False
23,3,0.0,3,False
24,2,1.0,2,False
25,0,0.0,0,False
26,2,1.0,2,False
27,2,5.0,2,False
28,2,8.0,2,False
29,3,2.0,4,False
30,2,2.0,2,False
31,3,8.0,3,False
32,2,5.0,2,False
33,2,0.0,2,False
34,1,0.0,1,False
35,1,0.0,1,False
36,2,1.0,2,False
37,1,0.0,1,False
38,2,3.0,2,False
39,1,0.0,1,False
40,2,3.0,2,False
41,5,56.0,5,True
42,0,0.0,0,False
43,1,0.0,1,False
44,2,0.0,2,False
45,1,0.0,1,False
46,1,0.0,1,False
47,1,0.0,1,False
48,1,0.0,1,False
49,4,15.0,4,True
50,0,0.0,0,False
51,0,0.0,0,False
52,1,0.0,21,False
53,2,5.0,4,False
54,1,0.0,1,False
55,1,0.0,1,False
56,3,14.0,4,False
57,3,12.0,3,False
58,1,0.0,1,False
59,1,0.0,1,False
60,0,0.0,0,False
61,1,0.0,1,False
62,4,45.0,5,True
63,2,5.0,2,False
64,4,33.0,5,True
65,4,9.0,4,False
66,1,0.0,1,False
67,1,0.0,1,False
68,1,0.0,1,False
69,2,5.0,2,False
70,2,1.0,15,False
71,0,0.0,0,False
72,0,0.0,0,False
73,2,1.0,3,False
74,0,0.0,0,False
75,1,0.0,1,False
76,1,0.0,1,False
77,2,0.0,22,False
78,3,14.0,4,False
79,1,0.0,1,False
80,3,16.0,3,True
81,2,3.0,2,False
82,2,2.0,2,False
83,5,32.0,6,True
84,1,0.0,1,False
85,2,0.0,5,False
86,1,0.0,1,False
87,2,0.0,15,False
88,2,1.0,2,False
89,3,8.0,4,False
90,0,0.0,0,False
91,1,0.0,1,False
92,3,12.0,3,False
93,0,0.0,0,False
94,1,0.0,1,False
95,2,0.0,2,False
96,1,0.0,2,False
97,2,6.0,3,False
98,0,0.0,0,False
99,2,1.0,2,False
