plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
46,50,37,43,0,35,15,1926.4762763747603,1889.632548826632,36.8437275481283,36.8437275481283,46.72356944916987,uncertain
46,92,48,43,0,46,45,2053.0448188696846,2105.873019020509,-52.828200150824614,52.828200150824614,54.8457202757464,uncertain
46,92,49,43,0,47,46,2063.0448188696846,2115.873019020509,-52.828200150824614,52.828200150824614,55.2377130726544,uncertain
46,92,50,43,0,48,47,2073.0448188696846,2125.873019020509,-52.828200150824614,52.828200150824614,55.629705869562414,uncertain
46,92,51,43,0,49,48,2083.0448188696846,2135.873019020509,-52.828200150824614,52.828200150824614,56.02169866647043,uncertain
17,92,55,43,0,48,52,2170.9682972899604,2175.873019020509,-4.904721730548772,4.904721730548772,56.9467612103232,uncertain
15,66,14,45,0,8,11,543.1703393448362,550.6766982262977,-7.506358881461551,7.506358881461551,39.10517813519295,uncertain
1,26,50,54,0,46,41,1322.1857236173614,1353.9178120187235,-31.732088401362034,31.732088401362034,55.50089610917267,uncertain
2,11,35,34,1,17,24,1052.3072332800298,1051.5314348531617,0.7757984268680502,0.7757984268680502,44.64720028024706,uncertain
2,65,26,34,1,26,28,1143.1878462978507,1109.3395564949083,33.84828980294242,33.84828980294242,47.47076404779915,uncertain
2,14,26,34,1,26,21,1143.1878462978507,1172.76780790487,-29.579961607019413,29.579961607019413,45.692867426541454,uncertain
2,52,24,34,1,28,28,1163.1878462978507,1149.0894298547328,14.098416443117912,14.098416443117912,47.7003881118753,uncertain
37,43,18,43,0,28,24,523.718051139554,475.9430963543517,47.774954785202226,47.774954785202226,48.089774643068964,uncertain
15,66,18,41,0,12,15,599.73888183976,607.2452407212215,-7.506358881461551,7.506358881461551,41.32262425415244,uncertain
10,41,16,37,0,13,20,1433.0069334395398,1402.6557463459671,30.351187093572662,30.351187093572662,42.660971377708385,uncertain
3,36,17,6,0,53,36,734.3509779867194,777.5926266283018,-43.2416486415824,43.2416486415824,54.65045164418762,uncertain
31,99,33,28,1,21,24,1313.816975222548,1309.080364559347,4.736610663201191,4.736610663201191,44.81376843113789,uncertain
4,23,37,32,1,31,23,2034.6055139317036,2068.405535725198,-33.80002179349458,33.80002179349458,48.70827749452681,uncertain
5,51,21,17,0,9,19,1138.649074435003,1130.5790401616346,8.070034273368492,8.070034273368492,41.031514454110884,uncertain
5,57,55,11,0,43,46,1520.0704306723137,1483.4382149081193,36.63221576419437,36.63221576419437,55.09808828661945,uncertain
23,92,26,43,1,12,23,1912.2126505220172,1882.790873458136,29.42177706388111,29.42177706388111,42.54386477134385,uncertain
7,19,25,48,0,47,7,650.4405639400109,626.0800019597834,24.36056198022743,24.36056198022743,47.04758251772702,uncertain
