flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
0,0,0.0,0,False
1,1,0.0,1,False
2,4,9.0,4,False
3,1,0.0,1,False
4,1,0.0,1,False
5,2,2.0,2,False
6,0,0.0,0,False
7,1,0.0,1,False
8,0,0.0,0,False
9,3,12.0,4,False
10,2,5.0,2,False
11,3,8.0,7,False
12,1,0.0,1,False
13,0,0.0,0,False
14,3,4.0,5,False
15,2,2.0,12,False
16,1,0.0,1,False
17,3,14.0,5,False
18,3,22.0,4,True
19,4,9.0,4,False
20,2,2.0,2,False
21,2,6.0,5,False
22,3,8.0,3,False
23,2,8.0,2,False
24,0,0.0,0,False
25,2,3.0,5,False
26,1,0.0,1,False
27,2,10.0,2,False
28,1,0.0,1,False
29,2,5.0,2,False
30,0,0.0,0,False
31,3,16.0,3,False
32,2,5.0,5,False
33,0,0.0,0,False
34,0,0.0,0,False
35,0,0.0,0,False
36,3,14.0,4,False
37,4,30.0,12,True
38,0,0.0,0,False
39,6,60.0,6,True
40,1,0.0,1,False
41,3,10.0,4,False
42,2,4.0,2,False
43,2,7.0,10,False
44,1,0.0,4,False
45,4,33.0,4,True
46,2,10.0,5,False
47,2,6.0,2,False
48,1,0.0,2,False
49,1,0.0,1,False
50,2,11.0,3,False
51,1,0.0,1,False
52,2,2.0,4,False
53,3,12.0,3,False
54,4,21.0,5,True
55,3,20.0,3,True
56,4,18.0,7,False
57,2,3.0,2,False
58,0,0.0,0,False
59,1,0.0,1,False
60,1,0.0,1,False
61,1,0.0,1,False
62,0,0.0,0,False
63,2,12.0,2,False
64,1,0.0,1,False
65,1,0.0,1,False
66,1,0.0,11,False
67,2,6.0,2,False
68,4,18.0,4,False
69,0,0.0,0,False
70,3,20.0,3,True
71,2,10.0,2,False
72,2,7.0,2,False
73,0,0.0,0,False
74,1,0.0,1,False
75,3,8.0,6,False
76,0,0.0,0,False
77,1,0.0,1,False
78,0,0.0,0,False
79,1,0.0,1,False
80,0,0.0,0,False
81,2,10.0,2,False
82,0,0.0,0,False
83,2,3.0,2,False
84,0,0.0,0,False
85,0,0.0,0,False
86,1,0.0,1,False
87,1,0.0,1,False
88,1,0.0,1,False
89,1,0.0,2,False
90,1,0.0,1,False
91,6,30.0,6,True
92,4,33.0,7,True
93,2,5.0,2,False
94,5,48.0,5,True
95,0,0.0,0,False
96,1,0.0,1,False
97,0,0.0,0,False
98,2,6.0,2,False
99,2,5.0,2,False
