key_ratio,optimizer_seed,iteration,stage,fitness
0.03,0,1,stage1,4482039.544924709
0.03,0,2,stage1,4418206.160859163
0.03,0,3,stage1,4418206.160568052
0.03,0,4,stage1,4418123.516910352
0.03,0,5,stage1,4371232.654880026
0.03,0,6,stage1,4371232.648531424
0.03,0,7,stage1,4371232.636204134
0.03,0,8,stage1,4371232.614417412
0.03,0,9,stage1,4371232.57854392
0.03,0,10,stage1,4324266.890502956
0.03,0,11,stage1,4324266.808064577
0.03,0,12,stage1,4324266.68953215
0.03,0,13,stage1,4324266.524170629
0.03,0,14,stage1,4324266.29930051
0.03,0,15,stage1,4324266.000135794
0.03,0,16,stage1,4324265.609621938
0.03,0,17,stage1,4324257.83642655
0.03,0,18,stage1,4324257.202166454
0.03,0,19,stage1,4324256.410161993
0.03,0,20,stage1,4324255.43266409
0.03,0,21,stage1,4324254.238844946
0.03,0,22,stage1,4324252.794635988
0.03,0,23,stage1,4324251.062565842
0.03,0,24,stage1,4324249.0015982855
0.03,0,25,stage1,4324246.566970215
0.03,0,26,stage1,4324243.710029607
0.03,0,27,stage1,4324240.378073476
0.03,0,28,stage1,4324236.514185839
0.03,0,29,stage1,4324232.057075679
0.03,0,30,stage1,4324226.940914901
0.03,0,31,stage1,4324221.0951763
0.03,0,32,stage1,4324214.444471517
0.03,0,33,stage1,4324206.908389003
0.03,0,34,stage1,4324198.401331982
0.03,0,35,stage1,4324188.832356412
0.03,0,36,stage1,4324178.105008944
0.03,0,37,stage1,4324166.117164887
0.03,0,38,stage1,4324152.760866167
0.03,0,39,stage1,4324137.922159291
0.03,0,40,stage1,4324121.480933307
0.03,0,41,stage1,4324103.3107577665
0.03,0,42,stage1,4324082.156609133
0.03,0,43,stage1,4324060.123154949
0.03,0,44,stage1,4324035.941922495
0.03,0,45,stage1,4324009.45958295
0.03,0,46,stage1,4323980.515677803
0.03,0,47,stage1,4323948.942456819
0.03,0,48,stage1,4323914.564715994
0.03,0,49,stage1,4323877.19963552
0.03,0,50,stage1,4323836.6566177495
0.03,0,51,stage1,4323792.737125155
0.03,0,52,stage1,4323745.234518281
0.03,0,53,stage1,4323693.933893724
0.03,0,54,stage1,4323638.611922083
0.03,0,55,stage1,4323579.036685919
0.03,0,56,stage1,4323514.967517723
0.03,0,57,stage1,4323446.154837873
0.03,0,58,stage1,4323372.339992599
0.03,0,59,stage1,4323293.255091942
0.03,0,60,stage1,4323208.622847718
0.03,0,61,stage1,4323118.156411479
0.03,0,62,stage1,4323021.55921247
0.03,0,63,stage1,4322918.524795598
0.03,0,64,stage1,4322808.736659392
0.03,0,65,stage1,4322691.868093957
