key_ratio,K,key_conflict_point_coverage,stage1_remaining_conflicts_mean,stage1_remaining_conflicts_std,final_remaining_conflicts_mean,final_remaining_conflicts_std,zero_conflict_success_rate,delayed_flights_mean,total_changed_flights_mean,final_fitness_mean,risk_increase_mean_percent,stage1_dimension,stage2_dimension
0.03,3,0.1401869158878504,92.0,0.0,24.333333333333332,1.8856180831641267,0.0,23.333333333333332,46.666666666666664,1051679.9613481215,2.1713530509767955,180.0,1354.0
0.04,4,0.4018691588785046,64.0,0.0,14.0,7.2571803523590805,0.0,20.333333333333332,46.333333333333336,605473.564695941,1.6603332526737618,237.0,1216.0
0.05,5,0.4299065420560747,61.0,0.0,12.333333333333334,1.247219128924647,0.0,20.666666666666668,48.333333333333336,526322.0559847552,0.22649795600969092,304.0,1144.0
0.06,6,0.4766355140186916,56.0,0.0,14.333333333333334,3.39934634239519,0.0,20.666666666666668,45.0,612620.3154531176,0.9921886702797833,364.0,1077.0
0.07,7,0.5046728971962616,53.0,0.0,12.666666666666666,2.0548046676563256,0.0,18.333333333333332,44.666666666666664,541363.0305820523,0.5258519517003323,411.0,1022.0
0.08,8,0.514018691588785,53.0,0.0,16.666666666666668,1.247219128924647,0.0,20.0,44.0,713932.1518553611,0.6532548442425908,472.0,1031.3333333333333
0.09,9,0.5233644859813084,51.0,0.0,11.333333333333334,3.681787005729087,0.0,21.0,45.0,483712.71443378594,0.26358414341378406,522.0,984.0
0.1,10,0.5233644859813084,52.333333333333336,1.247219128924647,7.333333333333333,1.247219128924647,0.0,23.0,44.666666666666664,315419.1784375419,0.5596128810067689,578.0,1009.6666666666666
0.11,11,0.5327102803738317,51.333333333333336,1.247219128924647,8.0,1.632993161855452,0.0,26.333333333333332,45.666666666666664,347188.11420843314,-0.019650582123694933,634.0,987.0
0.12,12,0.5700934579439252,48.333333333333336,1.247219128924647,9.666666666666666,1.247219128924647,0.0,21.333333333333332,45.666666666666664,416575.13693506434,0.5277364067821063,685.0,953.0
0.13,13,0.5794392523364486,47.666666666666664,1.247219128924647,14.666666666666666,1.8856180831641267,0.0,19.333333333333332,44.0,630382.7875664132,0.9320856364580777,731.0,937.3333333333334
0.14,14,0.5794392523364486,53.333333333333336,1.8856180831641267,13.666666666666666,3.39934634239519,0.0,23.666666666666668,46.333333333333336,579811.1322165121,0.8120761602554523,780.0,1053.0
0.15,15,0.6074766355140186,46.333333333333336,2.6246692913372702,7.0,1.4142135623730951,0.0,23.333333333333332,46.0,304554.4087625993,0.5303149322238748,840.0,903.6666666666666
0.16,16,0.616822429906542,48.333333333333336,0.9428090415820634,8.333333333333334,2.0548046676563256,0.0,20.333333333333332,46.666666666666664,356407.47404814203,0.052193579835748995,891.0,944.3333333333334
0.17,17,0.616822429906542,48.666666666666664,5.90668171555645,11.0,1.632993161855452,0.0,20.666666666666668,48.0,466303.4874702108,0.022485347269229124,935.0,943.0
0.18,18,0.6261682242990654,47.666666666666664,3.6817870057290873,12.0,3.559026084010437,0.0,21.0,48.0,511758.1367208585,0.6453552886126986,993.0,920.3333333333334
0.2,20,0.6448598130841121,49.0,5.0990195135927845,12.0,2.8284271247461903,0.0,20.666666666666668,49.0,503807.33726694464,1.0569989740083703,1108.0,961.6666666666666
0.22,22,0.6728971962616822,49.333333333333336,4.4969125210773475,13.666666666666666,1.247219128924647,0.0,20.333333333333332,50.666666666666664,575841.4447815146,0.06435702155142002,1234.0,974.3333333333334
0.25,25,0.7663551401869159,42.666666666666664,5.2493385826745405,12.0,2.449489742783178,0.0,19.0,49.666666666666664,509810.0772066346,0.559780019196311,1398.0,932.3333333333334
