rank,flight_id,degree,CI,conflict_point_involvement
1,98,4,21.0,4
2,47,4,18.0,6
3,63,4,18.0,5
4,49,5,16.0,28
5,56,3,14.0,3
6,25,3,12.0,5
7,72,3,10.0,3
8,64,3,8.0,3
9,1,2,6.0,2
10,4,2,6.0,2
11,33,3,6.0,3
12,37,3,6.0,4
13,50,2,6.0,2
14,73,2,6.0,24
15,83,4,6.0,4
16,29,2,5.0,2
17,58,2,5.0,5
18,61,2,5.0,2
19,77,2,5.0,3
20,16,2,4.0,2
21,35,3,4.0,3
22,46,2,4.0,2
23,59,3,4.0,6
24,78,2,4.0,3
25,93,2,4.0,2
26,95,3,4.0,3
27,6,2,3.0,2
28,14,2,3.0,2
29,15,2,3.0,2
30,40,2,3.0,2
31,42,2,3.0,3
32,45,4,3.0,4
33,67,2,3.0,2
34,13,2,2.0,2
35,22,2,2.0,2
36,39,2,2.0,2
37,32,2,1.0,2
38,52,2,1.0,2
39,0,1,0.0,2
40,2,1,0.0,4
41,3,1,0.0,1
42,5,0,0.0,0
43,7,0,0.0,0
44,8,1,0.0,1
45,9,1,0.0,1
46,10,0,0.0,0
47,11,1,0.0,1
48,12,1,0.0,1
49,17,1,0.0,1
50,18,0,0.0,0
51,19,1,0.0,1
52,20,1,0.0,1
53,21,0,0.0,0
54,23,1,0.0,1
55,24,1,0.0,1
56,26,0,0.0,0
57,27,1,0.0,2
58,28,1,0.0,1
59,30,1,0.0,2
60,31,0,0.0,0
61,34,1,0.0,1
62,36,0,0.0,0
63,38,1,0.0,1
64,41,1,0.0,1
65,43,0,0.0,0
66,44,0,0.0,0
67,48,1,0.0,1
68,51,1,0.0,1
69,53,0,0.0,0
70,54,1,0.0,2
71,55,1,0.0,2
72,57,1,0.0,1
73,60,3,0.0,3
74,62,1,0.0,1
75,65,1,0.0,1
76,66,1,0.0,1
77,68,1,0.0,1
78,69,1,0.0,1
79,70,0,0.0,0
80,71,1,0.0,1
81,74,1,0.0,1
82,75,1,0.0,1
83,76,1,0.0,2
84,79,0,0.0,0
85,80,1,0.0,1
86,81,0,0.0,0
87,82,0,0.0,0
88,84,1,0.0,1
89,85,0,0.0,0
90,86,0,0.0,0
91,87,1,0.0,1
92,88,1,0.0,1
93,89,1,0.0,1
94,90,1,0.0,1
95,91,0,0.0,0
96,92,1,0.0,1
97,94,1,0.0,1
98,96,1,0.0,1
99,97,1,0.0,1
100,99,1,0.0,2
