key_ratio,K,optimizer_seed,remaining_conflicts,delayed_flight_count,runtime_sec,final_fitness,risk_increase_percent,key_conflict_point_coverage,key_conflict_pair_coverage,stage1_remaining_conflicts,stage2_remaining_conflicts,stage1_changed_flights,stage2_changed_flights,total_changed_flights,stage1_runtime,stage2_runtime,stage1_best_fitness,stage2_executed,stage1_dimension,stage2_dimension
0.03,3,0,27,29,53.44187379999494,1166650.6421473082,2.612295790715976,0.14018691588785046,0.16666666666666666,92,27,3,42,45,12.079727300006198,41.34084950000397,3892155.475154641,True,180,1354
0.03,3,1,23,16,48.540970399997605,1006983.4896476361,2.6672612782676275,0.14018691588785046,0.16666666666666666,92,23,3,47,50,12.688158099997963,35.83233860000473,3892068.1907984526,True,180,1354
0.03,3,2,23,25,56.96687340000062,981405.7522494202,1.234502083946784,0.14018691588785046,0.16666666666666666,92,23,3,42,45,14.11391530000401,42.82832159999816,3892068.1797489026,True,180,1354
0.04,4,0,24,17,45.94314419999864,1037440.1271984292,2.24199120049968,0.40186915887850466,0.2361111111111111,64,24,4,42,46,13.65528159999667,32.266841399999976,2708509.978237755,True,237,1216
0.04,4,1,11,25,53.90483440000389,476231.71700165875,2.354683755176242,0.40186915887850466,0.2361111111111111,64,11,4,44,48,13.555828399999882,40.32821129999502,2708593.199321975,True,237,1216
0.04,4,2,7,19,54.67766049999773,302748.8498877352,0.38432480234536326,0.40186915887850466,0.2361111111111111,64,7,4,41,45,13.496622700004082,41.15968879999855,2708617.2952284836,True,237,1216
0.05,5,0,11,19,52.82472439999401,471865.3447264872,-0.17666169997715833,0.42990654205607476,0.2777777777777778,61,11,5,44,49,14.418978900001093,38.38442809999833,2581864.6269965274,True,304,1144
0.05,5,1,12,24,51.15852250000171,511651.39825465454,0.6531585400422179,0.42990654205607476,0.2777777777777778,61,12,5,43,48,14.777681499996106,36.35844160000124,2582203.607836428,True,304,1144
0.05,5,2,14,19,55.69365039999684,595449.424973124,0.20299702796401325,0.42990654205607476,0.2777777777777778,61,14,5,43,48,14.896148100000573,40.77723379999952,2572834.663137786,True,304,1144
0.06,6,0,11,24,53.53484220000246,473235.33481469983,0.03826387545073768,0.4766355140186916,0.3194444444444444,56,11,6,42,48,15.92092219999904,37.593142600002466,2370495.5766599425,True,364,1077
0.06,6,1,13,18,57.09108019999985,553274.3028864588,0.8917156585766839,0.4766355140186916,0.3194444444444444,56,13,6,39,45,16.648923300002934,40.42157820000284,2373071.4606523467,True,364,1077
0.06,6,2,19,20,50.132295199997316,811351.3086581941,2.046586476811928,0.4766355140186916,0.3194444444444444,56,19,6,36,42,15.167688400004408,34.94365829999879,2370723.9038262055,True,364,1077
0.07,7,0,10,19,53.30221059999894,426501.7449171371,1.056900040958592,0.5046728971962616,0.3611111111111111,53,10,7,40,47,16.29388089999702,36.98689690000174,2238798.7613014993,True,411,1022
0.07,7,1,13,19,50.93303100000048,559879.4115506476,0.17041216742052803,0.5046728971962616,0.3611111111111111,53,13,7,36,43,16.60914220000268,34.303347699998994,2243971.4681601455,True,411,1022
0.07,7,2,15,17,53.05272680000053,637707.9352783721,0.35024364672187686,0.5046728971962616,0.3611111111111111,53,15,7,37,44,16.339574099998572,36.69254530000035,2244057.8201520615,True,411,1022
0.08,8,0,17,20,47.378979599998274,730846.7145651873,1.3507438977876383,0.514018691588785,0.375,53,17,8,38,45,17.33133639999869,30.027401300001657,2243908.2411320745,True,472,1033
0.08,8,1,18,22,54.38535630000115,770224.810957606,0.13135058672194305,0.514018691588785,0.375,53,18,8,36,44,17.251259800003027,37.113472199998796,2241973.062134382,True,472,1034
0.08,8,2,15,18,53.543872599999304,640724.9300432901,0.47767004821819115,0.514018691588785,0.375,53,15,8,35,43,17.081196300001466,36.441041599995515,2244335.8598909318,True,472,1027
0.09,9,0,11,22,55.18097920000582,466780.74453175423,0.11219447816671621,0.5233644859813084,0.3888888888888889,51,11,9,35,44,19.63000170000305,35.513838699996995,2159999.7833435517,True,522,984
0.09,9,1,16,19,55.36713900000177,681973.8609270405,0.10747958246723538,0.5233644859813084,0.3888888888888889,51,16,9,39,48,18.521408500004327,36.825334699999075,2162553.8618115596,True,522,984
0.09,9,2,7,22,53.46021640000254,302383.53784256306,0.5710783696074008,0.5233644859813084,0.3888888888888889,51,7,9,34,43,18.76628019999771,34.67334310000297,2155360.3661662657,True,522,984
0.1,10,0,6,25,57.25773859999754,260276.9964438685,0.06586847307506129,0.5233644859813084,0.3888888888888889,51,6,10,33,43,19.5472105000008,37.690021200003684,2154856.6203262606,True,578,984
0.1,10,1,9,24,59.699075399999856,385309.51162695093,0.4155345170877784,0.5233644859813084,0.3888888888888889,54,9,10,38,46,21.572082200000295,38.10698290000437,2283749.180659095,True,578,1048
0.1,10,2,7,20,58.705350900003396,300671.0272418062,1.197435652857467,0.5233644859813084,0.3888888888888889,52,7,10,36,45,20.134610000000976,38.550303200005146,2196675.402494924,True,578,997
0.11,11,0,6,28,57.02624459999788,260563.79201603838,0.023149778794425285,0.5327102803738317,0.4027777777777778,51,6,11,35,45,22.096770000003744,34.90946590000385,2155135.189149219,True,634,980
0.11,11,1,8,29,57.873693900000944,346433.43981012737,-0.0283068721578219,0.5327102803738317,0.4027777777777778,50,8,11,34,45,20.75212979999924,37.101336899999296,2114480.017808441,True,634,959
0.11,11,2,10,22,59.75672089999716,434567.11079913366,-0.05379465300768817,0.5327102803738317,0.4027777777777778,53,10,11,38,47,22.99124600000505,36.74482349999744,2244288.6183556374,True,634,1022
0.12,12,0,8,24,57.35580789999949,343331.71592485026,0.15890233190466507,0.5700934579439252,0.4444444444444444,48,8,12,34,46,22.165266799995152,35.16975220000313,2027257.1154125058,True,685,942
0.12,12,1,11,18,57.90913870000077,473526.5294768636,0.8615278983324842,0.5700934579439252,0.4444444444444444,47,11,12,36,47,21.97570650000125,35.91296270000021,1991470.9322305175,True,685,922
0.12,12,2,10,22,58.37877319999825,432867.16540347907,0.5627789901091698,0.5700934579439252,0.4444444444444444,50,10,12,33,44,21.902248999998847,36.455846500000916,2141532.241201781,True,685,995
