global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,delta
1,stage1,1,2977943.8239676193,6358.5455218066,59009.914999400666,756.8497269423874,63,5,0,0.9999999999996875
2,stage1,2,2977943.8239388075,6358.5455218066,59009.914999400666,756.8497269423874,63,5,0,0.99999999999
3,stage1,3,2934860.3076895713,5051.008705312849,59094.301932246584,756.6654084097505,62,5,0,0.9999999999240625
4,stage1,4,2934860.306974205,5051.008705312849,59094.301932246584,756.6654084097505,62,5,0,0.99999999968
5,stage1,5,2934860.30504977,5051.008705312849,59094.301932246584,756.6654084097505,62,5,0,0.9999999990234375
6,stage1,6,2934860.3007896324,5051.008705312849,59094.301932246584,756.6654084097505,62,5,0,0.99999999757
7,stage1,7,2934860.2925175824,5051.008705312849,59094.301932246584,756.6654084097505,62,5,0,0.9999999947478125
8,stage1,8,2934860.2778979177,5051.008705312849,59094.301932246584,756.6654084097505,62,5,0,0.99999998976
9,stage1,9,2934860.2538255285,5051.008705312849,59094.301932246584,756.6654084097505,62,5,0,0.9999999815471875
10,stage1,10,2934860.216315982,5051.008705312849,59094.301932246584,756.6654084097505,62,5,0,0.99999996875
11,stage1,11,2923084.3959118975,5407.9857162766075,58858.783065854805,755.6433501375279,62,4,0,0.9999999496715625
12,stage1,12,2923084.315828314,5407.9857162766075,58858.783065854805,755.6433501375279,62,4,0,0.99999992224
13,stage1,13,2923084.2041057795,5407.9857162766075,58858.783065854805,755.6433501375279,62,4,0,0.9999998839709375
14,stage1,14,2923084.0521776937,5407.9857162766075,58858.783065854805,755.6433501375279,62,4,0,0.99999983193
15,stage1,15,2923083.8500542487,5407.9857162766075,58858.783065854805,755.6433501375279,62,4,0,0.9999997626953125
16,stage1,16,2921314.462014487,4139.671884199304,58826.438519702824,757.6201890126889,62,3,0,0.99999967232
17,stage1,17,2906344.343705803,5501.162018727467,59481.986389413396,755.3843472186225,61,3,0,0.9999995562946875
18,stage1,18,2906343.9176308177,5501.162018727467,59481.986389413396,755.3843472186225,61,3,0,0.99999940951
19,stage1,19,2906343.385588376,5501.162018727467,59481.986389413396,755.3843472186225,61,3,0,0.9999992262190625
20,stage1,20,2849356.9884653464,6398.060650364275,59283.328295742496,760.0642215959957,60,4,0,0.999999
21,stage1,21,2849356.202278599,6398.060650364275,59283.328295742496,760.0642215959957,60,4,0,0.9999987237184375
22,stage1,22,2787846.1185466247,7680.271958491135,58981.81979668965,756.0312137465544,59,5,0,0.99999838949
23,stage1,23,2787845.0026113465,7680.271958491135,58981.81979668965,756.0312137465544,59,5,0,0.9999979886428125
24,stage1,24,2738527.006624013,10337.066414084717,58928.76630968217,757.6201890126889,58,7,0,0.99999751168
25,stage1,25,2738525.4660189576,10337.066414084717,58928.76630968217,757.6201890126889,58,7,0,0.9999969482421875
26,stage1,26,2738523.6581793115,10337.066414084717,58928.76630968217,757.6201890126889,58,7,0,0.99999628707
27,stage1,27,2642076.6981805414,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9999955159665626
28,stage1,28,2642074.3391968324,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99999462176
29,stage1,29,2642071.618038443,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9999935902659375
30,stage1,30,2642068.494515954,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99999240625
31,stage1,31,2642064.92557104,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9999910533903125
32,stage1,32,2642060.8651775406,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99998951424
33,stage1,33,2642056.264242536,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9999877701896875
34,stage1,34,2642051.070507414,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99998580143
35,stage1,35,2642045.228448947,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9999835869140625
36,stage1,36,2642038.67918036,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99998110432
37,stage1,37,2642031.360352407,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9999783300134375
38,stage1,38,2642023.206054441,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99997523901
39,stage1,39,2642014.146715486,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9999718049378125
40,stage1,40,2642004.1090053073,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.999968
41,stage1,41,2641993.0157354902,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9999637949371875
42,stage1,42,2641980.785760504,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99995915899
43,stage1,43,2641967.333878781,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9999540598615625
44,stage1,44,2641952.5707337847,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99994846368
45,stage1,45,2641936.4027150837,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9999423349609375
46,stage1,46,2641918.7318594204,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99993563657
47,stage1,47,2641899.4557517907,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9999283296853125
48,stage1,48,2641878.4674265087,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99992037376
49,stage1,49,2641855.655268283,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9999117264846875
50,stage1,50,2641830.9029132873,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99990234375
51,stage1,51,2641804.089150233,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.9998921796090625
52,stage1,52,2641775.0878214417,7875.712055032811,58885.59598158426,757.6201890126889,56,6,0,0.99988118624
