plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
3,65,43,35,0,12,42,1723.1430106914709,1755.1327231864582,-31.989712494987316,31.989712494987316,46.33222249145347,uncertain
6,72,14,40,0,15,37,576.1354259097699,560.2824428373572,15.852983072412712,15.852983072412712,47.313283573755015,uncertain
6,11,20,29,1,26,14,716.323291250297,728.2533346763755,-11.930043426078555,11.930043426078555,44.213019511268854,uncertain
8,37,27,44,1,12,27,1352.4594123653108,1375.4326053184554,-22.97319295314469,22.97319295314469,43.75819275889199,uncertain
9,12,47,54,0,2,2,1741.7828052454893,1745.002871775102,-3.2200665296127227,3.2200665296127227,35.026424563093556,uncertain
14,40,32,28,1,28,27,424.2977746365125,407.692575776218,16.60519886029448,16.60519886029448,47.50746002070569,uncertain
54,93,8,15,0,47,8,1033.49477872447,1018.452780027335,15.041998697135,15.041998697135,46.092199995948256,uncertain
19,71,28,20,1,28,28,1536.6542296463704,1540.1226532896346,-3.4684236432642592,3.4684236432642592,47.64603904205632,uncertain
39,52,38,39,0,40,17,1808.074757960303,1836.373502593868,-28.298744633564866,28.298744633564866,49.06194804723705,uncertain
24,40,57,8,0,3,2,39.29132086807364,61.95221059268744,-22.660889724613803,22.660889724613803,35.224647427013856,uncertain
64,72,25,26,1,29,22,363.41945165855986,363.49366716526436,-0.07421550670449051,0.07421550670449051,46.21311940456261,uncertain
34,61,36,30,0,17,20,881.242090535478,856.3137603977962,24.928330137681883,24.928330137681883,43.10488138779267,uncertain
