rank,flight_id,CI_score,binary_degree,multi_degree,unique_conflict_partners,conflict_point_involvement,key_conflict_point_coverage,key_conflict_pair_coverage
1,73,230.0,2,24,2,24,0.48598130841121495,0.3194444444444444
2,47,155.0,4,6,4,6,0.48598130841121495,0.3194444444444444
3,49,135.0,5,28,5,28,0.48598130841121495,0.3194444444444444
4,56,60.0,3,3,3,3,0.48598130841121495,0.3194444444444444
5,33,54.0,3,3,3,3,0.48598130841121495,0.3194444444444444
6,78,54.0,2,3,2,3,0.48598130841121495,0.3194444444444444
7,42,52.0,2,3,2,3,0.48598130841121495,0.3194444444444444
8,25,44.0,3,5,3,5,0.48598130841121495,0.3194444444444444
9,1,33.0,2,2,2,2,0.48598130841121495,0.3194444444444444
10,63,32.0,4,5,4,5,0.48598130841121495,0.3194444444444444
