global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,delta
1,stage1,1,3154563.0748263914,6849.2469708055805,58781.82623499038,756.349716014932,67,5,0,0.9999999999996875
2,stage1,2,3154563.0747958687,6849.2469708055805,58781.82623499038,756.349716014932,67,5,0,0.99999999999
3,stage1,3,3154563.0745881195,6849.2469708055805,58781.82623499038,756.349716014932,67,5,0,0.9999999999240625
4,stage1,4,3069872.3446993134,5886.289952851013,58962.58340053121,755.6518515839241,65,5,0,0.99999999968
5,stage1,5,2972104.4209409887,9088.426550986811,58891.46567241014,755.5933891179714,63,5,0,0.9999999990234375
6,stage1,6,2833571.7904089782,9822.441126472791,58942.87380973098,755.8867017726066,60,8,0,0.99999999757
7,stage1,7,2773406.945555664,8879.55748991597,58672.74540121547,757.6201890126889,59,6,0,0.9999999947478125
8,stage1,8,2773406.931742647,8879.55748991597,58672.74540121547,757.6201890126889,59,6,0,0.99999998976
9,stage1,9,2773406.9089984656,8879.55748991597,58672.74540121547,757.6201890126889,59,6,0,0.9999999815471875
10,stage1,10,2773406.8735585283,8879.55748991597,58672.74540121547,757.6201890126889,59,6,0,0.99999996875
11,stage1,11,2773406.8207235895,8879.55748991597,58672.74540121547,757.6201890126889,59,6,0,0.9999999496715625
12,stage1,12,2773406.7447558935,8879.55748991597,58672.74540121547,757.6201890126889,59,6,0,0.99999992224
13,stage1,13,2773406.638775328,8879.55748991597,58672.74540121547,757.6201890126889,59,6,0,0.9999998839709375
14,stage1,14,2773406.4946555714,8879.55748991597,58672.74540121547,757.6201890126889,59,6,0,0.99999983193
15,stage1,15,2773406.302920242,8879.55748991597,58672.74540121547,757.6201890126889,59,6,0,0.9999997626953125
16,stage1,16,2773406.0526390458,8879.55748991597,58672.74540121547,757.6201890126889,59,6,0,0.99999967232
17,stage1,17,2773405.7313239314,8879.55748991597,58672.74540121547,757.6201890126889,59,6,0,0.9999995562946875
18,stage1,18,2725355.027897506,8846.576600055192,58648.838405869574,757.6201890126889,58,6,0,0.99999940951
19,stage1,19,2678903.8759869006,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.9999992262190625
20,stage1,20,2678903.2708674143,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.999999
21,stage1,21,2678902.5318343933,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.9999987237184375
22,stage1,22,2678901.6377977096,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.99999838949
23,stage1,23,2678900.565560731,7402.287736821594,58660.68059997168,757.6201890126889,57,6,0,0.9999979886428125
