rank,flight_id,CI_score,binary_degree,multi_degree,unique_conflict_partners,conflict_point_involvement,key_conflict_point_coverage,key_conflict_pair_coverage
1,98,21.0,4,4,4,4,0.5233644859813084,0.3888888888888889
2,47,18.0,4,6,4,6,0.5233644859813084,0.3888888888888889
3,63,18.0,4,5,4,5,0.5233644859813084,0.3888888888888889
4,49,16.0,5,28,5,28,0.5233644859813084,0.3888888888888889
5,56,14.0,3,3,3,3,0.5233644859813084,0.3888888888888889
6,25,12.0,3,5,3,5,0.5233644859813084,0.3888888888888889
7,72,10.0,3,3,3,3,0.5233644859813084,0.3888888888888889
8,64,8.0,3,3,3,3,0.5233644859813084,0.3888888888888889
9,1,6.0,2,2,2,2,0.5233644859813084,0.3888888888888889
10,4,6.0,2,2,2,2,0.5233644859813084,0.3888888888888889
