plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
38,40,33,31,2,21,20,2714.5428849484106,2725.484969682431,-10.942084734020227,10.942084734020227,44.221384191091396,uncertain
65,95,28,31,2,22,43,911.8277408704188,898.7090517137124,13.11868915670641,13.11868915670641,48.41981119420138,uncertain
2,26,16,29,2,35,6,1465.8764726477016,1475.9235219763139,-10.047049328612275,10.047049328612275,43.8460522462192,uncertain
43,92,32,26,1,11,30,1768.0481977054644,1774.064592566576,-6.016394861111621,6.016394861111621,44.422462043542396,uncertain
8,30,28,54,1,5,38,977.6329778285742,967.2490470907387,10.383930737835499,10.383930737835499,43.86355374129674,uncertain
9,63,29,4,0,1,0,1059.7478600081095,1076.6125700773841,-16.86471006927468,16.86471006927468,34.16728099069038,uncertain
45,66,37,30,1,34,28,920.2279007777644,910.0814408521808,10.1464599255836,10.1464599255836,47.66202732827587,uncertain
33,48,11,19,2,35,10,732.1981021840925,730.8511669576485,1.346935226443975,1.346935226443975,42.17284656328699,uncertain
55,65,46,9,0,1,0,664.8817164646156,658.8090744124119,6.072642052203719,6.072642052203719,34.15487438742504,uncertain
57,69,11,27,2,11,47,970.3824054989036,973.2038906200726,-2.821485121168962,2.821485121168962,46.92318714217092,uncertain
70,91,39,26,1,10,22,486.5222132933718,476.2077588462636,10.314454447108233,10.314454447108233,42.30188379570145,uncertain
