global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,conflict_pairs,delta
1,stage1,1,5117942.651223547,4068.645145187701,59194.05728463447,1129.6671123502574,108,3,0,66,0.9999999999996875
2,stage1,2,5117942.651174,4068.645145187701,59194.05728463447,1129.6671123502574,108,3,0,66,0.99999999999
3,stage1,3,5104419.756293192,3513.813183750259,59589.39551525276,1123.4013994966263,107,3,0,67,0.9999999999240625
4,stage1,4,4945939.16020514,5913.72642101946,59399.76837320795,1127.5839598543407,104,5,0,63,0.99999999968
5,stage1,5,4945939.156960368,5913.72642101946,59399.76837320795,1127.5839598543407,104,5,0,63,0.9999999990234375
6,stage1,6,4945939.149777391,5913.72642101946,59399.76837320795,1127.5839598543407,104,5,0,63,0.99999999757
7,stage1,7,4945939.135829969,5913.72642101946,59399.76837320795,1127.5839598543407,104,5,0,63,0.9999999947478125
8,stage1,8,4945939.111179897,5913.72642101946,59399.76837320795,1127.5839598543407,104,5,0,63,0.99999998976
9,stage1,9,4724534.718673157,8373.901989217333,59005.65946814956,1130.7025395229205,100,6,0,60,0.9999999815471875
10,stage1,10,4724534.658264637,8373.901989217333,59005.65946814956,1130.7025395229205,100,6,0,60,0.99999996875
11,stage1,11,4724534.568205775,8373.901989217333,59005.65946814956,1130.7025395229205,100,6,0,60,0.9999999496715625
12,stage1,12,4724534.43871638,8373.901989217333,59005.65946814956,1130.7025395229205,100,6,0,60,0.99999992224
13,stage1,13,4724534.258069078,8373.901989217333,59005.65946814956,1130.7025395229205,100,6,0,60,0.9999998839709375
14,stage1,14,4724534.012412292,8373.901989217333,59005.65946814956,1130.7025395229205,100,6,0,60,0.99999983193
15,stage1,15,4724533.68559322,8373.901989217333,59005.65946814956,1130.7025395229205,100,6,0,60,0.9999997626953125
16,stage1,16,4724533.258980826,8373.901989217333,59005.65946814956,1130.7025395229205,100,6,0,60,0.99999967232
17,stage1,17,4724532.71128882,8373.901989217333,59005.65946814956,1130.7025395229205,100,6,0,60,0.9999995562946875
18,stage1,18,4724532.018398638,8373.901989217333,59005.65946814956,1130.7025395229205,100,6,0,60,0.99999940951
19,stage1,19,4724531.1531824265,8373.901989217333,59005.65946814956,1130.7025395229205,100,6,0,60,0.9999992262190625
20,stage1,20,4724530.085326029,8373.901989217333,59005.65946814956,1130.7025395229205,100,6,0,60,0.999999
21,stage1,21,4724528.781151965,8373.901989217333,59005.65946814956,1130.7025395229205,100,6,0,60,0.9999987237184375
22,stage1,22,4650587.855881531,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99999838949
23,stage1,23,4650585.993356923,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999979886428125
24,stage1,24,4650583.777163311,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99999751168
25,stage1,25,4650581.159166169,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.9999969482421875
26,stage1,26,4650578.087049142,8974.779680904972,59266.20463259383,1128.466576139228,98,6,0,58,0.99999628707
