global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,conflict_pairs,delta
1,stage1,1,3565428.690119486,7246.369955250804,58576.07037864138,1124.8908250801594,76,6,0,65,0.9999999999996875
2,stage1,2,3565428.690084984,7246.369955250804,58576.07037864138,1124.8908250801594,76,6,0,65,0.99999999999
3,stage1,3,3475088.511387488,5944.182890823086,58637.61174060382,1128.0687577564486,74,4,0,64,0.9999999999240625
4,stage1,4,3475088.510540262,5944.182890823086,58637.61174060382,1128.0687577564486,74,4,0,64,0.99999999968
5,stage1,5,3311760.661107797,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999999990234375
6,stage1,6,3311760.656299854,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99999999757
7,stage1,7,3311760.646964113,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999999947478125
8,stage1,8,3311760.630464527,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99999998976
9,stage1,9,3311760.603296704,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999999815471875
10,stage1,10,3311760.560963858,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99999996875
11,stage1,11,3311760.497852761,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999999496715625
12,stage1,12,3311760.407109689,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99999992224
13,stage1,13,3311760.2805163795,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999998839709375
14,stage1,14,3311760.108365977,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99999983193
15,stage1,15,3311759.8793389867,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999997626953125
16,stage1,16,3311759.580379222,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99999967232
17,stage1,17,3311759.19656976,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999995562946875
18,stage1,18,3311758.7110088877,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99999940951
19,stage1,19,3311758.104686055,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999992262190625
20,stage1,20,3311757.3563578255,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.999999
21,stage1,21,3311756.442423826,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999987237184375
22,stage1,22,3311755.3368026987,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99999838949
23,stage1,23,3311754.0108080506,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999979886428125
24,stage1,24,3311752.4330244055,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99999751168
25,stage1,25,3311750.5691831536,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999969482421875
26,stage1,26,3311748.3820385025,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99999628707
27,stage1,27,3311745.8312434284,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999955159665626
28,stage1,28,3311742.873225627,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99999462176
29,stage1,29,3311739.461063464,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999935902659375
30,stage1,30,3311735.5443619248,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99999240625
31,stage1,31,3311731.069128566,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999910533903125
32,stage1,32,3311725.9776494675,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99998951424
33,stage1,33,3311720.208365181,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999877701896875
34,stage1,34,3311713.6957466807,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99998580143
35,stage1,35,3311706.3701713183,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999835869140625
36,stage1,36,3311698.1577987657,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99998110432
37,stage1,37,3311688.980446975,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999783300134375
38,stage1,38,3311678.755468123,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99997523901
39,stage1,39,3311667.3956245626,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999718049378125
40,stage1,40,3311654.8089647754,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.999968
41,stage1,41,3311640.898699323,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999637949371875
42,stage1,42,3311625.5630767946,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99995915899
43,stage1,43,3311608.6952597587,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999540598615625
44,stage1,44,3311590.1832007184,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99994846368
45,stage1,45,3311569.909518054,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999423349609375
46,stage1,46,3311547.751371981,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99993563657
47,stage1,47,3311523.5803404963,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999283296853125
48,stage1,48,3311497.262295332,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.99992037376
49,stage1,49,3311468.6572779035,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9999117264846875
