flight_id,degree,collective_influence,conflict_point_involvement,ci_rank
41,5,56.0,5,1
62,4,45.0,5,2
18,4,33.0,4,3
64,4,33.0,5,4
83,5,32.0,6,5
4,3,26.0,4,6
16,4,21.0,5,7
80,3,16.0,3,8
49,4,15.0,4,9
3,3,14.0,3,10
56,3,14.0,4,11
78,3,14.0,4,12
57,3,12.0,3,13
92,3,12.0,3,14
65,4,9.0,4,15
28,2,8.0,2,16
31,3,8.0,3,17
89,3,8.0,4,18
10,2,7.0,2,19
97,2,6.0,3,20
27,2,5.0,2,21
32,2,5.0,2,22
53,2,5.0,4,23
63,2,5.0,2,24
69,2,5.0,2,25
2,2,3.0,4,26
38,2,3.0,2,27
40,2,3.0,2,28
81,2,3.0,2,29
8,2,2.0,2,30
11,2,2.0,2,31
13,2,2.0,2,32
29,3,2.0,4,33
30,2,2.0,2,34
82,2,2.0,2,35
15,2,1.0,2,36
24,2,1.0,2,37
26,2,1.0,2,38
36,2,1.0,2,39
70,2,1.0,15,40
73,2,1.0,3,41
88,2,1.0,2,42
99,2,1.0,2,43
0,1,0.0,1,44
1,2,0.0,3,45
5,1,0.0,4,46
6,1,0.0,1,47
7,1,0.0,1,48
9,1,0.0,1,49
12,0,0.0,0,50
14,3,0.0,3,51
17,1,0.0,1,52
19,1,0.0,1,53
20,1,0.0,1,54
21,1,0.0,2,55
22,1,0.0,1,56
23,3,0.0,3,57
25,0,0.0,0,58
33,2,0.0,2,59
34,1,0.0,1,60
35,1,0.0,1,61
37,1,0.0,1,62
39,1,0.0,1,63
42,0,0.0,0,64
43,1,0.0,1,65
44,2,0.0,2,66
45,1,0.0,1,67
46,1,0.0,1,68
47,1,0.0,1,69
48,1,0.0,1,70
50,0,0.0,0,71
51,0,0.0,0,72
52,1,0.0,21,73
54,1,0.0,1,74
55,1,0.0,1,75
58,1,0.0,1,76
59,1,0.0,1,77
60,0,0.0,0,78
61,1,0.0,1,79
66,1,0.0,1,80
67,1,0.0,1,81
68,1,0.0,1,82
71,0,0.0,0,83
72,0,0.0,0,84
74,0,0.0,0,85
75,1,0.0,1,86
76,1,0.0,1,87
77,2,0.0,22,88
79,1,0.0,1,89
84,1,0.0,1,90
85,2,0.0,5,91
86,1,0.0,1,92
87,2,0.0,15,93
90,0,0.0,0,94
91,1,0.0,1,95
93,0,0.0,0,96
94,1,0.0,1,97
95,2,0.0,2,98
96,1,0.0,2,99
98,0,0.0,0,100
