stage,iter,action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,runtime_ms,rollback,reason,matched_strategy,conflict_class,segment_idx,segment_points,pair,candidate_rank,prob_delay,prob_speed,prob_reroute,prob_delay_after,prob_speed_after,prob_reroute_after,source
stage2_independent_matching,0,cruise_level,7,20,20,20,20,False,8.01090000095428,True,rollback,reroute,head_to_head,0,1,7-27,0,0.15,0.15,0.7,,,,ADM_ref6_independent_matching
stage2_independent_matching,0,cruise_level,7,20,20,20,20,False,7.805300003383309,True,rollback,reroute,head_to_head,0,1,7-27,1,0.15,0.15,0.7,,,,ADM_ref6_independent_matching
stage2_independent_matching,0,cruise_level,27,20,20,20,20,False,8.070300002145814,True,rollback,reroute,head_to_head,0,1,7-27,2,0.15,0.15,0.7,,,,ADM_ref6_independent_matching
stage2_independent_matching,0,reroute,7,20,19,20,19,True,7.710400001087692,False,pairs_decreased,reroute,head_to_head,0,1,7-27,3,0.15,0.15,0.7,0.075,0.075,0.85,ADM_ref6_independent_matching
stage2_independent_matching,1,cruise_level,8,19,20,19,20,False,8.225699999456992,True,rollback,reroute,head_to_head,0,1,8-30,0,0.075,0.075,0.85,,,,ADM_ref6_independent_matching
stage2_independent_matching,1,cruise_level,8,19,18,19,18,True,7.6730000000679865,False,pairs_decreased,reroute,head_to_head,0,1,8-30,1,0.075,0.075,0.85,0.0375,0.0375,0.925,ADM_ref6_independent_matching
stage2_independent_matching,2,cruise_level,11,18,20,18,20,False,8.292599999549566,True,rollback,reroute,crossing,0,1,11-82,0,0.25,0.6,0.15,,,,ADM_ref6_independent_matching
stage2_independent_matching,2,cruise_level,11,18,17,18,17,True,8.048200001212535,False,pairs_decreased,reroute,crossing,0,1,11-82,1,0.25,0.6,0.15,0.125,0.3,0.575,ADM_ref6_independent_matching
stage2_independent_matching,3,cruise_level,13,17,16,17,16,True,10.393600001407322,False,pairs_decreased,reroute,head_to_head,0,1,13-75,0,0.0375,0.0375,0.925,0.01875,0.01875,0.9625,ADM_ref6_independent_matching
stage2_independent_matching,4,cruise_level,15,16,15,16,15,True,21.28150000135065,False,pairs_decreased,reroute,head_to_head,0,1,15-24,0,0.01875,0.01875,0.9625,0.009375,0.009375,0.98125,ADM_ref6_independent_matching
stage2_independent_matching,5,delay,18,15,16,15,16,False,8.386999998037936,True,rollback,delay,head_to_head,0,1,18-97,0,0.009375,0.009375,0.98125,,,,ADM_ref6_independent_matching
stage2_independent_matching,5,delay,97,15,15,15,15,False,7.73509999999078,True,rollback,delay,head_to_head,0,1,18-97,1,0.009375,0.009375,0.98125,,,,ADM_ref6_independent_matching
stage2_independent_matching,5,delay,18,15,16,15,18,False,7.9254999982367735,True,rollback,delay,head_to_head,0,1,18-97,2,0.009375,0.009375,0.98125,,,,ADM_ref6_independent_matching
stage2_independent_matching,5,delay,18,15,15,15,17,False,7.934400000522146,True,rollback,delay,head_to_head,0,1,18-97,3,0.009375,0.009375,0.98125,,,,ADM_ref6_independent_matching
stage2_independent_matching,5,delay,18,15,15,15,16,False,8.280499998363666,True,rollback,delay,head_to_head,0,1,18-97,4,0.009375,0.009375,0.98125,,,,ADM_ref6_independent_matching
