flight_id,CI_rank,strategy,ATD,changed_segments,rerouted,fitness
3,10,speed,1100.773882773892,45,False,4085285.930129759
4,6,schedule+speed,1335.0096354039238,45,False,4085285.930129759
16,7,schedule+speed,2317.3185804716695,59,False,4085285.930129759
18,3,speed,1131.6114893217568,49,False,4085285.930129759
41,1,schedule+speed,2649.839129873257,59,False,4085285.930129759
49,9,schedule+speed,2155.9692329746813,55,False,4085285.930129759
62,2,schedule+speed,7.337147092653287,43,False,4085285.930129759
64,4,schedule,12.698708305088978,0,False,4085285.930129759
80,8,schedule+speed+reroute,1635.0868490718249,0,True,4085285.930129759
83,5,schedule+speed,2440.7024709319144,68,False,4085285.930129759
