conflict_id,plan_a,plan_b,cell_x,cell_y,cell_z,P_schedule,P_speed,P_reroute,selected_strategy
0,1,96,56,25,1,1.5966285399114145e-53,6.430449120456522e-61,1.0,reroute
1,1,96,55,24,1,8.91965523160097e-61,5.639297012419733e-51,1.0,reroute
2,1,85,56,0,1,1.972755208993677e-48,3.0077907176328905e-60,1.0,reroute
3,38,40,33,31,2,6.989325365379904e-54,6.2078907063504386e-49,1.0,reroute
4,2,53,23,31,2,8.607259864652347e-58,1.0,2.52574019634028e-44,speed
5,2,53,22,30,2,1.3098800099573117e-45,1.0,2.0905584041246966e-54,speed
6,2,53,21,29,2,1.0,5.465259450860264e-57,1.8204394026169837e-58,schedule
7,2,26,16,29,2,1.0,6.63301358842896e-53,1.0697730157205743e-45,schedule
8,69,92,32,25,1,3.878203864547326e-57,1.5712030347734553e-36,1.0,reroute
9,11,54,39,53,1,8.607186039863966e-37,1.6681471590707451e-53,1.0,reroute
10,52,77,19,21,2,4.570541914601417e-50,1.0,3.816782703754833e-60,speed
11,5,85,49,1,1,1.3835837301111286e-59,1.1178177747109386e-41,1.0,reroute
12,5,85,48,1,1,1.0,8.260015612147706e-59,1.3409718694705554e-53,schedule
13,5,85,47,1,1,7.443985082416587e-42,9.802542028679843e-52,1.0,reroute
14,5,85,46,1,1,1.0,5.745877621638543e-49,3.239728720054051e-56,schedule
15,6,92,17,51,2,7.05710675893713e-58,1.0,3.14469705374583e-59,speed
16,31,32,36,45,2,1.2877333079058187e-52,1.0,1.6651560045472906e-54,speed
17,7,27,35,46,2,1.046131541808611e-42,1.0,1.574854327691469e-56,speed
18,8,30,28,54,1,1.6504219243600726e-52,1.0,3.6108008980576334e-58,speed
19,8,56,13,38,2,1.0,1.918265202784958e-57,3.0800483081671526e-49,schedule
20,9,63,29,4,0,5.301967529969183e-57,1.0,4.46752712681523e-41,speed
21,52,77,14,21,2,1.949878120396492e-60,1.0,1.321631583072436e-52,speed
22,10,57,37,4,1,1.0,1.0598618530552644e-55,2.245309547697675e-56,schedule
23,11,82,35,45,1,1.5205882904349856e-37,1.8457894776528767e-55,1.0,reroute
24,13,23,37,36,1,5.18584606488429e-61,1.0,1.230450922553304e-27,speed
25,34,86,13,48,1,8.129332291312611e-59,1.0,1.7808591096092423e-39,speed
26,13,75,3,49,1,0.3546295786196469,0.645370421380353,4.874695300991233e-60,speed
27,14,29,43,25,1,4.289975459416443e-39,1.0,3.4455980670098354e-49,speed
28,14,81,38,25,1,1.5335583983075807e-58,7.759454359724969e-52,1.0,reroute
29,14,73,36,25,1,4.234534385220289e-53,1.0,3.467663103279697e-52,speed
30,70,87,18,26,1,1.0,1.3275765926103777e-60,1.5171097243251385e-55,schedule
31,70,87,14,26,1,2.5833810756827588e-58,2.1174639218292954e-56,1.0,reroute
32,70,87,13,26,1,8.134169849601114e-40,1.0,1.0073634382586298e-53,speed
33,20,26,12,26,1,7.171348873408107e-56,3.8015721608920756e-54,1.0,reroute
34,87,88,8,26,1,1.276271752144038e-54,1.0,4.496568103213592e-46,speed
35,15,23,37,51,2,1.9224866199306816e-46,1.0,6.179565559985511e-52,speed
36,15,24,37,51,2,1.0,1.631996543178902e-55,1.2006944775423548e-45,schedule
37,23,24,37,51,2,2.302053347077971e-53,4.90919334991268e-47,1.0,reroute
38,32,67,51,34,1,2.7502603741521436e-38,9.4291272693842e-56,1.0,reroute
39,29,73,45,16,1,5.18584606488429e-61,4.109141828413339e-55,1.0,reroute
40,29,73,44,17,1,3.4940342266866597e-23,7.189034682827798e-58,1.0,reroute
41,19,29,43,29,1,1.0,1.1560762641586567e-44,3.0359809768416e-57,schedule
42,39,81,37,35,1,1.1753115724950285e-41,3.4401160350164575e-56,1.0,reroute
43,30,35,30,43,1,2.4103812509582156e-59,1.0,2.0607100224951983e-57,speed
44,21,56,15,22,2,4.82428887724056e-58,1.0,3.090961994134635e-47,speed
45,52,77,15,21,2,3.410625165614672e-55,5.110640925251335e-56,1.0,reroute
46,21,56,15,21,2,1.0168801088326039e-56,1.0,7.052750648242628e-61,speed
47,38,65,32,30,2,3.9428298782079125e-56,1.0,2.232108914309356e-54,speed
48,22,33,12,30,2,3.051351824577918e-59,1.0,7.175849731437981e-54,speed
49,45,66,37,30,1,2.2616909159149207e-38,2.5605790594437215e-41,1.0,reroute
50,46,47,13,36,2,2.1033880835722987e-55,1.093802800682246e-56,1.0,reroute
51,27,89,24,45,2,2.139527118432712e-53,1.0,1.5609589568775315e-55,speed
52,31,63,28,37,3,5.555766985061471e-56,3.1279781660837845e-14,0.9999999999999687,reroute
53,52,77,11,21,2,1.2777924703874894e-59,4.2568522055449007e-17,1.0,reroute
54,33,48,11,19,2,0.9904274819384038,2.63571138816769e-53,0.009572518061596206,schedule
55,36,94,37,19,2,5.179623049606434e-59,1.0,1.0381090436517639e-52,speed
56,36,95,28,19,2,2.430344683969596e-56,1.0,1.1056076150069793e-41,speed
57,52,77,25,20,2,0.01458978465394679,1.1710677583721696e-57,0.9854102153460532,reroute
58,52,77,24,20,2,5.00557933833879e-52,1.0,3.695290516660911e-44,speed
59,52,77,23,20,2,1.8079933720612604e-58,3.5620968797044623e-53,1.0,reroute
60,52,77,22,20,2,1.0,5.343255618353821e-54,1.449870159871475e-51,schedule
61,52,77,21,21,2,9.771354032205303e-46,1.0,5.579517166430533e-53,speed
62,52,77,20,21,2,1.0338379375003034e-45,1.0,4.443706917573524e-21,speed
63,52,77,18,21,2,4.713190402947898e-52,1.0,6.188373826147718e-57,speed
64,52,77,17,21,2,8.245212384303908e-53,1.0,1.1944021987595654e-55,speed
65,52,77,16,21,2,1.8729519249892493e-53,1.0,1.5342534927554972e-41,speed
66,52,77,13,21,2,2.5672012359603172e-58,2.1423074179699543e-46,1.0,reroute
67,52,77,12,21,2,1.0,1.2067113229791752e-52,3.4814188568626506e-48,schedule
68,37,44,27,47,1,8.732272796991397e-52,4.339036814918778e-56,1.0,reroute
69,78,97,49,15,1,1.0,2.1259106218545225e-25,1.147109149552406e-58,schedule
70,40,65,32,32,2,1.0,1.470367215378763e-45,3.493135502882308e-55,schedule
71,70,87,29,28,1,7.114980801021241e-60,2.870017692398412e-46,1.0,reroute
72,43,44,27,30,1,0.9999999999999998,2.594369709739245e-16,6.808531148697604e-48,schedule
73,70,87,27,28,1,1.0,1.5631855517439513e-55,1.1421556293912288e-56,schedule
74,52,77,7,23,2,2.706165749805681e-47,2.1180239932043e-57,1.0,reroute
