run_id,plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,29,46,27,43,0,19,25,1834.742389295608,1818.1920051272984,16.550384168309392,16.550384168309392,45.58706061450965,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,23,92,27,43,0,14,24,1927.755818227216,1900.634838196688,27.120980030528244,27.120980030528244,43.19824054271205,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,29,46,28,43,0,20,26,1844.742389295608,1828.1920051272984,16.550384168309392,16.550384168309392,45.97905341141766,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,23,92,28,43,0,15,25,1937.755818227216,1910.634838196688,27.120980030528244,27.120980030528244,43.59023333962006,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,29,46,29,42,0,21,27,1858.884524919339,1842.3341407510293,16.550384168309392,16.550384168309392,46.53341494115754,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,23,92,29,42,0,16,26,1951.897953850947,1924.7769738204188,27.120980030528244,27.120980030528244,44.144594869359935,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,14,52,31,42,0,28,36,1267.8097084804858,1259.1540790719005,8.655629408585355,8.655629408585355,50.58951902023361,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,14,52,32,43,0,29,37,1281.951844104217,1273.2962146956315,8.655629408585355,8.655629408585355,51.14388054997349,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,64,92,33,43,0,25,30,2013.4865273882524,1968.9191094441496,44.567417944102544,44.567417944102544,47.81433138867531,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,39,92,35,43,0,14,32,1976.324412597899,1988.9191094441496,-12.594696846250828,12.594696846250828,45.157335772014015,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,46,50,37,43,0,35,15,1926.4762763747603,1889.632548826632,36.8437275481283,36.8437275481283,46.72356944916987,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,83,99,46,42,0,12,39,1502.5474343428705,1508.4712953730495,-5.923861030179069,5.923861030179069,47.7020305842581,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,17,92,55,43,0,48,52,2170.9682972899604,2197.203380691612,-26.235083401651536,26.235083401651536,57.36482861684895,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,15,66,14,45,0,8,11,543.1703393448362,550.6766982262977,-7.506358881461551,7.506358881461551,39.10517813519295,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,45,97,29,53,0,31,3,1677.9560533536728,1640.4744758177676,37.48157753590522,37.48157753590522,42.99241948905188,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,45,83,32,55,0,34,27,1716.240324601135,1702.8824551697826,13.357869431352356,13.357869431352356,50.122183747351365,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,45,83,33,55,0,35,26,1726.240324601135,1692.8824551697826,33.35786943135236,33.35786943135236,50.122183747351365,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,47,84,43,54,0,33,46,1655.6676392772947,1620.0210286522874,35.64661062500727,35.64661062500727,52.77905774881171,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,47,84,44,53,0,34,47,1669.8097749010258,1634.1631642760185,35.64661062500727,35.64661062500727,53.33341927855159,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,39,45,44,53,0,4,46,1838.41579864218,1844.524595848597,-6.108797206417421,6.108797206417421,46.534283696395626,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,1,26,50,54,0,46,43,1322.1857236173614,1363.7453607448424,-41.55963712748098,41.55963712748098,55.693512524767726,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,15,45,27,0,7,39,923.626980584983,927.7287805719932,-4.101799987010281,4.101799987010281,45.62718227251709,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,11,35,34,1,17,24,1053.06223646001,1051.5314348531615,1.5308016068483994,1.5308016068483994,44.66199807065681,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,56,32,34,0,20,25,1083.5025429689206,1104.1896231459946,-20.687080177073994,20.687080177073994,45.93555177055113,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,77,29,33,0,23,25,1117.6446785926514,1114.5047909589648,3.1398876336866124,3.1398876336866124,46.52354096591315,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,48,94,29,33,0,26,25,1444.1772950513432,1396.5090904677145,47.66820458362872,47.66820458362872,47.74374539461023,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,77,28,33,0,24,26,1127.6446785926514,1124.5047909589648,3.1398876336866124,3.1398876336866124,46.91553376282116,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,77,27,34,0,25,27,1141.7868142163825,1138.646926582696,3.1398876336866124,3.1398876336866124,47.46989529256104,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,77,26,35,0,26,28,1155.9289498401135,1152.789062206427,3.1398876336866124,3.1398876336866124,48.02425682230091,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,52,25,35,0,27,29,1165.9289498401135,1164.301265329514,1.6276845105994653,1.6276845105994653,48.0522592507758,uncertain
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,14,52,25,35,0,21,29,1172.9568947380994,1164.301265329514,8.655629408585355,8.655629408585355,46.87135704488634,uncertain
