run_id,flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,0,0,0.0,0,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,1,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,7,192.0,10,True
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,3,4,72.0,6,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,4,2,14.0,9,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,5,3,24.0,3,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,6,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,7,4,78.0,7,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,8,0,0.0,0,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,9,3,24.0,4,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,10,3,30.0,3,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,11,3,38.0,5,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,12,2,25.0,2,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,13,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,14,2,20.0,16,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,15,5,136.0,15,True
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,16,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,17,2,17.0,3,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,18,5,148.0,6,True
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,19,4,96.0,4,True
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,20,3,40.0,3,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,21,3,26.0,6,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,22,3,24.0,3,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,23,3,42.0,6,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,24,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,25,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,26,2,2.0,2,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,27,3,38.0,4,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,28,3,30.0,3,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,29,3,22.0,5,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,30,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,31,5,88.0,7,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,32,3,26.0,6,False
