run_id,plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,56,84,17,35,0,40,20,1283.184572512112,1280.6910584592574,2.493514052854607,2.493514052854607,49.576561464285135,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,72,93,17,35,0,36,17,1993.2524130623856,1951.372128953588,41.88028410879792,41.88028410879792,47.30190132258197,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,2,84,18,36,0,34,21,1247.4747436934858,1294.8331940829885,-47.35845038950265,47.35845038950265,47.715887324266895,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,50,92,32,37,0,21,30,1970.3432269452876,1988.7491745449845,-18.4059475996969,18.4059475996969,47.0007502140398,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,23,92,34,37,0,21,32,2022.6086319696024,2008.7491745449845,13.859457424618084,13.859457424618084,47.17632358493679,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,0,58,44,41,0,39,44,572.5470842840704,582.2789587870625,-9.731874502992127,9.731874502992127,55.00464033253922,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,52,86,44,41,0,46,41,1385.0131156699497,1429.6699885185417,-44.65687284859223,44.65687284859223,55.18846818142255,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,0,58,45,42,0,40,45,586.6892199078013,596.4210944107934,-9.731874502992127,9.731874502992127,55.55900186227909,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,52,86,45,42,0,47,42,1399.1552512936803,1443.8121241422728,-44.65687284859223,44.65687284859223,55.74282971116243,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,4,92,46,42,0,42,44,2177.4279022504825,2157.7441239111017,19.68377833938075,19.68377833938075,55.90256920315534,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,15,66,14,45,0,8,11,543.1703393448362,550.6766982262977,-7.506358881461551,7.506358881461551,39.10517813519295,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,64,81,22,49,0,35,35,2143.1108700965096,2128.481424712216,14.629445384293833,14.629445384293833,51.8047503137271,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,45,97,29,53,0,31,3,1677.9560533536728,1640.4744758177676,37.48157753590522,37.48157753590522,42.99241948905188,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,47,84,31,54,0,21,40,1542.190684489115,1534.5388215677613,7.651862921353768,7.651862921353768,48.879529832163925,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,47,84,32,55,0,22,41,1556.332820112846,1548.6809571914923,7.651862921353768,7.651862921353768,49.43389136190381,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,83,32,55,0,48,27,1661.951635726687,1692.7100038959015,-30.758368169214464,30.758368169214464,52.05899682341915,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,45,83,32,55,0,34,27,1716.240324601135,1692.7100038959015,23.530320705233407,23.530320705233407,49.92280736603841,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,47,84,33,55,0,23,42,1566.332820112846,1558.6809571914923,7.651862921353768,7.651862921353768,49.82588415881181,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,45,83,33,55,0,35,26,1726.240324601135,1682.7100038959015,43.53032070523341,43.53032070523341,49.92280736603841,uncertain
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,47,84,34,56,0,24,43,1580.4749557365772,1572.8230928152234,7.651862921353768,7.651862921353768,50.38024568855168,uncertain
