run_id,flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,0,1,0.0,2,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,1,2,6.0,3,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,2,6,165.0,18,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,3,3,32.0,22,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,4,3,20.0,18,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,5,2,14.0,5,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,6,1,0.0,1,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,7,2,10.0,5,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,8,2,5.0,3,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,9,4,114.0,19,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,10,2,9.0,2,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,11,5,120.0,11,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,12,3,46.0,7,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,13,2,19.0,2,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,14,7,288.0,12,True
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,15,5,148.0,15,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,16,2,12.0,2,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,17,2,21.0,3,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,18,6,180.0,12,True
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,19,3,60.0,3,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,20,3,54.0,7,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,21,2,8.0,3,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,22,5,140.0,11,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,23,3,34.0,5,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,24,1,0.0,3,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,25,2,5.0,6,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,26,2,3.0,2,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,27,3,38.0,3,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,28,4,45.0,5,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,29,5,112.0,7,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,30,0,0.0,0,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,7,282.0,10,True
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,32,3,8.0,4,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,33,3,66.0,9,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,34,1,0.0,1,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,35,4,57.0,6,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,36,4,57.0,8,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,37,2,4.0,6,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,38,1,0.0,1,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,39,2,33.0,2,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,40,3,62.0,3,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,41,3,34.0,4,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,42,2,33.0,4,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,43,1,0.0,5,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,44,1,0.0,5,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,45,8,287.0,10,True
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,46,2,20.0,2,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,47,3,72.0,11,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,48,3,92.0,4,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,49,5,116.0,22,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,50,7,228.0,24,True
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,51,4,153.0,8,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,52,5,224.0,19,True
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,53,4,60.0,4,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,54,5,40.0,11,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,55,2,10.0,3,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,56,6,180.0,19,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,57,3,26.0,5,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,58,4,33.0,6,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,59,1,0.0,1,False
20260912_203922_596_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,60,1,0.0,16,False
