run_id,flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,0,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,1,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,2,4,9.0,4,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,3,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,4,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,5,2,2.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,6,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,7,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,8,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,9,3,12.0,4,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,10,2,5.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,11,3,8.0,7,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,12,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,13,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,14,3,4.0,5,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,15,2,2.0,12,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,16,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,17,3,14.0,5,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,18,3,22.0,4,True
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,19,4,9.0,4,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,20,2,2.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,21,2,6.0,5,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,22,3,8.0,3,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,23,2,8.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,24,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,25,2,3.0,5,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,26,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,27,2,10.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,28,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,29,2,5.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,30,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,31,3,16.0,3,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,32,2,5.0,5,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,33,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,34,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,35,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,36,3,14.0,4,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,37,4,30.0,12,True
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,38,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,39,6,60.0,6,True
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,40,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,41,3,10.0,4,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,42,2,4.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,43,2,7.0,10,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,44,1,0.0,4,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,45,4,33.0,4,True
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,46,2,10.0,5,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,47,2,6.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,48,1,0.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,49,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,50,2,11.0,3,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,51,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,52,2,2.0,4,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,53,3,12.0,3,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,54,4,21.0,5,True
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,55,3,20.0,3,True
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,56,4,18.0,7,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,57,2,3.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,58,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,59,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,60,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,61,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,62,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,63,2,12.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,64,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,65,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,66,1,0.0,11,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,67,2,6.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,68,4,18.0,4,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,69,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,70,3,20.0,3,True
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,71,2,10.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,72,2,7.0,2,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,73,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,74,1,0.0,1,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,75,3,8.0,6,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,76,0,0.0,0,False
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,77,1,0.0,1,False
