run_id,plan_a,plan_b,conflict_points
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,1,26,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,2,11,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,2,14,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,2,52,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,2,65,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,3,36,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,4,23,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,5,51,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,5,57,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,7,19,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,9,41,2
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,9,70,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,9,93,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,10,22,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,10,41,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,11,56,4
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,11,89,2
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,12,75,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,14,52,3
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,14,59,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,15,19,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,15,66,11
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,16,29,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,17,29,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,17,75,3
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,17,92,1
20260912_204150_591_network_old_gaussian_meter_env2025_traffic2025_856707b5,18,39,1
