run_id,flight_id,start_x,start_y,start_z,goal_x,goal_y,goal_z,etd,speed
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,0,5,24,0,55,43,0,70.70942244333472,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,1,4,40,0,55,54,0,779.3430111427418,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,2,52,20,0,4,35,0,824.0026378767263,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,3,19,59,0,17,3,0,153.26095397982738,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,4,7,2,0,55,47,0,1603.5394908302933,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,5,12,24,0,59,11,0,1019.6541250688857,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,6,5,20,0,52,1,0,996.5529070255309,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,7,49,1,0,25,54,0,79.64491244834745,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,8,52,8,0,18,42,0,685.1621873764761,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,9,1,58,0,23,13,0,1592.272686585061,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,10,6,50,0,40,6,0,1261.5855772022292,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,11,59,53,0,16,28,0,732.5161613312036,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,12,58,26,0,1,49,0,1524.8562693392662,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,13,0,28,0,57,55,0,1400.5419397204732,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,14,5,17,0,47,55,0,891.2818024503931,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,15,6,53,0,59,26,0,430.03325435498857,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,16,25,0,0,57,40,0,1723.5110685844502,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,17,9,10,0,58,42,0,1561.9326996121576,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,18,26,5,0,42,55,0,1306.5530763973286,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,19,18,55,0,43,14,0,527.0850525936668,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,20,56,9,0,5,13,0,901.1520328092762,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,21,7,30,0,58,39,0,10.525845570479442,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,22,56,21,0,5,26,0,1304.2733070697586,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,23,15,55,0,56,19,0,1744.9500654677856,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,24,18,0,0,44,51,0,202.45406197883804,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,25,38,54,0,56,3,0,108.06464920430703,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,26,12,16,0,54,59,0,795.6704886395981,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,27,30,54,0,6,0,0,1342.5164459104556,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,28,50,10,0,16,59,0,287.7872079376965,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,29,8,59,0,59,29,0,1576.4544294516509,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,30,15,2,0,59,37,0,136.69871733134678,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,35,7,0,32,59,0,1094.2117844483548,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,32,53,44,0,15,3,0,399.3144625995557,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,33,19,56,0,42,0,0,888.229461494563,10.0
20260912_204157_716_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,34,17,10,0,57,42,0,461.9558967453042,10.0
