run_id,plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,46,50,37,43,0,35,15,1926.4762763747603,1889.632548826632,36.8437275481283,36.8437275481283,46.72356944916987,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,46,92,49,43,0,47,46,2063.0448188696846,2115.873019020509,-52.82820015082461,52.82820015082461,55.2377130726544,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,46,92,50,43,0,48,47,2073.0448188696846,2125.873019020509,-52.82820015082461,52.82820015082461,55.629705869562414,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,46,92,51,43,0,49,48,2083.0448188696846,2135.873019020509,-52.82820015082461,52.82820015082461,56.02169866647043,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,17,92,55,43,0,48,52,2170.9682972899604,2175.873019020509,-4.904721730548772,4.904721730548772,56.9467612103232,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,15,66,14,45,0,8,11,543.1703393448362,550.6766982262977,-7.506358881461551,7.506358881461551,39.10517813519295,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,39,45,44,53,0,4,46,1838.41579864218,1836.240324601135,2.1754740410447084,2.1754740410447084,46.37191496356377,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,26,50,54,0,46,41,1322.1857236173614,1353.9178120187237,-31.732088401362034,31.732088401362034,55.50089610917267,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,11,35,34,1,17,24,1052.3072332800298,1051.5314348531615,0.7757984268680502,0.7757984268680502,44.64720028024706,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,14,26,34,1,26,21,1143.187846297851,1172.76780790487,-29.579961607019413,29.579961607019413,45.692867426541454,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,52,65,24,34,1,28,28,1149.0894298547328,1101.055285247446,48.03414460728664,48.03414460728664,48.185032402788174,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,52,24,34,1,28,28,1163.187846297851,1149.0894298547328,14.098416443117912,14.098416443117912,47.7003881118753,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,45,8,34,1,44,10,1341.8957884948754,1386.9269899674532,-45.03120147257778,45.03120147257778,46.607331598043416,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,37,43,18,43,0,28,24,523.718051139554,475.9430963543517,47.77495478520223,47.77495478520223,48.08977464306896,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,15,66,18,41,0,12,15,599.73888183976,607.2452407212215,-7.506358881461551,7.506358881461551,41.32262425415244,uncertain
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,10,41,16,37,0,13,20,1433.0069334395398,1402.6557463459671,30.351187093572666,30.351187093572666,42.66097137770839,uncertain
