run_id,grid_x,grid_y,grid_z,distinct_flight_count
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,0,28,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,0,38,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,3,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,4,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,5,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,6,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,7,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,8,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,9,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,10,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,11,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,12,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,13,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,14,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,15,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,15,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,16,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,17,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,18,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,19,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,20,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,21,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,1,22,1,1
