run_id,plan_a,plan_b,conflict_points
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,1,26,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,11,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,14,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,15,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,45,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,52,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,56,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,2,77,4
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,3,36,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,3,55,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,3,68,3
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,3,80,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,4,23,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,4,71,8
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,5,20,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,5,51,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,5,57,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,6,88,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,7,19,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,7,54,3
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,7,55,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,7,76,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,9,41,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,9,70,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,9,93,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,10,22,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,10,41,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,10,60,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,11,56,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,11,89,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,12,18,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,12,75,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,13,53,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,14,52,15
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,15,19,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,15,35,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,15,66,11
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,15,80,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,16,29,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,17,75,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,17,92,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,18,39,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,18,45,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,18,50,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,18,72,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,19,20,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,19,42,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,20,31,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,21,32,4
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,21,44,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,21,91,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,22,53,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,22,57,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,23,39,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,23,92,4
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,24,91,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,25,68,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,26,33,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,27,49,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,27,53,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,27,90,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,28,30,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,28,35,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,28,91,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,29,46,3
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,29,50,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,31,48,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,31,84,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,31,90,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,31,99,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,32,34,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,32,98,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,33,51,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,34,54,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,35,36,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,36,54,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,36,91,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,37,43,5
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,37,54,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,37,55,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,38,65,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,39,45,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,39,64,2
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,39,71,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,39,81,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,39,92,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,40,70,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,40,78,4
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,40,86,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,41,74,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,42,56,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,42,88,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,43,68,1
20260912_204523_859_network_reference28_gravity_grid_env2025_traffic2025_856707b5,45,49,1
