run_id,plan_a,plan_b,conflict_points
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,0,58,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,1,26,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,1,74,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,2,11,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,2,14,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,2,15,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,2,56,8
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,2,77,4
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,2,84,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,3,36,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,3,61,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,3,68,18
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,4,23,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,4,71,16
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,4,92,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,5,20,4
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,5,57,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,6,88,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,7,54,4
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,7,58,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,8,26,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,8,66,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,9,41,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,9,50,15
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,9,70,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,9,75,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,10,16,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,10,41,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,11,14,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,11,56,4
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,11,77,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,11,89,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,12,18,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,12,23,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,12,29,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,13,18,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,13,53,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,14,42,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,14,51,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,14,52,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,14,56,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,14,65,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,15,19,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,15,35,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,15,66,11
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,15,80,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,16,29,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,17,29,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,17,75,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,18,33,4
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,18,81,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,18,89,4
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,18,90,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,19,77,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,19,88,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,20,31,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,20,88,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,21,32,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,21,91,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,22,48,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,22,49,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,22,51,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,22,57,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,22,93,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,23,92,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,24,91,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,25,44,5
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,25,68,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,27,49,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,27,53,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,27,90,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,28,35,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,28,54,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,28,76,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,28,91,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,29,46,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,29,50,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,48,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,51,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,83,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,85,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,94,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,99,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,32,96,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,32,98,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,33,51,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,33,65,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,34,98,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,35,36,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,35,58,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,36,54,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,36,91,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,37,43,5
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,37,55,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,38,52,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,39,45,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,39,81,1
