run_id,seed,conflict_points_uncertain,conflict_points_deterministic,conflict_pairs,network_edges,mean_conflict_points_per_edge,median_conflict_points_per_edge,max_conflict_points_per_edge,active_conflict_flights,isolated_flights,mean_degree,max_degree,degree_std,degree_gini,largest_connected_component_size,largest_connected_component_ratio,top10_ci_point_coverage,top10_ci_pair_coverage,top10_degree_point_coverage,top1_conflict_point_share,top5_conflict_point_share,top10_conflict_point_share,continuous_conflict_segments,continuous_conflict_points,continuous_conflict_point_ratio,raw_conflict_events,unique_spatial_conflict_points,same_pair_same_cell_multiple_index_count,same_pair_same_cell_multiple_index_groups,runtime,deterministic_Nc,uncertain_Nc,edges,CI_top10_point_coverage,CI_top10_pair_coverage,continuous_ratio,scene_mode,calibration_score
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2020,2020,177,126,86,86,2.058139534883721,1.0,36,85,15,1.72,6,1.1838918869558994,0.3709302325581396,66,0.66,0.2711864406779661,0.37209302325581395,0.2937853107344633,0.20903954802259886,0.4632768361581921,0.6101694915254238,17,107,0.6045197740112994,177,177,0,0,1.2556779999977152,126,177,86,0.2711864406779661,0.37209302325581395,0.6045197740112994,paper_strict_random,2.7350380292695147
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2021,2021,165,122,93,93,1.7741935483870968,1.0,21,80,20,1.86,5,1.435409349279849,0.4306451612903226,63,0.63,0.4,0.3870967741935484,0.3575757575757576,0.1393939393939394,0.3515151515151515,0.5454545454545454,22,93,0.5636363636363636,165,165,0,0,1.3422000999999,122,165,93,0.4,0.3870967741935484,0.5636363636363636,paper_strict_random,2.407041431628088
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2022,2022,206,147,82,82,2.5121951219512195,1.0,25,82,18,1.64,6,1.2924395537122813,0.42170731707317066,53,0.53,0.3155339805825243,0.4268292682926829,0.2524271844660194,0.13592233009708737,0.3786407766990291,0.5679611650485437,26,147,0.7135922330097088,206,206,0,0,1.308147799998551,147,206,82,0.3155339805825243,0.4268292682926829,0.7135922330097088,paper_strict_random,3.385885976624245
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2023,2023,192,120,89,89,2.157303370786517,1.0,23,83,17,1.78,7,1.368064325973015,0.4096629213483145,36,0.36,0.3697916666666667,0.3595505617977528,0.4479166666666667,0.140625,0.4010416666666667,0.578125,18,119,0.6197916666666666,192,192,0,0,1.2779018000001088,120,192,89,0.3697916666666667,0.3595505617977528,0.6197916666666666,paper_strict_random,2.677864431368735
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2024,2024,137,95,74,74,1.8513513513513513,1.0,18,74,26,1.48,5,1.2448293055676347,0.45770270270270275,50,0.5,0.291970802919708,0.3918918918918919,0.3284671532846715,0.145985401459854,0.38686131386861317,0.5255474452554745,16,78,0.5693430656934306,137,137,0,0,1.3864938000006077,95,137,74,0.291970802919708,0.3918918918918919,0.5693430656934306,paper_strict_random,1.7169768726297963
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2025,2025,123,74,84,84,1.4642857142857142,1.0,11,78,22,1.68,6,1.3847743498491007,0.44678571428571434,39,0.39,0.36585365853658536,0.38095238095238093,0.43089430894308944,0.0975609756097561,0.2601626016260163,0.4796747967479675,13,52,0.42276422764227645,123,123,0,0,1.4195137999995495,74,123,84,0.36585365853658536,0.38095238095238093,0.42276422764227645,paper_strict_random,1.1025377050113625
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2026,2026,213,106,105,105,2.0285714285714285,1.0,33,82,18,2.1,7,1.6703293088490065,0.43266666666666675,70,0.7,0.4413145539906103,0.3904761904761905,0.4694835680751174,0.1596244131455399,0.45539906103286387,0.5586854460093896,20,124,0.5821596244131455,213,213,0,0,1.3255338000017218,106,213,105,0.4413145539906103,0.3904761904761905,0.5821596244131455,paper_strict_random,2.55868544600939
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2027,2027,145,103,78,78,1.858974358974359,1.0,35,82,18,1.56,5,1.1429785649783637,0.3993589743589743,51,0.51,0.27586206896551724,0.38461538461538464,0.296551724137931,0.2413793103448276,0.42758620689655175,0.5793103448275863,17,81,0.5586206896551724,145,145,0,0,1.3400736000003235,103,145,78,0.27586206896551724,0.38461538461538464,0.5586206896551724,paper_strict_random,1.9665032296145255
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2028,2028,173,128,103,103,1.6796116504854368,1.0,19,81,19,2.06,10,1.7539669324134934,0.4418446601941748,71,0.71,0.43352601156069365,0.42718446601941745,0.4508670520231214,0.1676300578034682,0.3930635838150289,0.5780346820809249,18,87,0.5028901734104047,173,173,0,0,1.3369516999991902,128,173,103,0.43352601156069365,0.42718446601941745,0.5028901734104047,paper_strict_random,2.569197194041329
20260912_181037_595_paper_strict_random_initial_network_seed2020_f77083bb_scene2029,2029,129,92,70,70,1.8428571428571427,1.0,21,77,23,1.4,5,1.104536101718726,0.42914285714285705,40,0.4,0.26356589147286824,0.35714285714285715,0.35658914728682173,0.18604651162790697,0.3488372093023256,0.5116279069767442,19,77,0.5968992248062015,129,129,0,0,1.3438425999993342,92,129,70,0.26356589147286824,0.35714285714285715,0.5968992248062015,paper_strict_random,1.6063037836876064
