plan_a,plan_b,cell_x,cell_y,cell_z,idx_a,idx_b,time_a,time_b,time_gap,time_diff,required_gap,conflict_type
73,98,21,33,1,12,19,987.9239541172515,992.7033258056925,-4.779371688441074,4.779371688441074,42.21492788762117,uncertain
0,98,21,33,1,19,19,1036.910651552746,992.7033258056925,44.20732574705346,44.20732574705346,44.383948550548766,uncertain
0,98,22,34,1,20,20,1051.052787176477,1006.8454614294235,44.207325747053574,44.207325747053574,44.93831008028864,uncertain
49,69,28,34,1,30,19,732.2679802365963,728.3988773413129,3.8691028952833904,3.8691028952833904,46.06513861787428,uncertain
0,35,30,34,1,28,34,1131.933400194298,1162.9153745926683,-30.981974398370312,30.981974398370312,49.02639935260414,uncertain
0,12,40,35,2,38,19,1236.5158423269395,1227.1289596029997,9.386882723939834,9.386882723939834,48.036041745309596,uncertain
0,85,44,35,0,42,38,1277.3964553447604,1226.3838851703854,51.012570174375014,51.012570174375014,54.23475110715115,uncertain
0,85,45,35,0,43,39,1287.3964553447604,1236.3838851703854,51.012570174375014,51.012570174375014,54.626743904059154,uncertain
0,85,46,35,0,44,40,1297.3964553447604,1246.3838851703854,51.012570174375014,51.012570174375014,55.01873670096717,uncertain
0,85,47,35,0,45,41,1307.3964553447604,1256.3838851703854,51.012570174375014,51.012570174375014,55.410729497875174,uncertain
0,85,48,35,0,46,42,1317.3964553447604,1266.3838851703854,51.012570174375014,51.012570174375014,55.80272229478319,uncertain
0,85,50,35,0,48,44,1337.3964553447604,1294.6681564178475,42.728298926912885,42.728298926912885,56.74907662143107,uncertain
44,58,23,15,0,30,33,1059.2686574190484,1031.9864443339711,27.282213085077274,27.282213085077274,50.622277930617614,uncertain
44,58,23,14,0,31,34,1069.2686574190484,1041.9864443339711,27.282213085077274,27.282213085077274,51.01427072752563,uncertain
44,58,23,13,0,32,35,1079.2686574190484,1051.9864443339711,27.282213085077274,27.282213085077274,51.40626352443364,uncertain
44,58,22,12,0,33,36,1093.4107930427795,1066.1285799577022,27.282213085077274,27.282213085077274,51.960625054173505,uncertain
1,51,15,5,0,39,4,1608.8745661934709,1570.7288092785152,38.145756914955655,38.145756914955655,45.43277902640777,uncertain
2,5,5,15,0,5,37,552.6138548270944,579.9305764709787,-27.316721643884307,27.316721643884307,44.181385864546584,uncertain
2,79,8,18,0,8,39,595.0402616982873,622.3189714946649,-27.278709796377598,27.278709796377598,46.80972695078929,uncertain
8,79,12,23,0,46,34,574.3328499696227,555.7504289997411,18.582420969881582,18.582420969881582,54.433409195389466,uncertain
2,73,12,41,0,31,2,849.893075440673,857.8593049000842,-7.966229459411238,7.966229459411238,41.686758980717165,uncertain
2,41,12,49,0,39,46,929.893075440673,984.3368509581679,-54.44377551749494,54.44377551749494,54.720024524883,uncertain
42,51,12,49,0,33,48,2054.627236700285,2033.0751035949718,21.552133105313033,21.552133105313033,52.9250355388892,uncertain
3,27,24,56,0,3,33,1522.5645440984686,1483.5760470918667,38.98849700660185,38.98849700660185,42.68067000815888,uncertain
3,99,21,45,0,14,38,1644.9909509696618,1617.5179344241483,27.473016545513474,27.473016545513474,47.221418378147874,uncertain
68,99,21,45,0,11,38,1660.8193120157548,1617.5179344241483,43.301377591606524,43.301377591606524,46.958166648449584,uncertain
3,68,21,45,0,14,11,1644.9909509696618,1660.8193120157548,-15.82836104609305,15.82836104609305,39.95641906025328,uncertain
7,10,21,39,1,13,14,1142.1110006076333,1148.241133678337,-6.130133070703778,6.130133070703778,41.172591404147624,uncertain
4,43,51,25,0,7,23,844.7442449920673,812.1051405731996,32.639104418867646,32.639104418867646,42.15416654876224,uncertain
4,98,30,41,1,28,28,1129.6173828902952,1115.8404107955407,13.776972094754456,13.776972094754456,48.967280486127976,uncertain
4,98,29,41,1,29,27,1139.6173828902952,1105.8404107955407,33.776972094754456,33.776972094754456,48.96728048612798,uncertain
7,10,26,44,1,8,9,1071.400322488978,1077.5304555596817,-6.130133070703778,6.130133070703778,38.40078375544825,uncertain
5,72,10,35,0,17,6,359.219898352324,361.3116340688027,-2.091735716478695,2.091735716478695,40.13271682825676,uncertain
5,34,5,18,0,34,1,549.9305764709787,529.7438364458822,20.186740025096583,20.186740025096583,42.48467360970483,uncertain
5,95,4,11,0,41,37,624.0727120947097,587.4547733305086,36.617938764201085,36.617938764201085,53.5350902341909,uncertain
6,17,31,18,0,16,16,373.6417635957002,406.65761996435526,-33.01585636865508,33.01585636865508,42.789712444918045,uncertain
6,44,51,40,0,39,2,681.3091791013503,675.7152668257744,5.593912275575917,5.593912275575917,44.85816790639896,uncertain
7,10,31,48,0,3,4,1004.5170833229844,1010.647216393688,-6.130133070703664,6.130133070703664,35.77900895675373,uncertain
7,10,30,47,0,4,5,1018.6592189467153,1024.7893520174189,-6.13013307070355,6.13013307070355,36.33337048649359,uncertain
7,10,29,46,0,5,6,1032.8013545704462,1038.93148764115,-6.130133070703778,6.130133070703778,36.887732016233464,uncertain
7,10,28,46,0,6,7,1042.8013545704462,1048.93148764115,-6.130133070703778,6.130133070703778,37.27972481314148,uncertain
7,10,27,45,1,7,8,1057.2581868652471,1063.388319935951,-6.130133070703778,6.130133070703778,37.84642222570839,uncertain
7,10,25,43,1,9,10,1085.542458112709,1091.6725911834128,-6.130133070703778,6.130133070703778,38.955145285188124,uncertain
7,10,24,42,1,10,11,1099.68459373644,1105.8147268071439,-6.130133070703778,6.130133070703778,39.509506814928,uncertain
7,10,23,41,1,11,12,1113.8267293601712,1119.956862430875,-6.130133070703778,6.130133070703778,40.06386834466788,uncertain
7,10,22,40,1,12,13,1127.9688649839022,1134.098998054606,-6.130133070703778,6.130133070703778,40.61822987440775,uncertain
36,56,22,40,1,18,20,1914.7012840453667,1918.2247009125608,-3.5234168671941006,3.5234168671941006,43.59923855962628,uncertain
7,10,20,38,1,14,15,1156.2531362313644,1162.3832693020681,-6.130133070703778,6.130133070703778,41.7269529338875,uncertain
7,10,19,37,1,15,16,1170.3952718550954,1176.5254049257992,-6.130133070703778,6.130133070703778,42.28131446362738,uncertain
7,10,18,36,2,16,17,1184.8521041498964,1190.9822372206002,-6.130133070703778,6.130133070703778,42.84801187619429,uncertain
7,10,17,35,1,17,18,1199.3089364446973,1205.4390695154011,-6.130133070703778,6.130133070703778,43.414709288761195,uncertain
7,10,16,34,1,18,19,1213.4510720684284,1219.5812051391322,-6.130133070703778,6.130133070703778,43.96907081850107,uncertain
7,10,15,33,1,19,20,1227.5932076921595,1233.7233407628632,-6.130133070703778,6.130133070703778,44.523432348240945,uncertain
7,10,14,32,1,20,21,1241.7353433158905,1247.8654763865943,-6.130133070703778,6.130133070703778,45.077793877980824,uncertain
7,10,13,31,1,21,22,1255.8774789396216,1262.0076120103254,-6.130133070703778,6.130133070703778,45.632155407720695,uncertain
7,10,12,30,1,22,23,1270.0196145633527,1276.1497476340564,-6.130133070703778,6.130133070703778,46.186516937460574,uncertain
7,10,11,29,1,23,24,1284.1617501870837,1290.2918832577875,-6.130133070703778,6.130133070703778,46.740878467200446,uncertain
