flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
0,2,2.0,2,False
1,3,16.0,4,False
2,1,0.0,1,False
3,0,0.0,0,False
4,2,7.0,2,False
5,3,46.0,3,False
6,2,20.0,2,False
7,2,1.0,2,False
8,0,0.0,0,False
9,3,60.0,3,False
10,0,0.0,0,False
11,1,0.0,2,False
12,2,15.0,3,False
13,5,92.0,6,True
14,2,6.0,12,False
15,2,11.0,2,False
16,1,0.0,1,False
17,0,0.0,0,False
18,0,0.0,0,False
19,1,0.0,1,False
20,3,16.0,3,False
21,1,0.0,1,False
22,1,0.0,1,False
23,1,0.0,1,False
24,0,0.0,0,False
25,1,0.0,1,False
26,3,22.0,3,False
27,2,8.0,3,False
28,4,51.0,4,False
29,4,18.0,7,False
30,0,0.0,0,False
31,8,147.0,27,True
32,4,81.0,4,True
33,4,33.0,4,False
34,2,6.0,2,False
35,3,20.0,4,False
36,4,81.0,5,True
37,10,189.0,29,True
38,2,8.0,7,False
39,0,0.0,0,False
40,1,0.0,1,False
41,2,5.0,18,False
42,0,0.0,0,False
43,2,9.0,2,False
44,3,24.0,3,False
45,3,44.0,4,False
46,2,3.0,2,False
47,3,62.0,4,False
48,1,0.0,17,False
49,2,8.0,2,False
50,3,0.0,3,False
51,2,10.0,2,False
52,1,0.0,1,False
53,0,0.0,0,False
54,4,30.0,4,False
55,2,13.0,2,False
56,1,0.0,1,False
57,3,40.0,3,False
58,5,88.0,8,True
59,4,81.0,6,True
60,2,2.0,2,False
61,3,24.0,13,False
62,2,33.0,2,False
63,0,0.0,0,False
64,0,0.0,0,False
65,2,11.0,2,False
66,6,150.0,9,True
67,3,50.0,7,False
68,4,87.0,6,True
69,0,0.0,0,False
70,1,0.0,1,False
71,2,11.0,2,False
72,5,96.0,6,True
73,3,10.0,3,False
74,3,26.0,5,False
75,1,0.0,1,False
76,1,0.0,1,False
77,3,12.0,6,False
78,2,8.0,2,False
79,1,0.0,2,False
80,2,8.0,5,False
81,0,0.0,0,False
82,3,22.0,6,False
83,2,4.0,7,False
84,1,0.0,1,False
85,0,0.0,0,False
86,0,0.0,0,False
87,0,0.0,0,False
88,3,14.0,3,False
89,1,0.0,1,False
90,3,58.0,4,False
91,0,0.0,0,False
92,1,0.0,1,False
93,1,0.0,1,False
94,1,0.0,1,False
95,2,2.0,2,False
96,6,60.0,6,False
97,2,13.0,2,False
98,1,0.0,1,False
99,0,0.0,0,False
