important_ratio,remaining_conflicts_mean,delayed_flight_count_mean,runtime_seconds_mean,final_fitness_mean,risk_increase_ratio_mean
0.03,569,2.4118,557.2,50695.0,0.00425
0.04,467,2.4352,484.6,42510.0,0.004
0.05,383,2.455,426.40000000000003,35765.0,0.0037500000000000003
0.06,313,2.4712,379.4,30140.0,0.0035000000000000005
0.07,256,2.4838,342.8,25555.0,0.0032500000000000003
0.08,215,2.4928,319.0,22250.0,0.003
0.09,188,2.4982,306.4,20065.0,0.0027500000000000003
0.1,174,2.5,304.20000000000005,18920.0,0.0025
0.11,175,2.4982,314.0,19025.0,0.00275
0.12,196,2.4928,339.8,20730.0,0.003
