optimizer_seed,variant,stage1_input_hash,stage1_conflicts,final_conflicts,final_conflict_pairs,conflict_reduction_ratio,zero_conflict,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts,changed_flights,delayed_flights,risk_increase_percent,final_paper_fitness,runtime_sec,accepted_actions,rejected_actions,rollback_count,delay_actions_accepted,speed_actions_accepted,reroute_actions_accepted,number_of_conflict_detections,number_of_astar_calls
0,B0_full,128fb3f0b225e594208406ef930782a474fb3ee7d818bd5d4d94501878150f3f,51,0,0,1.0,True,0,0,0,0,51,44,7,4.598304826204765,4267.031068539412,1.942172600000049,41,170,170,17,16,8,212,15
1,B0_full,c85e8142625bf7cfd08f4e36a4826147f7f0a1bb0e6718e23e8d4f56241384e2,54,0,0,1.0,True,0,0,0,0,54,43,4,17.137336442420956,3531.336972430253,1.534324799999922,43,90,90,0,13,30,134,59
2,B0_full,fc09c10e2e7e1e2bd9211c0dfeaac3b1ef45d570c772abdacda4c66b01508204,52,0,0,1.0,True,0,0,0,0,52,45,6,18.80227377179737,3876.3455043622043,1.1986124000000018,42,58,58,3,8,31,101,61
0,B1_no_segment_grouping,128fb3f0b225e594208406ef930782a474fb3ee7d818bd5d4d94501878150f3f,51,0,0,1.0,True,0,0,0,0,51,44,7,8.226626009287559,4230.129546169363,0.9438826999999037,39,52,52,15,11,13,92,25
0,B2_no_conflict_informed_candidates,128fb3f0b225e594208406ef930782a474fb3ee7d818bd5d4d94501878150f3f,51,0,0,1.0,True,0,0,0,0,51,46,7,4.572325235870634,4257.019341733236,2.5569657000000916,47,234,234,18,21,8,282,15
0,B3_no_global_rollback,128fb3f0b225e594208406ef930782a474fb3ee7d818bd5d4d94501878150f3f,51,29,29,0.43137254901960786,False,26,1,2,2,25,24,7,5.409924311058912,1214497.2954750615,1.2621297999999115,60,15,15,2,8,50,76,99
1,B1_no_segment_grouping,c85e8142625bf7cfd08f4e36a4826147f7f0a1bb0e6718e23e8d4f56241384e2,54,0,0,1.0,True,0,0,0,0,54,47,4,23.157023514504296,3655.01321050292,1.2324177000000418,43,50,50,6,1,36,94,69
1,B2_no_conflict_informed_candidates,c85e8142625bf7cfd08f4e36a4826147f7f0a1bb0e6718e23e8d4f56241384e2,54,0,0,1.0,True,0,0,0,0,54,45,4,22.721720759799933,3572.182511981916,2.006191100000251,55,122,122,0,19,36,178,70
1,B3_no_global_rollback,c85e8142625bf7cfd08f4e36a4826147f7f0a1bb0e6718e23e8d4f56241384e2,54,13,13,0.7592592592592593,False,11,0,2,2,43,40,4,12.649754588492334,542872.0126128962,1.446314600000278,60,45,45,0,15,45,106,89
2,B1_no_segment_grouping,fc09c10e2e7e1e2bd9211c0dfeaac3b1ef45d570c772abdacda4c66b01508204,52,0,0,1.0,True,0,0,0,0,52,48,6,17.481477197175906,3838.709843059769,1.538947300000018,47,89,89,3,15,29,137,56
2,B2_no_conflict_informed_candidates,fc09c10e2e7e1e2bd9211c0dfeaac3b1ef45d570c772abdacda4c66b01508204,52,0,0,1.0,True,0,0,0,0,52,43,6,8.827548656867869,3919.1450143759844,1.600993799999742,41,127,127,21,6,14,169,27
2,B3_no_global_rollback,fc09c10e2e7e1e2bd9211c0dfeaac3b1ef45d570c772abdacda4c66b01508204,52,14,14,0.7307692307692307,False,12,1,1,1,40,38,6,9.999741844882598,583504.5628219311,1.5066176000000269,60,61,61,3,16,41,122,81
3,B0_full,ec81412dd36b62b242bc5d07b509ee149511303ff8a1d97fd56b6bcc84b5dd7b,54,0,0,1.0,True,0,0,0,0,54,44,4,7.80684968603933,3748.290833678942,1.898189800000182,49,140,140,19,16,14,190,27
3,B1_no_segment_grouping,ec81412dd36b62b242bc5d07b509ee149511303ff8a1d97fd56b6bcc84b5dd7b,54,0,0,1.0,True,0,0,0,0,54,44,4,6.438032126058003,3673.685114660081,2.0829444999999396,51,172,172,27,15,9,224,18
3,B2_no_conflict_informed_candidates,ec81412dd36b62b242bc5d07b509ee149511303ff8a1d97fd56b6bcc84b5dd7b,54,0,0,1.0,True,0,0,0,0,54,47,4,4.115359466600284,3682.963713421736,2.530603300000166,51,220,220,20,24,7,272,13
3,B3_no_global_rollback,ec81412dd36b62b242bc5d07b509ee149511303ff8a1d97fd56b6bcc84b5dd7b,54,9,9,0.8333333333333334,False,8,0,1,1,46,41,4,13.416708993019938,377357.0614662237,1.3788211999999476,60,63,63,20,15,25,124,49
4,B0_full,1456f9ea41f459070f44954423af56caf6e428e92a98501228315578abb3439e,51,0,0,1.0,True,0,0,0,0,51,42,6,9.131868868608967,4230.397508917535,2.205647400000089,47,154,154,15,14,18,202,35
4,B1_no_segment_grouping,1456f9ea41f459070f44954423af56caf6e428e92a98501228315578abb3439e,51,0,0,1.0,True,0,0,0,0,51,46,6,21.690990382011798,4120.00419757397,1.1017673000001196,39,35,35,0,0,39,75,75
4,B2_no_conflict_informed_candidates,1456f9ea41f459070f44954423af56caf6e428e92a98501228315578abb3439e,51,0,0,1.0,True,0,0,0,0,51,46,6,19.403767790338605,4120.261569693623,1.2204842999999528,41,48,48,0,3,38,90,74
4,B3_no_global_rollback,1456f9ea41f459070f44954423af56caf6e428e92a98501228315578abb3439e,51,26,26,0.49019607843137253,False,22,0,4,4,29,31,6,7.4629968652194565,1091643.5456153066,1.5872167000002264,60,70,70,21,8,31,131,61
5,B0_full,f5eef33583d125acd2ac03979d86bfa1fe75a798b0c5419cd111c24f42a8f3c6,52,0,0,1.0,True,0,0,0,0,52,44,6,7.591385518708933,4193.1935595539635,1.3262630999997782,46,86,86,16,17,13,133,25
5,B1_no_segment_grouping,f5eef33583d125acd2ac03979d86bfa1fe75a798b0c5419cd111c24f42a8f3c6,52,0,0,1.0,True,0,0,0,0,52,44,5,6.628515436299443,4189.315421072602,2.373314500000106,43,212,212,28,7,8,256,16
5,B2_no_conflict_informed_candidates,f5eef33583d125acd2ac03979d86bfa1fe75a798b0c5419cd111c24f42a8f3c6,52,0,0,1.0,True,0,0,0,0,52,44,6,7.562303417867757,4101.839718690611,1.5622859999998582,41,119,119,25,3,13,161,24
5,B3_no_global_rollback,f5eef33583d125acd2ac03979d86bfa1fe75a798b0c5419cd111c24f42a8f3c6,52,19,19,0.6346153846153846,False,16,0,3,3,36,35,6,9.419477915466079,797670.1749769459,1.6004322000003413,60,82,82,29,6,25,143,48
6,B0_full,3951c23ef1f76387b638fc06ba95eefb83ae3ed28e5b8f5ebfdcfb9e4b93502f,51,0,0,1.0,True,0,0,0,0,51,44,5,20.084976044012702,3782.494481840427,0.9911845999999969,41,21,21,2,1,38,63,73
6,B1_no_segment_grouping,3951c23ef1f76387b638fc06ba95eefb83ae3ed28e5b8f5ebfdcfb9e4b93502f,51,0,0,1.0,True,0,0,0,0,51,44,5,8.953779040326651,4044.1305975571704,1.6801002000001972,45,113,113,21,9,15,159,28
6,B2_no_conflict_informed_candidates,3951c23ef1f76387b638fc06ba95eefb83ae3ed28e5b8f5ebfdcfb9e4b93502f,51,0,0,1.0,True,0,0,0,0,51,44,5,18.66915683420556,3759.4155036579405,1.0208815999999388,40,28,28,2,1,37,69,71
6,B3_no_global_rollback,3951c23ef1f76387b638fc06ba95eefb83ae3ed28e5b8f5ebfdcfb9e4b93502f,51,21,21,0.5882352941176471,False,18,0,3,3,33,30,5,11.026205887926254,884338.5409685599,1.3522109000000455,60,9,9,1,2,57,70,111
7,B0_full,87f8fabf3b64091ce3218bf8cb3614c015c1c3785c1622d7ad019d8cddee111f,58,0,0,1.0,True,0,0,0,0,58,47,3,2.5777329129571425,3647.535989746221,2.1669113999996625,53,180,180,22,26,5,234,8
7,B1_no_segment_grouping,87f8fabf3b64091ce3218bf8cb3614c015c1c3785c1622d7ad019d8cddee111f,58,0,0,1.0,True,0,0,0,0,58,45,3,10.359442867302247,3538.489052087423,1.623537800000122,47,110,110,15,15,17,158,33
7,B2_no_conflict_informed_candidates,87f8fabf3b64091ce3218bf8cb3614c015c1c3785c1622d7ad019d8cddee111f,58,0,0,1.0,True,0,0,0,0,58,45,3,7.379395002040785,3553.592999454344,1.6690535000002455,48,124,124,28,7,13,173,24
7,B3_no_global_rollback,87f8fabf3b64091ce3218bf8cb3614c015c1c3785c1622d7ad019d8cddee111f,58,24,24,0.5862068965517241,False,20,1,3,3,38,33,3,9.89117673905711,996986.0941082028,1.2655988000001344,60,20,20,2,16,42,81,81
8,B0_full,45be553b45b37daf373f7156f12baf5a40b5b5aa9796ff7d26da9bd57b8c6f72,53,0,0,1.0,True,0,0,0,0,53,43,6,7.805205721594143,4217.975581599951,1.615534999999909,43,119,119,20,11,12,163,23
8,B1_no_segment_grouping,45be553b45b37daf373f7156f12baf5a40b5b5aa9796ff7d26da9bd57b8c6f72,53,0,0,1.0,True,0,0,0,0,53,43,6,9.516377749310463,3985.5658640007327,1.5141622999999527,42,103,103,7,19,16,146,31
8,B2_no_conflict_informed_candidates,45be553b45b37daf373f7156f12baf5a40b5b5aa9796ff7d26da9bd57b8c6f72,53,0,0,1.0,True,0,0,0,0,53,45,6,11.436897671541695,4073.7786744852738,1.672125699999924,42,123,123,24,0,18,166,35
8,B3_no_global_rollback,45be553b45b37daf373f7156f12baf5a40b5b5aa9796ff7d26da9bd57b8c6f72,53,36,36,0.32075471698113206,False,31,0,5,5,22,21,6,2.85122058557953,1518364.6352411702,1.3701594999997724,60,31,31,14,1,45,92,90
9,B0_full,5da302b29a2737111c8d1e100caf298f44084af98d08ab9299a1860567116aa1,52,0,0,1.0,True,0,0,0,0,52,45,5,12.725021997217063,3841.118406226268,1.4094915000000583,41,86,86,2,19,20,128,39
9,B1_no_segment_grouping,5da302b29a2737111c8d1e100caf298f44084af98d08ab9299a1860567116aa1,52,0,0,1.0,True,0,0,0,0,52,47,5,22.90293397148787,3886.8830050781244,1.1043260999999802,39,38,38,1,2,36,78,69
9,B2_no_conflict_informed_candidates,5da302b29a2737111c8d1e100caf298f44084af98d08ab9299a1860567116aa1,52,0,0,1.0,True,0,0,0,0,52,47,5,7.970459646160736,3882.3540108321868,2.5883672999998453,50,219,219,6,31,13,270,25
9,B3_no_global_rollback,5da302b29a2737111c8d1e100caf298f44084af98d08ab9299a1860567116aa1,52,21,21,0.5961538461538461,False,20,0,1,1,32,30,5,9.210195550860766,887197.6256594904,1.445442500000354,60,27,27,2,6,52,88,102
