action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
speed,60,47,44,54,51,True,False,19.432600000072853,pairs_decreased,1,0,0,stage2_independent_matching,0,0,60-89,1,cluster,speed,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0.25,0.65,0.1,0,0,60,89,speed,60,54,51,47,44
cruise_level,2,44,43,51,47,True,False,8.045700000366196,pairs_decreased,4,0,0,stage2_independent_matching,1,0,2-59,1,cluster,reroute,0,0.25,0.65,0.1,ADM_ref6_independent_matching,0.125,0.325,0.55,1,0,2,59,reroute,2,51,47,44,43
cruise_level,3,43,43,47,47,False,True,7.841999999982363,rollback,1,0,1,stage2_independent_matching,2,0,3-65,1,head_to_head,reroute,0,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,2,0,3,65,reroute,3,47,47,43,43
cruise_level,3,43,42,47,46,True,False,7.950600000185659,pairs_decreased,1,0,0,stage2_independent_matching,2,0,3-65,1,head_to_head,reroute,1,0.15,0.15,0.7,ADM_ref6_independent_matching,0.075,0.075,0.85,2,0,3,65,reroute,3,47,46,43,42
cruise_level,6,42,42,46,46,False,True,7.959300000038638,rollback,1,0,1,stage2_independent_matching,3,0,6-72,1,head_to_head,reroute,0,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,3,0,6,72,reroute,6,46,46,42,42
cruise_level,6,42,40,46,44,True,False,7.47559999990699,pairs_decreased,1,0,0,stage2_independent_matching,3,0,6-72,1,head_to_head,reroute,1,0.075,0.075,0.85,ADM_ref6_independent_matching,0.0375,0.0375,0.925,3,0,6,72,reroute,6,46,44,42,40
speed,9,40,41,44,45,False,True,8.079800000359683,rollback,1,1,1,stage2_independent_matching,4,0,9-12,1,crossing,speed,0,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,4,0,9,12,speed,9,44,45,40,41
speed,9,40,40,44,44,False,True,7.908600000064325,rollback,1,1,0,stage2_independent_matching,4,0,9-12,1,crossing,speed,1,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,4,0,9,12,speed,9,44,44,40,40
speed,9,40,40,44,44,False,True,7.922599999801605,rollback,1,1,0,stage2_independent_matching,4,0,9-12,1,crossing,speed,2,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,4,0,9,12,speed,9,44,44,40,40
speed,12,40,40,44,44,False,True,7.760299999972631,rollback,1,1,0,stage2_independent_matching,4,0,9-12,1,crossing,speed,3,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,4,0,9,12,speed,12,44,44,40,40
speed,12,40,40,44,44,False,True,7.898399999703543,rollback,1,1,0,stage2_independent_matching,4,0,9-12,1,crossing,speed,4,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,4,0,9,12,speed,12,44,44,40,40
speed,9,40,40,44,44,False,True,9.064800000032847,rollback,1,1,0,stage2_independent_matching,4,0,9-12,1,crossing,speed,5,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,4,0,9,12,speed,9,44,44,40,40
speed,9,40,40,44,44,False,True,20.80389999991894,rollback,1,1,0,stage2_independent_matching,4,0,9-12,1,crossing,speed,6,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,4,0,9,12,speed,9,44,44,40,40
