action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs,prob_delay_after,prob_speed_after,prob_reroute_after
delay,2,45,45,52,70,False,True,7.796700000199053,rollback,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,52,70,45,45,,,
delay,2,45,45,52,70,False,True,7.378400000106922,rollback,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,1,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,52,70,45,45,,,
delay,2,45,46,52,57,False,True,7.778800000323827,rollback,4,8,1,stage2_independent_matching,0,0,2-59,4,cluster,delay,2,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,52,57,45,46,,,
delay,2,45,45,52,70,False,True,7.670200000120531,rollback,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,3,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,52,70,45,45,,,
delay,2,45,45,52,70,False,True,7.517200000165758,rollback,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,4,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,52,70,45,45,,,
delay,59,45,45,52,49,False,True,7.367100000010396,rollback,4,0,3,stage2_independent_matching,0,0,2-59,4,cluster,delay,5,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,59,52,49,45,45,,,
delay,59,45,45,52,49,False,True,7.47559999990699,rollback,4,0,3,stage2_independent_matching,0,0,2-59,4,cluster,delay,6,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,59,52,49,45,45,,,
delay,59,45,45,52,49,False,True,7.323399999677349,rollback,4,0,2,stage2_independent_matching,0,0,2-59,4,cluster,delay,7,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,59,52,49,45,45,,,
delay,59,45,44,52,48,True,False,12.461499999972148,pairs_decreased,4,0,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,8,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,59,52,48,45,44,0.75,0.15,0.1
speed,54,44,43,48,46,True,False,18.839500000012777,pairs_decreased,2,0,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,0,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,speed,54,48,46,44,43,0.125,0.8,0.075
speed,37,43,42,46,44,True,False,7.519199999933335,pairs_decreased,2,0,1,stage2_independent_matching,2,0,37-76,2,crossing,speed,0,0.125,0.8,0.075,ADM_ref6_independent_matching,2,0,37,76,speed,37,46,44,43,42,0.0625,0.9,0.0375
delay,42,42,42,44,44,False,True,7.418900000175199,rollback,2,2,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,0,0.75,0.15,0.1,ADM_ref6_independent_matching,3,0,42,78,delay,42,44,44,42,42,,,
