action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs,prob_delay_after,prob_speed_after,prob_reroute_after
delay,89,45,45,52,52,False,True,8.14040000022942,rollback,1.0,1.0,0.0,stage2_independent_matching,0,0,60-89,1,cluster,delay,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,60,89,delay,89,52,52,45,45,,,
delay,89,45,45,52,52,False,True,8.212700000058248,rollback,1.0,1.0,0.0,stage2_independent_matching,0,0,60-89,1,cluster,delay,1,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,60,89,delay,89,52,52,45,45,,,
delay,60,45,44,52,53,True,False,7.557400000223424,pairs_decreased,1.0,0.0,2.0,stage2_independent_matching,0,0,60-89,1,cluster,delay,2,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,60,89,delay,60,52,53,45,44,0.75,0.15,0.1
delay,2,44,44,53,71,False,True,7.922900000266964,rollback,4.0,22.0,0.0,stage2_independent_matching,1,0,2-59,1,cluster,delay,0,0.75,0.15,0.1,ADM_ref6_independent_matching,1,0,2,59,delay,2,53,71,44,44,,,
delay,2,44,44,53,71,False,True,7.5719999999819265,rollback,4.0,22.0,0.0,stage2_independent_matching,1,0,2-59,1,cluster,delay,1,0.75,0.15,0.1,ADM_ref6_independent_matching,1,0,2,59,delay,2,53,71,44,44,,,
delay,2,44,45,53,58,False,True,7.696000000123604,rollback,4.0,8.0,1.0,stage2_independent_matching,1,0,2-59,1,cluster,delay,2,0.75,0.15,0.1,ADM_ref6_independent_matching,1,0,2,59,delay,2,53,58,44,45,,,
delay,2,44,44,53,71,False,True,9.52590000042619,rollback,4.0,22.0,0.0,stage2_independent_matching,1,0,2-59,1,cluster,delay,3,0.75,0.15,0.1,ADM_ref6_independent_matching,1,0,2,59,delay,2,53,71,44,44,,,
delay,2,44,44,53,71,False,True,22.299899999779882,rollback,4.0,22.0,0.0,stage2_independent_matching,1,0,2-59,1,cluster,delay,4,0.75,0.15,0.1,ADM_ref6_independent_matching,1,0,2,59,delay,2,53,71,44,44,,,
delay,59,44,44,53,50,False,True,7.774300000164658,rollback,4.0,0.0,3.0,stage2_independent_matching,1,0,2-59,1,cluster,delay,5,0.75,0.15,0.1,ADM_ref6_independent_matching,1,0,2,59,delay,59,53,50,44,44,,,
delay,59,44,44,53,50,False,True,7.920500000182074,rollback,4.0,0.0,3.0,stage2_independent_matching,1,0,2-59,1,cluster,delay,6,0.75,0.15,0.1,ADM_ref6_independent_matching,1,0,2,59,delay,59,53,50,44,44,,,
delay,59,44,44,53,50,False,True,7.59539999990011,rollback,4.0,0.0,2.0,stage2_independent_matching,1,0,2-59,1,cluster,delay,7,0.75,0.15,0.1,ADM_ref6_independent_matching,1,0,2,59,delay,59,53,50,44,44,,,
delay,59,44,43,53,49,True,False,7.533999999850494,pairs_decreased,4.0,0.0,0.0,stage2_independent_matching,1,0,2-59,1,cluster,delay,8,0.75,0.15,0.1,ADM_ref6_independent_matching,1,0,2,59,delay,59,53,49,44,43,0.875,0.075,0.05
cruise_level,3,43,43,49,49,False,True,7.753300000331365,rollback,1.0,0.0,1.0,stage2_independent_matching,2,0,3-65,1,head_to_head,reroute,0,0.15,0.15,0.7,ADM_ref6_independent_matching,2,0,3,65,reroute,3,49,49,43,43,,,
cruise_level,3,43,42,49,48,True,False,7.350100000167004,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,2,0,3-65,1,head_to_head,reroute,1,0.15,0.15,0.7,ADM_ref6_independent_matching,2,0,3,65,reroute,3,49,48,43,42,0.075,0.075,0.85
speed,6,42,41,48,47,True,False,8.117000000311236,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,3,0,6-11,1,crossing,speed,0,0.25,0.6,0.15,ADM_ref6_independent_matching,3,0,6,11,speed,6,48,47,42,41,0.125,0.8,0.075
speed,9,41,42,47,48,False,True,8.373300000130257,rollback,1.0,1.0,1.0,stage2_independent_matching,4,0,9-12,1,crossing,speed,0,0.125,0.8,0.075,ADM_ref6_independent_matching,4,0,9,12,speed,9,47,48,41,42,,,
speed,9,41,41,47,47,False,True,7.962199999838049,rollback,1.0,1.0,0.0,stage2_independent_matching,4,0,9-12,1,crossing,speed,1,0.125,0.8,0.075,ADM_ref6_independent_matching,4,0,9,12,speed,9,47,47,41,41,,,
