action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs,prob_delay_after,prob_speed_after,prob_reroute_after
delay,2,45,45,52,70,False,True,7.9958999999689695,rollback,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,52,70,45,45,,,
delay,59,45,44,52,48,True,False,7.765500000004977,pairs_decreased,4,0,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,1,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,59,52,48,45,44,0.75,0.15,0.1
speed,27,44,45,48,48,False,True,8.04359999983717,rollback,2,0,2,stage2_independent_matching,1,0,27-54,2,crossing,speed,0,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,speed,27,48,48,44,45,,,
speed,54,44,45,48,49,False,True,7.8245999998216575,rollback,2,2,1,stage2_independent_matching,1,0,27-54,2,crossing,speed,1,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,speed,54,48,49,44,45,,,
speed,27,44,44,48,48,False,True,7.707199999913428,rollback,2,2,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,2,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,speed,27,48,48,44,44,,,
speed,54,44,44,48,48,False,True,7.602799999858689,rollback,2,2,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,3,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,speed,54,48,48,44,44,,,
speed,27,44,44,48,48,False,True,7.970800000293821,rollback,2,2,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,4,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,speed,27,48,48,44,44,,,
speed,54,44,44,48,48,False,True,7.697600000028615,rollback,2,2,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,5,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,speed,54,48,48,44,44,,,
speed,27,44,44,48,48,False,True,7.661699999971461,rollback,2,2,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,6,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,speed,27,48,48,44,44,,,
speed,54,44,44,48,48,False,True,12.378000000353495,rollback,2,2,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,7,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,speed,54,48,48,44,44,,,
speed,27,44,43,48,46,True,False,18.559300000106305,pairs_decreased,2,0,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,8,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,speed,27,48,46,44,43,0.125,0.8,0.075
speed,37,43,43,46,47,False,True,7.605300000250281,rollback,2,2,0,stage2_independent_matching,2,0,37-76,2,crossing,speed,0,0.125,0.8,0.075,ADM_ref6_independent_matching,2,0,37,76,speed,37,46,47,43,43,,,
speed,76,43,42,46,44,True,False,7.592399999793997,pairs_decreased,2,0,0,stage2_independent_matching,2,0,37-76,2,crossing,speed,1,0.125,0.8,0.075,ADM_ref6_independent_matching,2,0,37,76,speed,76,46,44,43,42,0.0625,0.9,0.0375
delay,42,42,42,44,44,False,True,7.3803999998744985,rollback,2,2,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,0,0.75,0.15,0.1,ADM_ref6_independent_matching,3,0,42,78,delay,42,44,44,42,42,,,
delay,78,42,41,44,42,True,False,7.64370000024428,pairs_decreased,2,0,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,1,0.75,0.15,0.1,ADM_ref6_independent_matching,3,0,42,78,delay,78,44,42,42,41,0.875,0.075,0.05
cruise_level,55,41,40,42,40,True,False,8.201399999961723,pairs_decreased,2,0,0,stage2_independent_matching,4,0,55-77,2,head_to_head,reroute,0,0.15,0.15,0.7,ADM_ref6_independent_matching,4,0,55,77,reroute,55,42,40,41,40,0.075,0.075,0.85
cruise_level,3,40,40,40,40,False,True,7.702400000198395,rollback,1,0,1,stage2_independent_matching,5,0,3-65,1,head_to_head,reroute,0,0.075,0.075,0.85,ADM_ref6_independent_matching,5,0,3,65,reroute,3,40,40,40,40,,,
cruise_level,3,40,39,40,39,True,False,7.2892999996838626,pairs_decreased,1,0,0,stage2_independent_matching,5,0,3-65,1,head_to_head,reroute,1,0.075,0.075,0.85,ADM_ref6_independent_matching,5,0,3,65,reroute,3,40,39,40,39,0.0375,0.0375,0.925
speed,6,39,40,39,40,False,True,7.568200000150682,rollback,1,1,1,stage2_independent_matching,6,0,6-11,1,crossing,speed,0,0.0625,0.9,0.0375,ADM_ref6_independent_matching,6,0,6,11,speed,6,39,40,39,40,,,
speed,11,39,38,39,38,True,False,7.8533999999308435,pairs_decreased,1,0,0,stage2_independent_matching,6,0,6-11,1,crossing,speed,1,0.0625,0.9,0.0375,ADM_ref6_independent_matching,6,0,6,11,speed,11,39,38,39,38,0.03125,0.95,0.01875
speed,9,38,38,38,38,False,True,7.706200000029639,rollback,1,1,0,stage2_independent_matching,7,0,9-12,1,crossing,speed,0,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,speed,9,38,38,38,38,,,
speed,12,38,38,38,38,False,True,7.748099999844271,rollback,1,1,0,stage2_independent_matching,7,0,9-12,1,crossing,speed,1,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,speed,12,38,38,38,38,,,
speed,9,38,38,38,38,False,True,8.096800000203075,rollback,1,1,0,stage2_independent_matching,7,0,9-12,1,crossing,speed,2,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,speed,9,38,38,38,38,,,
speed,12,38,38,38,38,False,True,7.821300000159681,rollback,1,1,0,stage2_independent_matching,7,0,9-12,1,crossing,speed,3,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,speed,12,38,38,38,38,,,
speed,9,38,38,38,38,False,True,7.745500000055472,rollback,1,1,0,stage2_independent_matching,7,0,9-12,1,crossing,speed,4,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,speed,9,38,38,38,38,,,
speed,12,38,39,38,39,False,True,9.245199999895704,rollback,1,1,1,stage2_independent_matching,7,0,9-12,1,crossing,speed,5,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,speed,12,38,39,38,39,,,
speed,9,38,38,38,38,False,True,20.15960000017003,rollback,1,1,0,stage2_independent_matching,7,0,9-12,1,crossing,speed,6,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,speed,9,38,38,38,38,,,
speed,12,38,40,38,40,False,True,7.66429999976026,rollback,1,1,2,stage2_independent_matching,7,0,9-12,1,crossing,speed,7,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,speed,12,38,40,38,40,,,
speed,9,38,39,38,39,False,True,7.996199999979581,rollback,1,1,1,stage2_independent_matching,7,0,9-12,1,crossing,speed,8,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,speed,9,38,39,38,39,,,
speed,12,38,40,38,40,False,True,7.791699999870616,rollback,1,1,2,stage2_independent_matching,7,0,9-12,1,crossing,speed,9,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,speed,12,38,40,38,40,,,
delay,9,38,39,38,39,False,True,7.694099999753234,rollback,1,1,1,stage2_independent_matching,7,0,9-12,1,crossing,delay,0,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,9,38,39,38,39,,,
delay,12,38,41,38,41,False,True,7.375400000000809,rollback,1,1,3,stage2_independent_matching,7,0,9-12,1,crossing,delay,1,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,12,38,41,38,41,,,
delay,9,38,38,38,38,False,True,7.540099999914673,rollback,1,0,1,stage2_independent_matching,7,0,9-12,1,crossing,delay,2,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,9,38,38,38,38,,,
delay,12,38,40,38,41,False,True,7.393699999738601,rollback,1,0,3,stage2_independent_matching,7,0,9-12,1,crossing,delay,3,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,12,38,41,38,40,,,
delay,9,38,40,38,40,False,True,7.7381000000968925,rollback,1,0,3,stage2_independent_matching,7,0,9-12,1,crossing,delay,4,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,9,38,40,38,40,,,
delay,12,38,40,38,41,False,True,7.330399999773363,rollback,1,0,3,stage2_independent_matching,7,0,9-12,1,crossing,delay,5,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,12,38,41,38,40,,,
delay,9,38,40,38,40,False,True,7.692299999689567,rollback,1,0,3,stage2_independent_matching,7,0,9-12,1,crossing,delay,6,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,9,38,40,38,40,,,
delay,12,38,39,38,39,False,True,7.40189999987706,rollback,1,0,2,stage2_independent_matching,7,0,9-12,1,crossing,delay,7,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,12,38,39,38,39,,,
delay,9,38,38,38,38,False,True,7.559799999853567,rollback,1,0,1,stage2_independent_matching,7,0,9-12,1,crossing,delay,8,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,9,38,38,38,38,,,
delay,12,38,39,38,40,False,True,7.3879999999917345,rollback,1,0,2,stage2_independent_matching,7,0,9-12,1,crossing,delay,9,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,12,38,40,38,39,,,
delay,9,38,39,38,39,False,True,7.695000000239816,rollback,1,0,2,stage2_independent_matching,7,0,9-12,1,crossing,delay,10,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,9,38,39,38,39,,,
delay,12,38,39,38,40,False,True,7.630500000232132,rollback,1,0,2,stage2_independent_matching,7,0,9-12,1,crossing,delay,11,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,12,38,40,38,39,,,
delay,9,38,41,38,41,False,True,7.878599999912694,rollback,1,0,4,stage2_independent_matching,7,0,9-12,1,crossing,delay,12,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,9,38,41,38,41,,,
delay,12,38,37,38,37,True,False,7.593400000132533,pairs_decreased,1,0,0,stage2_independent_matching,7,0,9-12,1,crossing,delay,13,0.03125,0.95,0.01875,ADM_ref6_independent_matching,7,0,9,12,delay,12,38,37,38,37,0.515625,0.475,0.009375
delay,13,37,38,37,38,False,True,11.533200000030774,rollback,1,1,1,stage2_independent_matching,8,0,13-45,1,cluster,delay,0,0.875,0.075,0.05,ADM_ref6_independent_matching,8,0,13,45,delay,13,37,38,37,38,,,
delay,45,37,36,37,36,True,False,17.319799999768293,pairs_decreased,1,0,0,stage2_independent_matching,8,0,13-45,1,cluster,delay,1,0.875,0.075,0.05,ADM_ref6_independent_matching,8,0,13,45,delay,45,37,36,37,36,0.9375,0.0375,0.025
speed,13,36,37,36,40,False,True,7.828900000276917,rollback,1,0,2,stage2_independent_matching,9,0,13-59,1,crossing,speed,0,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,13,36,40,36,37,,,
speed,59,36,36,36,38,False,True,7.779699999900913,rollback,1,1,1,stage2_independent_matching,9,0,13-59,1,crossing,speed,1,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,59,36,38,36,36,,,
speed,13,36,36,36,38,False,True,8.358099999895785,rollback,1,0,1,stage2_independent_matching,9,0,13-59,1,crossing,speed,2,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,13,36,38,36,36,,,
speed,59,36,36,36,36,False,True,7.82100000014907,rollback,1,1,0,stage2_independent_matching,9,0,13-59,1,crossing,speed,3,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,59,36,36,36,36,,,
speed,13,36,37,36,37,False,True,7.71020000001954,rollback,1,1,1,stage2_independent_matching,9,0,13-59,1,crossing,speed,4,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,13,36,37,36,37,,,
speed,59,36,37,36,37,False,True,7.578200000352808,rollback,1,0,2,stage2_independent_matching,9,0,13-59,1,crossing,speed,5,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,59,36,37,36,37,,,
speed,13,36,38,36,38,False,True,8.272000000033586,rollback,1,1,2,stage2_independent_matching,9,0,13-59,1,crossing,speed,6,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,13,36,38,36,38,,,
speed,59,36,37,36,37,False,True,7.6471000002129585,rollback,1,0,2,stage2_independent_matching,9,0,13-59,1,crossing,speed,7,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,59,36,37,36,37,,,
speed,13,36,38,36,38,False,True,8.162699999957113,rollback,1,1,2,stage2_independent_matching,9,0,13-59,1,crossing,speed,8,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,13,36,38,36,38,,,
speed,59,36,37,36,37,False,True,7.577699999728793,rollback,1,0,3,stage2_independent_matching,9,0,13-59,1,crossing,speed,9,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,speed,59,36,37,36,37,,,
delay,13,36,38,36,38,False,True,7.784000000356173,rollback,1,1,2,stage2_independent_matching,9,0,13-59,1,crossing,delay,0,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,13,36,38,36,38,,,
delay,59,36,37,36,37,False,True,7.467200000064622,rollback,1,0,2,stage2_independent_matching,9,0,13-59,1,crossing,delay,1,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,59,36,37,36,37,,,
delay,13,36,39,36,39,False,True,7.421200000408135,rollback,1,1,3,stage2_independent_matching,9,0,13-59,1,crossing,delay,2,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,13,36,39,36,39,,,
delay,59,36,38,36,38,False,True,7.411099999899307,rollback,1,0,3,stage2_independent_matching,9,0,13-59,1,crossing,delay,3,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,59,36,38,36,38,,,
delay,13,36,40,36,40,False,True,7.3341000002074,rollback,1,1,4,stage2_independent_matching,9,0,13-59,1,crossing,delay,4,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,13,36,40,36,40,,,
delay,59,36,37,36,37,False,True,7.774499999868567,rollback,1,0,3,stage2_independent_matching,9,0,13-59,1,crossing,delay,5,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,59,36,37,36,37,,,
delay,13,36,38,36,39,False,True,12.122200000248995,rollback,1,0,3,stage2_independent_matching,9,0,13-59,1,crossing,delay,6,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,13,36,39,36,38,,,
delay,59,36,35,36,35,True,False,17.898699999932433,pairs_decreased,1,0,1,stage2_independent_matching,9,0,13-59,1,crossing,delay,7,0.515625,0.475,0.009375,ADM_ref6_independent_matching,9,0,13,59,delay,59,36,35,36,35,0.7578125,0.2375,0.0046875
delay,14,35,36,35,36,False,True,7.479399999738234,rollback,1,1,1,stage2_independent_matching,10,0,14-40,1,cluster,delay,0,0.9375,0.0375,0.025,ADM_ref6_independent_matching,10,0,14,40,delay,14,35,36,35,36,,,
