action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
cruise_level,2,45,44,52,48,True,False,10.583300000234885,local_pair_points_decreased,4.0,0.0,0.0,stage2_independent_matching,0,0,2-59,4,cluster,reroute,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0.25,0.15,0.6,0,0,2,59,reroute,2,52,48,45,44
delay,27,44,44,48,47,True,False,20.651100000122824,local_pair_points_decreased,2.0,0.0,1.0,stage2_independent_matching,1,0,27-54,2,crossing,delay,0,0.25,0.6,0.15,ADM_ref6_independent_matching,0.625,0.3,0.075,1,0,27,54,delay,27,48,47,44,44
delay,37,44,44,47,47,False,True,7.44959999974526,local_pair_not_improved,2.0,2.0,1.0,stage2_independent_matching,2,0,37-76,2,crossing,delay,0,0.625,0.3,0.075,ADM_ref6_independent_matching,,,,2,0,37,76,delay,37,47,47,44,44
delay,76,44,45,47,48,False,True,7.53069999973377,local_pair_not_improved,2.0,2.0,1.0,stage2_independent_matching,2,0,37-76,2,crossing,delay,1,0.625,0.3,0.075,ADM_ref6_independent_matching,,,,2,0,37,76,delay,76,47,48,44,45
delay,37,44,43,47,45,True,False,7.476499999938824,local_pair_points_decreased,2.0,0.0,2.0,stage2_independent_matching,2,0,37-76,2,crossing,delay,2,0.625,0.3,0.075,ADM_ref6_independent_matching,0.8125,0.15,0.0375,2,0,37,76,delay,37,47,45,44,43
delay,42,43,43,45,45,False,True,8.086199999979726,local_pair_not_improved,2.0,2.0,0.0,stage2_independent_matching,3,0,42-78,2,cluster,delay,0,0.25,0.15,0.6,ADM_ref6_independent_matching,,,,3,0,42,78,delay,42,45,45,43,43
delay,42,43,43,45,45,False,True,7.634200000211422,local_pair_not_improved,2.0,2.0,0.0,stage2_independent_matching,3,0,42-78,2,cluster,delay,1,0.25,0.15,0.6,ADM_ref6_independent_matching,,,,3,0,42,78,delay,42,45,45,43,43
delay,42,43,42,45,43,True,False,7.843000000320899,local_pair_points_decreased,2.0,0.0,0.0,stage2_independent_matching,3,0,42-78,2,cluster,delay,2,0.25,0.15,0.6,ADM_ref6_independent_matching,0.625,0.075,0.3,3,0,42,78,delay,42,45,43,43,42
cruise_level,55,42,41,43,41,True,False,7.931799999823852,local_pair_points_decreased,2.0,0.0,0.0,stage2_independent_matching,4,0,55-77,2,head_to_head,reroute,0,0.15,0.15,0.7,ADM_ref6_independent_matching,0.075,0.075,0.85,4,0,55,77,reroute,55,43,41,42,41
cruise_level,3,41,41,41,41,True,False,7.642900000064401,local_pair_points_decreased,1.0,0.0,1.0,stage2_independent_matching,5,0,3-65,1,head_to_head,reroute,0,0.075,0.075,0.85,ADM_ref6_independent_matching,0.0375,0.0375,0.925,5,0,3,65,reroute,3,41,41,41,41
