action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
speed,59,44,43,51,47,True,False,20.417499999894062,pairs_decreased,4,0,2,stage2_independent_matching,0,0,2-59,4,cluster,speed,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0.25,0.65,0.1,0,0,2,59,speed,59,51,47,44,43
cruise_level,27,43,43,47,52,False,True,8.006700000350975,rollback,2,7,0,stage2_independent_matching,1,0,27-54,2,crossing,reroute,0,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,1,0,27,54,reroute,27,47,52,43,43
cruise_level,27,43,43,47,46,False,True,7.713999999850785,rollback,2,1,0,stage2_independent_matching,1,0,27-54,2,crossing,reroute,1,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,1,0,27,54,reroute,27,47,46,43,43
cruise_level,27,43,43,47,46,False,True,7.677399999920453,rollback,2,1,0,stage2_independent_matching,1,0,27-54,2,crossing,reroute,2,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,1,0,27,54,reroute,27,47,46,43,43
cruise_level,54,43,42,47,45,True,False,8.330900000146357,pairs_decreased,2,0,0,stage2_independent_matching,1,0,27-54,2,crossing,reroute,3,0.25,0.6,0.15,ADM_ref6_independent_matching,0.125,0.3,0.575,1,0,27,54,reroute,54,47,45,43,42
cruise_level,37,42,40,45,42,True,False,8.282999999664753,pairs_decreased,2,1,0,stage2_independent_matching,2,0,37-76,2,crossing,reroute,0,0.125,0.3,0.575,ADM_ref6_independent_matching,0.0625,0.15,0.7875,2,0,37,76,reroute,37,45,42,42,40
delay,42,40,40,42,42,False,True,7.931899999675807,rollback,2,2,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,0,0.25,0.65,0.1,ADM_ref6_independent_matching,,,,3,0,42,78,delay,42,42,42,40,40
delay,42,40,40,42,42,False,True,7.555000000138534,rollback,2,2,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,1,0.25,0.65,0.1,ADM_ref6_independent_matching,,,,3,0,42,78,delay,42,42,42,40,40
delay,42,40,39,42,40,True,False,7.567199999812146,pairs_decreased,2,0,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,2,0.25,0.65,0.1,ADM_ref6_independent_matching,0.625,0.325,0.05,3,0,42,78,delay,42,42,40,40,39
cruise_level,55,39,38,40,38,True,False,7.9335999998875195,pairs_decreased,2,0,0,stage2_independent_matching,4,0,55-77,2,head_to_head,reroute,0,0.15,0.15,0.7,ADM_ref6_independent_matching,0.075,0.075,0.85,4,0,55,77,reroute,55,40,38,39,38
cruise_level,3,38,38,38,38,False,True,8.452399999896443,rollback,1,0,1,stage2_independent_matching,5,0,3-65,1,head_to_head,reroute,0,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,3,65,reroute,3,38,38,38,38
cruise_level,3,38,37,38,37,True,False,8.225499999753083,pairs_decreased,1,0,0,stage2_independent_matching,5,0,3-65,1,head_to_head,reroute,1,0.075,0.075,0.85,ADM_ref6_independent_matching,0.0375,0.0375,0.925,5,0,3,65,reroute,3,38,37,38,37
cruise_level,6,37,36,37,36,True,False,8.42179999972359,pairs_decreased,1,0,0,stage2_independent_matching,6,0,6-11,1,crossing,reroute,0,0.0625,0.15,0.7875,ADM_ref6_independent_matching,0.03125,0.075,0.89375,6,0,6,11,reroute,6,37,36,37,36
cruise_level,9,36,35,36,35,True,False,14.690299999983836,pairs_decreased,1,0,0,stage2_independent_matching,7,0,9-12,1,crossing,reroute,0,0.03125,0.075,0.89375,ADM_ref6_independent_matching,0.015625,0.0375,0.946875,7,0,9,12,reroute,9,36,35,36,35
cruise_level,13,35,36,35,36,False,True,7.981700000073033,rollback,1,1,1,stage2_independent_matching,8,0,13-45,1,crossing,reroute,0,0.015625,0.0375,0.946875,ADM_ref6_independent_matching,,,,8,0,13,45,reroute,13,35,36,35,36
cruise_level,13,35,34,35,34,True,False,7.5447999997777515,pairs_decreased,1,0,0,stage2_independent_matching,8,0,13-45,1,crossing,reroute,1,0.015625,0.0375,0.946875,ADM_ref6_independent_matching,0.0078125,0.01875,0.9734375,8,0,13,45,reroute,13,35,34,35,34
delay,14,34,33,34,33,True,False,7.494899999983318,pairs_decreased,1,1,0,stage2_independent_matching,9,0,14-40,1,cluster,delay,0,0.625,0.325,0.05,ADM_ref6_independent_matching,0.8125,0.1625,0.025,9,0,14,40,delay,14,34,33,34,33
cruise_level,14,33,31,33,31,True,False,8.420900000146503,pairs_decreased,1,0,0,stage2_independent_matching,10,0,14-40,1,crossing,reroute,0,0.0078125,0.01875,0.9734375,ADM_ref6_independent_matching,0.00390625,0.009375,0.98671875,10,0,14,40,reroute,14,33,31,33,31
cruise_level,15,31,30,31,30,True,False,7.805200000348123,pairs_decreased,1,0,1,stage2_independent_matching,11,0,15-67,1,crossing,reroute,0,0.00390625,0.009375,0.98671875,ADM_ref6_independent_matching,0.001953125,0.0046875,0.993359375,11,0,15,67,reroute,15,31,30,31,30
