action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs,prob_delay_after,prob_speed_after,prob_reroute_after
delay,2,46,46,53,71,False,True,8.206800000152725,local_pair_not_improved,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,53,71,46,46,,,
delay,2,46,46,53,71,False,True,8.248899999671266,local_pair_not_improved,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,1,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,53,71,46,46,,,
delay,2,46,47,53,58,False,True,7.699699999648146,local_pair_not_improved,4,8,1,stage2_independent_matching,0,0,2-59,4,cluster,delay,2,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,53,58,46,47,,,
delay,2,46,46,53,71,False,True,7.541399999809073,local_pair_not_improved,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,3,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,53,71,46,46,,,
delay,2,46,46,53,71,False,True,7.694699999774457,local_pair_not_improved,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,4,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,53,71,46,46,,,
delay,59,46,46,53,50,True,False,8.039800000005926,local_pair_points_decreased,4,0,3,stage2_independent_matching,0,0,2-59,4,cluster,delay,5,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,59,53,50,46,46,0.75,0.15,0.1
cruise_level,27,46,46,50,55,False,True,7.778200000302604,local_pair_not_improved,2,7,0,stage2_independent_matching,1,0,27-54,2,crossing,reroute,0,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,reroute,27,50,55,46,46,,,
cruise_level,27,46,46,50,49,True,False,7.829600000150094,local_pair_points_decreased,2,1,0,stage2_independent_matching,1,0,27-54,2,crossing,reroute,1,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,reroute,27,50,49,46,46,0.125,0.3,0.575
delay,37,46,46,49,49,False,True,7.794199999807461,local_pair_not_improved,2,2,1,stage2_independent_matching,2,0,37-76,2,crossing,delay,0,0.125,0.3,0.575,ADM_ref6_independent_matching,2,0,37,76,delay,37,49,49,46,46,,,
delay,76,46,47,49,50,False,True,7.475400000203081,local_pair_not_improved,2,2,1,stage2_independent_matching,2,0,37-76,2,crossing,delay,1,0.125,0.3,0.575,ADM_ref6_independent_matching,2,0,37,76,delay,76,49,50,46,47,,,
delay,37,46,44,49,46,True,False,7.283299999926385,local_pair_points_decreased,2,0,1,stage2_independent_matching,2,0,37-76,2,crossing,delay,2,0.125,0.3,0.575,ADM_ref6_independent_matching,2,0,37,76,delay,37,49,46,46,44,0.5625,0.15,0.2875
delay,42,44,44,46,46,False,True,7.591900000079477,local_pair_not_improved,2,2,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,0,0.75,0.15,0.1,ADM_ref6_independent_matching,3,0,42,78,delay,42,46,46,44,44,,,
delay,42,44,44,46,46,False,True,8.610200000020996,local_pair_not_improved,2,2,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,1,0.75,0.15,0.1,ADM_ref6_independent_matching,3,0,42,78,delay,42,46,46,44,44,,,
